action,actname,actvalue,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,1128,CHRM1,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,CHRM1,https://www.dgidb.org/genes/hgnc:1950,9606,Homo sapiens (human)
"Bethanechol acts by selectively stimulating muscarinic receptors in the parasympathetic nervous system, inducing no affect on nicotinic receptors.",,,2370,"Overington JP, Al-Lazikani B, Hopkins AL. How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993–6. doi: 10.1038/nrd2199. PMID: 17139284.|Imming P, Sinning C, Meyer A. Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821–34. doi: 10.1038/nrd2132. PMID: 17016423.|Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Bethanechol,Toxin and Toxin Target Database (T3DB),PMID:17139284|PMID:17016423|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1128,CHRM1,5669298|5822765|6499431,,17139284|17016423|9224827,P11229,Muscarinic acetylcholine receptor M1,T3D2958,Bethanechol,http://www.t3db.ca/toxins/T3D2958,BE0000092,Muscarinic acetylcholine receptor M1,http://www.t3db.ca/biodb/bio_entities/BE0000092,9606,Homo sapiens (human)
,,,2370,"Agrawal A, Hila A, Tutuian R, Mainie I, Castell DO. Bethanechol improves smooth muscle function in patients with severe ineffective esophageal motility. J Clin Gastroenterol. 2007 Apr;41(4):366–70. doi: 10.1097/01.mcg.0000225542.03880.68. PMID: 17413603.|Overington JP, Al-Lazikani B, Hopkins AL. How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993–6. doi: 10.1038/nrd2199. PMID: 17139284.|Imming P, Sinning C, Meyer A. Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821–34. doi: 10.1038/nrd2132. PMID: 17016423.|Cruzblanca H. An M<sub>2</sub>-like muscarinic receptor enhances a delayed rectifier K<sup>+</sup>current in rat sympathetic neurones. British J Pharmacology. 2006 Oct;149(4):441–9. doi: 10.1038/sj.bjp.0706874.|Buranakarl C, Kijtawornrat A, Angkanaporn K, Komolvanich S, Bovee KC. Effects of bethanechol on canine urinary bladder smooth muscle function. Research in Veterinary Science. 2001 Dec;71(3):175–81. doi: 10.1053/rvsc.2001.0506.|Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Bethanechol,Toxin and Toxin Target Database (T3DB),PMID:17139284|PMID:17016423|PMID:17413603|PMID:11798291|PMID:16953191|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423|https://www.ncbi.nlm.nih.gov/pubmed/17413603|https://www.ncbi.nlm.nih.gov/pubmed/11798291|https://www.ncbi.nlm.nih.gov/pubmed/16953191|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1129,CHRM2,5669298|5822765|6499431|12607363|16676894|30752470,PMC1978429,17139284|17016423|17413603|11798291|16953191|9224827,P08172,Muscarinic acetylcholine receptor M2,T3D2958,Bethanechol,http://www.t3db.ca/toxins/T3D2958,BE0000560,Muscarinic acetylcholine receptor M2,http://www.t3db.ca/biodb/bio_entities/BE0000560,9606,Homo sapiens (human)
Agonist,,,2370,"Liu T, Hwang L, Burley SK, Nitsche CI, Southan C, Walters WP, Gilson MK. BindingDB in 2024: a FAIR knowledgebase of protein-small molecule binding data. Nucleic Acids Res. 2025 Jan 06;53(D1):D1633–44. PMID: 39574417; PMCID: PMC11701568.|Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Mei L, Lai J, Yamamura HI, Roeske WR. Pharmacologic comparison of selected agonists for the M1 muscarinic receptor in transfected murine fibroblast cells (B82). The Journal of Pharmacology and Experimental Therapeutics. 1990 Feb;256(2):689–94. doi: 10.1016/s0022-3565(25)22996-2.|Padda IS, Derian A: Bethanechol .",Bethanechol,DrugBank,PMID:9224827|PMID:32809422|PMID:1704434|PMID:39574417,https://www.ncbi.nlm.nih.gov/pubmed/9224827|https://www.ncbi.nlm.nih.gov/pubmed/32809422|https://www.ncbi.nlm.nih.gov/pubmed/1704434|https://www.ncbi.nlm.nih.gov/pubmed/39574417,1128,CHRM1,5669298|19065670|38017294|900336651,PMC11701568,9224827|32809422|1704434|39574417,P11229,Muscarinic acetylcholine receptor M1,DB01019,Bethanechol,https://www.drugbank.ca/drugs/DB01019,BE0000092,Muscarinic acetylcholine receptor M1,https://www.drugbank.ca/bio_entities/BE0000092,9606,Homo sapiens (human)
,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,1128,CHRM1,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,CHRM1,https://www.dgidb.org/genes/hgnc:1950,9606,Homo sapiens (human)
Agonist,,5.9,2370,"Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Bethanechol,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715,https://www.ncbi.nlm.nih.gov/pubmed/7620715,1133,CHRM5,7007058,PMC1510344,7620715,P08912,Muscarinic acetylcholine receptor M5,297,bethanechol,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=297,17,M5 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=17,9606,Homo sapiens (human)
Agonist,,,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Bui T, Duong H: Muscarinic Agonists .|Padda IS, Derian A: Bethanechol .",Bethanechol,DrugBank,PMID:9224827|PMID:32809422|PMID:31985923,https://www.ncbi.nlm.nih.gov/pubmed/9224827|https://www.ncbi.nlm.nih.gov/pubmed/32809422|https://www.ncbi.nlm.nih.gov/pubmed/31985923,1131,CHRM3,5669298|900336481|900336651,,9224827|32809422|31985923,P20309,Muscarinic acetylcholine receptor M3,DB01019,Bethanechol,https://www.drugbank.ca/drugs/DB01019,BE0000045,Muscarinic acetylcholine receptor M3,https://www.drugbank.ca/bio_entities/BE0000045,9606,Homo sapiens (human)
Agonist,,,2370,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Padda IS, Derian A: Bethanechol .",Bethanechol,DrugBank,PMID:9224827|PMID:32809422,https://www.ncbi.nlm.nih.gov/pubmed/9224827|https://www.ncbi.nlm.nih.gov/pubmed/32809422,1132,CHRM4,5669298|900336651,,9224827|32809422,P08173,Muscarinic acetylcholine receptor M4,DB01019,Bethanechol,https://www.drugbank.ca/drugs/DB01019,BE0000405,Muscarinic acetylcholine receptor M4,https://www.drugbank.ca/bio_entities/BE0000405,9606,Homo sapiens (human)
Agonist,,,2370,"Zhou Y, Zhang Y, Zhao D, Yu X, Shen X, Zhou Y, Wang S, Qiu Y, Chen Y, Zhu F. TTD: Therapeutic Target Database describing target druggability information. Nucleic Acids Res. 2024 Jan 05;52(D1):D1465–77. PMID: 37713619; PMCID: PMC10767903.|Padda IS, Derian A: Bethanechol .",Bethanechol,DrugBank,PMID:37713619|PMID:32809422,https://www.ncbi.nlm.nih.gov/pubmed/37713619|https://www.ncbi.nlm.nih.gov/pubmed/32809422,1133,CHRM5,36526393|900336651,PMC10767903,37713619|32809422,P08912,Muscarinic acetylcholine receptor M5,DB01019,Bethanechol,https://www.drugbank.ca/drugs/DB01019,BE0000247,Muscarinic acetylcholine receptor M5,https://www.drugbank.ca/bio_entities/BE0000247,9606,Homo sapiens (human)
Agonist,,,2370,,Bethanechol,Drug Gene Interaction database (DGIdb),,,15,AANAT,,,,,,,BETHANECHOL,https://www.dgidb.org/drugs/rxcui:19257,,AANAT,https://www.dgidb.org/genes/hgnc:19,9606,Homo sapiens (human)
