action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
,Ki,6.71,4011,,Maprotiline,,DrugCentral,,,146,ADRA1D,,,,P25100,Alpha-1D adrenergic receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,170,Alpha-1D adrenergic receptor,https://drugcentral.org/target/P25100/view,9606,Homo sapiens (human)
Antagonist,,,4011,"Buckley NA, McManus PR. Can the fatal toxicity of antidepressant drugs be predicted with pharmacological and toxicological data? Drug Saf. 1998 May;18(5):369–81. doi: 10.2165/00002018-199818050-00006. PMID: 9589848.|Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881|PMID:9589848,https://www.ncbi.nlm.nih.gov/pubmed/6086881|https://www.ncbi.nlm.nih.gov/pubmed/9589848,146,ADRA1D,11731204|27352613,,6086881|9589848,P25100,Alpha-1D adrenergic receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0004863,Alpha-1D adrenergic receptor,https://www.drugbank.ca/bio_entities/BE0004863,9606,Homo sapiens (human)
,,,4011,"Buckley NA, McManus PR. Can the fatal toxicity of antidepressant drugs be predicted with pharmacological and toxicological data? Drug Saf. 1998 May;18(5):369–81. doi: 10.2165/00002018-199818050-00006. PMID: 9589848.|Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881|PMID:9589848,https://www.ncbi.nlm.nih.gov/pubmed/6086881|https://www.ncbi.nlm.nih.gov/pubmed/9589848,146,ADRA1D,11731204|27352613,,6086881|9589848,P25100,Alpha-1D adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0004863,Alpha-1 adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0004863,9606,Homo sapiens (human)
,,,4011,"Buckley NA, McManus PR. Can the fatal toxicity of antidepressant drugs be predicted with pharmacological and toxicological data? Drug Saf. 1998 May;18(5):369–81. doi: 10.2165/00002018-199818050-00006. PMID: 9589848.|Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881|PMID:9589848,https://www.ncbi.nlm.nih.gov/pubmed/6086881|https://www.ncbi.nlm.nih.gov/pubmed/9589848,147,ADRA1B,11731204|27352613,,6086881|9589848,P35368,Alpha-1B adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0004863,Alpha-1 adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0004863,9606,Homo sapiens (human)
Antagonist,,,4011,"Buckley NA, McManus PR. Can the fatal toxicity of antidepressant drugs be predicted with pharmacological and toxicological data? Drug Saf. 1998 May;18(5):369–81. doi: 10.2165/00002018-199818050-00006. PMID: 9589848.|Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881|PMID:9589848,https://www.ncbi.nlm.nih.gov/pubmed/6086881|https://www.ncbi.nlm.nih.gov/pubmed/9589848,147,ADRA1B,11731204|27352613,,6086881|9589848,P35368,Alpha-1B adrenergic receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0004863,Alpha-1B adrenergic receptor,https://www.drugbank.ca/bio_entities/BE0004863,9606,Homo sapiens (human)
,IC50,9.854,4011,,Maprotiline,,DrugCentral,,,148,ADRA1A,,,,P35348,Alpha-1A adrenergic receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,106,Alpha-1A adrenergic receptor,https://drugcentral.org/target/P35348/view,9606,Homo sapiens (human)
,,,4011,"Buckley NA, McManus PR. Can the fatal toxicity of antidepressant drugs be predicted with pharmacological and toxicological data? Drug Saf. 1998 May;18(5):369–81. doi: 10.2165/00002018-199818050-00006. PMID: 9589848.|Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:6086881|PMID:9589848,https://www.ncbi.nlm.nih.gov/pubmed/6086881|https://www.ncbi.nlm.nih.gov/pubmed/9589848,148,ADRA1A,11731204|27352613,,6086881|9589848,P35348,Alpha-1A adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0004863,Alpha-1 adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0004863,9606,Homo sapiens (human)
Antagonist,,,4011,"Buckley NA, McManus PR. Can the fatal toxicity of antidepressant drugs be predicted with pharmacological and toxicological data? Drug Saf. 1998 May;18(5):369–81. doi: 10.2165/00002018-199818050-00006. PMID: 9589848.|Richelson E, Nelson A. Antagonism by antidepressants of neurotransmitter receptors of normal human brain in vitro. The Journal of Pharmacology and Experimental Therapeutics. 1984 Jul;230(1):94–102. doi: 10.1016/s0022-3565(25)21446-x.",Maprotiline,,DrugBank,PMID:6086881|PMID:9589848,https://www.ncbi.nlm.nih.gov/pubmed/6086881|https://www.ncbi.nlm.nih.gov/pubmed/9589848,148,ADRA1A,11731204|27352613,,6086881|9589848,P35348,Alpha-1A adrenergic receptor,DB00934,Maprotiline,https://www.drugbank.ca/drugs/DB00934,BE0004863,Alpha-1A adrenergic receptor,https://www.drugbank.ca/bio_entities/BE0004863,9606,Homo sapiens (human)
"Maprotiline exerts its antidepressant action by inhibition of presynaptic uptake of catecholamines, thereby increasing their concentration at the synaptic clefts of the brain. in single doses, the effect of maprotiline on the EEG revealed a rise in the alpha-wave density, a reduction of the alpha-wave frequency and an increase in the alpha-wave amplitude. however, as with other tricyclic antidepressants, maprotiline lowers the convulsive threshold. maprotiline acts as an antagonist at central presynaptic α2 adrenergic inhibitory autoreceptors and hetero-receptors, an action that is postulated to result in an increase in central noradrenergic and serotonergic activity. maprotiline is also a moderate peripheral α1 adrenergic antagonist, which may explain the occasional orthostatic hypotension reported in association with its use. maprotiline also inhibits the amine transporter, delaying the reuptake of noradrenaline and norepinephrine. lastly, maprotiline is a strong inhibitor of the histamine H1 receptor, which explains its sedative actions.",,,4011,"Overington JP, Al-Lazikani B, Hopkins AL. How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993–6. doi: 10.1038/nrd2199. PMID: 17139284.|Imming P, Sinning C, Meyer A. Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821–34. doi: 10.1038/nrd2132. PMID: 17016423.",Maprotiline,,Toxin and Toxin Target Database (T3DB),PMID:17139284|PMID:17016423,https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423,148,ADRA1A,5822765|6499431,,17139284|17016423,P35348,Alpha-1A adrenergic receptor,T3D2934,Maprotiline,http://www.t3db.ca/toxins/T3D2934,BE0000501,Alpha-1A adrenergic receptor,http://www.t3db.ca/biodb/bio_entities/BE0000501,9606,Homo sapiens (human)
,Ki,6.165,4011,,Maprotiline,,DrugCentral,,,150,ADRA2A,,,,P08913,Alpha-2A adrenergic receptor,1634,maprotiline,https://drugcentral.org/drugcard/1634,90,Alpha-2A adrenergic receptor,https://drugcentral.org/target/P08913/view,9606,Homo sapiens (human)
