action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,19,ABCA1,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,ABCA1,https://www.dgidb.org/genes/hgnc:29,ROSUVASTATIN,9606,Homo sapiens (human)
Substrate,,,446157,,Rosuvastatin,,DrugBank,,,213,ALB,,,,P02768,Albumin,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0000530,Albumin,https://www.drugbank.ca/bio_entities/BE0000530,Rosuvastatin,9606,Homo sapiens (human)
Inhibitor,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,639,PRDM1,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,PRDM1,https://www.dgidb.org/genes/hgnc:9346,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,779,CACNA1S,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,CACNA1S,https://www.dgidb.org/genes/hgnc:1397,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,1071,CETP,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,CETP,https://www.dgidb.org/genes/hgnc:1869,ROSUVASTATIN,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,1244,ABCC2,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,ABCC2,https://www.dgidb.org/genes/hgnc:53,ROSUVASTATIN,9606,Homo sapiens (human)
Substrate,,,446157,"Ellis LC, Hawksworth GM, Weaver RJ: ATP-dependent transport of statins by human and rat MRP2/Mrp2. Toxicol Appl Pharmacol. 2013 Jun 1;269(2):187-94. doi: 10.1016/j.taap.2013.03.019. Epub 2013 Apr 2.",Rosuvastatin,,DrugBank,PMID:23562342,https://www.ncbi.nlm.nih.gov/pubmed/23562342,1244,ABCC2,7334519,,23562342,Q92887,ATP-binding cassette sub-family C member 2,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0001069,ATP-binding cassette sub-family C member 2,https://www.drugbank.ca/bio_entities/BE0001069,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,1401,CRP,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,CRP,https://www.dgidb.org/genes/hgnc:2367,ROSUVASTATIN,9606,Homo sapiens (human)
Substrate,,,446157,"Sakaeda T, Fujino H, Komoto C, Kakumoto M, Jin JS, Iwaki K, Nishiguchi K, Nakamura T, Okamura N, Okumura K: Effects of acid and lactone forms of eight HMG-CoA reductase inhibitors on CYP-mediated metabolism and MDR1-mediated transport. Pharm Res. 2006 Mar;23(3):506-12. doi: 10.1007/s11095-005-9371-5. Epub 2006 Jan 1.|Cooper K, Martin P, Dane A, Warwick M, Schneck D, Cantarini M. The effect of fluconazole on the pharmacokinetics of rosuvastatin. European Journal of Clinical Pharmacology. 2002 Oct 03;58(8):527–31. doi: 10.1007/s00228-002-0508-8.",Rosuvastatin,,DrugBank,PMID:12451430|PMID:16388406,https://www.ncbi.nlm.nih.gov/pubmed/12451430|https://www.ncbi.nlm.nih.gov/pubmed/16388406,1559,CYP2C9,24034191|29485782,,16388406|12451430,P11712,Cytochrome P450 2C9,6205,481107545,DB01098,https://www.drugbank.ca/drugs/DB01098,BE0002793,Cytochrome P450 2C9,https://www.drugbank.ca/bio_entities/BE0002793,Rosuvastatin,9606,Homo sapiens (human)
,,,446157,,Rosuvastatin,,Drug Gene Interaction database (DGIdb),,,1576,CYP3A4,,,,,,6205,481107545,,https://www.dgidb.org/drugs/rxcui:301542,,CYP3A4,https://www.dgidb.org/genes/hgnc:2637,ROSUVASTATIN,9606,Homo sapiens (human)
