action,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,107,ADCY1,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,Q08828,Adenylate cyclase type 1,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 1,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
Inhibitor,47936,,Forskolin,Therapeutic Target Database (TTD),,,108,ADCY2,,,,Q08462,Adenylate cyclase type 2,D0Y7VM,Forskolin,https://ttd.idrblab.cn/data/drug/details/D0Y7VM,T97655,Adenylate cyclase type 2 (ADCY2),https://ttd.idrblab.cn/data/target/details/T97655,9606,Homo sapiens (human)
,47936,"Berman HM, Westbrook J, Feng Z, Gilliland G, Bhat TN, Weissig H, Shindyalov IN, Bourne PE. The Protein Data Bank. Nucleic Acids Res. 2000 Jan 01;28(1):235–42. PMID: 10592235; PMCID: PMC102472.",Forskolin,DrugBank,PMID:10592235,https://www.ncbi.nlm.nih.gov/pubmed/10592235,108,ADCY2,12499145,PMC102472,10592235,Q08462,Adenylate cyclase type 2,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0003732,Adenylate cyclase type 2,https://www.drugbank.ca/bio_entities/BE0003732,9606,Homo sapiens (human)
,47936,"Berman HM, Westbrook J, Feng Z, Gilliland G, Bhat TN, Weissig H, Shindyalov IN, Bourne PE. The Protein Data Bank. Nucleic Acids Res. 2000 Jan 01;28(1):235–42. PMID: 10592235; PMCID: PMC102472.",Forskolin,Toxin and Toxin Target Database (T3DB),PMID:10592235,https://www.ncbi.nlm.nih.gov/pubmed/10592235,108,ADCY2,12499145,PMC102472,10592235,Q08462,Adenylate cyclase type 2,T3D4827,Forskolin,http://www.t3db.ca/toxins/T3D4827,BE0003732,Adenylate cyclase type 2,http://www.t3db.ca/biodb/bio_entities/BE0003732,9606,Homo sapiens (human)
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,108,ADCY2,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,Q08462,Adenylate cyclase type 2,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 2,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,109,ADCY3,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,O60266,Adenylate cyclase type 3,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 3,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,111,ADCY5,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,O95622,Adenylate cyclase type 5,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 5,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
,47936,"Berman HM, Westbrook J, Feng Z, Gilliland G, Bhat TN, Weissig H, Shindyalov IN, Bourne PE. The Protein Data Bank. Nucleic Acids Res. 2000 Jan 01;28(1):235–42. PMID: 10592235; PMCID: PMC102472.",Forskolin,Toxin and Toxin Target Database (T3DB),PMID:10592235,https://www.ncbi.nlm.nih.gov/pubmed/10592235,111,ADCY5,12499145,PMC102472,10592235,O95622,Adenylate cyclase type 5,T3D4827,Forskolin,http://www.t3db.ca/toxins/T3D4827,BE0003733,Adenylate cyclase type 5,http://www.t3db.ca/biodb/bio_entities/BE0003733,9606,Homo sapiens (human)
,47936,"Berman HM, Westbrook J, Feng Z, Gilliland G, Bhat TN, Weissig H, Shindyalov IN, Bourne PE. The Protein Data Bank. Nucleic Acids Res. 2000 Jan 01;28(1):235–42. PMID: 10592235; PMCID: PMC102472.",Forskolin,DrugBank,PMID:10592235,https://www.ncbi.nlm.nih.gov/pubmed/10592235,111,ADCY5,12499145,PMC102472,10592235,O95622,Adenylate cyclase type 5,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0003733,Adenylate cyclase type 5,https://www.drugbank.ca/bio_entities/BE0003733,9606,Homo sapiens (human)
Activator,47936,"Al-Hazza A, Linley J, Aziz Q, Hunter M, Sandle G. Upregulation of basolateral small conductance potassium channels (KCNQ1/KCNE3) in ulcerative colitis. Biochemical and Biophysical Research Communications. 2016 Feb;470(2):473–8. doi: 10.1016/j.bbrc.2015.12.086.|Monaghan TK, MacKenzie CJ, Plevin R, Lutz EM. PACAP-38 induces neuronal differentiation of human SH-SY5Y neuroblastoma cells via cAMP-mediated activation of ERK and p38 MAP kinases<sup>1</sup>. Journal of Neurochemistry. 2007 Oct 08;104(1):74–88. doi: 10.1111/j.1471-4159.2007.05018.x.|Uckert S, Stief CG, Lietz B, Burmester M, Jonas U, Machtens SA: Possible role of bioactive peptides in the regulation of human detrusor smooth muscle - functional effects in vitro and immunohistochemical presence. World J Urol. 2002 Sep;20(4):244-9. doi: 10.1007/s00345-002-0287-y. Epub 2002 Jul 23.|Aiyar N, Disa J, Dang K, Pronin AN, Benovic JL, Nambi P. Involvement of G protein-coupled receptor kinase-6 in desensitization of CGRP receptors. Eur J Pharmacol. 2000 Sep 01;403(1-2):1–7. doi: 10.1016/s0014-2999(00)00419-2. PMID: 10969137.|Lando M, Abemayor E, Verity MA, Sidell N. Modulation of intracellular cyclic adenosine monophosphate levels and the differentiation response of human neuroblastoma cells. Cancer Res. 1990 Feb 01;50(3):722–7. PMID: 2153444.",Forskolin,DrugBank,PMID:26718405|PMID:12215855|PMID:2153444|PMID:17995938|PMID:10969137,https://www.ncbi.nlm.nih.gov/pubmed/26718405|https://www.ncbi.nlm.nih.gov/pubmed/12215855|https://www.ncbi.nlm.nih.gov/pubmed/2153444|https://www.ncbi.nlm.nih.gov/pubmed/17995938|https://www.ncbi.nlm.nih.gov/pubmed/10969137,112,ADCY6,2082426|6412487|6688099|20620845|29522390,PMC2230095|PMC4748010,26718405|12215855|2153444|17995938|10969137,O43306,Adenylate cyclase type 6,DB02587,Colforsin,https://www.drugbank.ca/drugs/DB02587,BE0010179,Adenylate cyclase type 6,https://www.drugbank.ca/bio_entities/BE0010179,9606,Homo sapiens (human)
