action,actname,actvalue,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
Simvastatin results in decreased expression of A2M mRNA,,,54454,"Kalyanasundaram A, Elmore JR, Manazer JR, Golden A, Franklin DP, Galt SW, Zakhary EMA, Carey DJ. Simvastatin suppresses experimental aortic aneurysm expansion. Journal of Vascular Surgery. 2006 Jan;43(1):117–117.e39. doi: 10.1016/j.jvs.2005.08.007.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16414398,https://www.ncbi.nlm.nih.gov/pubmed/16414398,2,A2M,10564525,,16414398,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,2,A2M,https://ctdbase.org/detail.go?type=gene&acc=2,Simvastatin,10116,Rattus norvegicus (Norway rat)
Simvastatin results in decreased expression of ABCA1 mRNA,,,54454,"Beverly BE, Lambright CS, Furr JR, Sampson H, Wilson VS, McIntyre BS, Foster PM, Travlos G, Gray LE. Simvastatin and dipentyl phthalate lower ex vivo testicular testosterone production and exhibit additive effects on testicular testosterone and gene expression via distinct mechanistic pathways in the fetal rat. Toxicol Sci. 2014 Oct;141(2):524–37. PMID: 25055962; PMCID: PMC4200049.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:25055962,https://www.ncbi.nlm.nih.gov/pubmed/25055962,19,ABCA1,12758740,PMC4200049,25055962,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10116,Rattus norvegicus (Norway rat)
,,,54454,,Simvastatin,Drug Gene Interaction database (DGIdb),,,19,ABCA1,,,,,,6225,481107565,,https://www.dgidb.org/drugs/rxcui:36567,,ABCA1,https://www.dgidb.org/genes/hgnc:29,SIMVASTATIN,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ABCA1 mRNA,,,54454,"van der Weide K, de Jonge-Peeters SD, Kuipers F, de Vries EG, Vellenga E. Combining simvastatin with the farnesyltransferase inhibitor tipifarnib results in an enhanced cytotoxic effect in a subset of primary CD34+ acute myeloid leukemia samples. Clin Cancer Res. 2009 May 01;15(9):3076–83. doi: 10.1158/1078-0432.ccr-08-3004. PMID: 19383813.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19383813,https://www.ncbi.nlm.nih.gov/pubmed/19383813,19,ABCA1,11280040,,19383813,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ABCA1,,,54454,"Dong W, Vuletic S, Albers JJ. Differential effects of simvastatin and pravastatin on expression of Alzheimer's disease-related genes in human astrocytes and neuronal cells. Journal of Lipid Research. 2009 Oct;50(10):2095–102. doi: 10.1194/jlr.m900236-jlr200.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:19461118,https://www.ncbi.nlm.nih.gov/pubmed/19461118,19,ABCA1,26867523,PMC2739764,19461118,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in increased expression of ABCA1 mRNA,,,54454,"Guan JZ, Tamasawa N, Murakami H, Matsui J, Tanabe J, Matsuki K, Yamashita M, Suda T. HMG-CoA reductase inhibitor, simvastatin improves reverse cholesterol transport in type 2 diabetic patients with hyperlipidemia. J Atheroscler Thromb. 2008 Feb;15(1):20–5. doi: 10.5551/jat.e512. PMID: 18270459.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:18270459,https://www.ncbi.nlm.nih.gov/pubmed/18270459,19,ABCA1,33562386,,18270459,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,9606,Homo sapiens (human)
Simvastatin results in decreased expression of ABCA1 mRNA,,,54454,"van der Weide K, de Jonge-Peeters S, Huls G, Fehrmann RS, Schuringa JJ, Kuipers F, de Vries EG, Vellenga E. Treatment with high-dose simvastatin inhibits geranylgeranylation in AML blast cells in a subset of AML patients. Exp Hematol. 2012 Mar;40(3):177–186.e6. doi: 10.1016/j.exphem.2011.11.008. PMID: 22120639.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:22120639,https://www.ncbi.nlm.nih.gov/pubmed/22120639,19,ABCA1,3831484,,22120639,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of ABCA1 mRNA,,,54454,"Song G, Liu J, Zhao Z, Yu Y, Tian H, Yao S, Li G, Qin S. Simvastatin reduces atherogenesis and promotes the expression of hepatic genes associated with reverse cholesterol transport in apoE-knockout mice fed high-fat diet. Lipids in Health and Disease. 2011 Jan 18;10(1):8. doi: 10.1186/1476-511x-10-8.|Thelen KM, Rentsch KM, Gutteck U, Heverin M, Olin M, Andersson U, von Eckardstein A, Björkhem I, Lütjohann D. Brain Cholesterol Synthesis in Mice Is Affected by High Dose of Simvastatin but Not of Pravastatin. The Journal of Pharmacology and Experimental Therapeutics. 2006 Mar;316(3):1146–52. doi: 10.1124/jpet.105.094136.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16282522|PMID:21241519,https://www.ncbi.nlm.nih.gov/pubmed/16282522|https://www.ncbi.nlm.nih.gov/pubmed/21241519,19,ABCA1,10650135|20028357,PMC3031258,16282522|21241519,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin results in increased expression of ABCA1 protein,,,54454,"Song G, Liu J, Zhao Z, Yu Y, Tian H, Yao S, Li G, Qin S. Simvastatin reduces atherogenesis and promotes the expression of hepatic genes associated with reverse cholesterol transport in apoE-knockout mice fed high-fat diet. Lipids in Health and Disease. 2011 Jan 18;10(1):8. doi: 10.1186/1476-511x-10-8.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:21241519,https://www.ncbi.nlm.nih.gov/pubmed/21241519,19,ABCA1,10650135,PMC3031258,21241519,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,19,ABCA1,https://ctdbase.org/detail.go?type=gene&acc=19,Simvastatin,10090,Mus musculus (house mouse)
Simvastatin inhibits the reaction [oxygen deficiency results in increased expression of AOC1 mrna],,,54454,"Girgis RE, Ma SF, Ye S, Grigoryev DN, Li D, Hassoun PM, Tuder RM, Johns RA, Garcia JG. Differential gene expression in chronic hypoxic pulmonary hypertension: effect of simvastatin treatment. Chest. 2005 Dec;128(6 Suppl):579S. doi: 10.1378/chest.128.6_suppl.579s. PMID: 16373842.",Simvastatin,Comparative Toxicogenomics Database (CTD),PMID:16373842,https://www.ncbi.nlm.nih.gov/pubmed/16373842,26,AOC1,29471883,,16373842,,,6225,481107565,D019821,https://ctdbase.org/detail.go?type=chem&acc=D019821,26,AOC1,https://ctdbase.org/detail.go?type=gene&acc=26,Simvastatin,10090,Mus musculus (house mouse)
