action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Agonist,,,5910,"Pronin AN, Wang Q, Slepak VZ: Teaching an Old Drug New Tricks: Agonism, Antagonism, and Biased Signaling of Pilocarpine through M3 Muscarinic Acetylcholine Receptor. Mol Pharmacol. 2017 Nov;92(5):601-612. doi: 10.1124/mol.117.109678. Epub 2017 Sep 11.|Panarese V, Moshirfar M: Pilocarpine. .",Pilocarpine,,DrugBank,PMID:28893976|PMID:32310588,https://www.ncbi.nlm.nih.gov/pubmed/28893976|https://www.ncbi.nlm.nih.gov/pubmed/32310588,1128,CHRM1,27717746|900336555,PMC5635516,28893976|32310588,P11229,Muscarinic acetylcholine receptor M1,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0000092,Muscarinic acetylcholine receptor M1,https://www.drugbank.ca/bio_entities/BE0000092,9606,Homo sapiens (human)
Partial agonist,pKi,5.1,5910,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Pilocarpine,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1128,CHRM1,5669298|7007058,PMC1510344,7620715|9224827,P11229,Muscarinic acetylcholine receptor M1,305,pilocarpine,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=305,13,M1 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=13,9606,Homo sapiens (human)
"Pilocarpine is a cholinergic parasympathomimetic agent. it increase secretion by the exocrine glands, and produces contraction of the iris sphincter muscle and ciliary muscle (when given topically to the eyes) by mainly stimulating muscarinic receptors.",,,5910,"Overington JP, Al-Lazikani B, Hopkins AL. How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993–6. doi: 10.1038/nrd2199. PMID: 17139284.|Imming P, Sinning C, Meyer A. Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821–34. doi: 10.1038/nrd2132. PMID: 17016423.|Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Mei L, Lai J, Yamamura HI, Roeske WR. Pharmacologic comparison of selected agonists for the M1 muscarinic receptor in transfected murine fibroblast cells (B82). The Journal of Pharmacology and Experimental Therapeutics. 1990 Feb;256(2):689–94. doi: 10.1016/s0022-3565(25)22996-2.",Pilocarpine,,Toxin and Toxin Target Database (T3DB),PMID:17139284|PMID:17016423|PMID:1704434|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/17139284|https://www.ncbi.nlm.nih.gov/pubmed/17016423|https://www.ncbi.nlm.nih.gov/pubmed/1704434|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1128,CHRM1,5669298|5822765|6499431|19065670,,17139284|17016423|1704434|9224827,P11229,Muscarinic acetylcholine receptor M1,T3D2979,Pilocarpine,http://www.t3db.ca/toxins/T3D2979,BE0000092,Muscarinic acetylcholine receptor M1,http://www.t3db.ca/biodb/bio_entities/BE0000092,9606,Homo sapiens (human)
Muscarinic acetylcholine receptor M1 agonist,,,5910,"Fox RI, Konttinen Y, Fisher A. Use of muscarinic agonists in the treatment of Sjögren's syndrome. Clin Immunol. 2001 Dec;101(3):249–63. doi: 10.1006/clim.2001.5128. PMID: 11726216.",Pilocarpine,,ChEMBL,PMID:11726216,https://www.ncbi.nlm.nih.gov/pubmed/11726216,1128,CHRM1,13180386,,11726216,P11229,Muscarinic acetylcholine receptor M1,CHEMBL550,PILOCARPINE,https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL550,CHEMBL216,Muscarinic acetylcholine receptor M1,https://www.ebi.ac.uk/chembl/explore/target/CHEMBL216,9606,Homo sapiens (human)
AGONIST,EC50,7.02,5910,"Šantrucková E, Doležal V, El-Fakahany EE, Jakubík J. Long-Term Activation upon Brief Exposure to Xanomleline Is Unique to M1 and M4 Subtypes of Muscarinic Acetylcholine Receptors. PLoS ONE. 2014 Feb 18;9(2):e88910. doi: 10.1371/journal.pone.0088910.",Pilocarpine,10.1371/journal.pone.0088910,DrugCentral,PMID:24558448|DOI:10.1371/journal.pone.0088910,https://www.ncbi.nlm.nih.gov/pubmed/24558448|https://doi.org/10.1371/journal.pone.0088910,1128,CHRM1,31672617,PMC3928307,24558448,P11229,Muscarinic acetylcholine receptor M1,2166,pilocarpine,https://drugcentral.org/drugcard/2166,113,Muscarinic acetylcholine receptor M1,https://drugcentral.org/target/P11229/view,9606,Homo sapiens (human)
AGONIST,EC50,6.95,5910,"Šantrucková E, Doležal V, El-Fakahany EE, Jakubík J. Long-Term Activation upon Brief Exposure to Xanomleline Is Unique to M1 and M4 Subtypes of Muscarinic Acetylcholine Receptors. PLoS ONE. 2014 Feb 18;9(2):e88910. doi: 10.1371/journal.pone.0088910.",Pilocarpine,10.1371/journal.pone.0088910,DrugCentral,PMID:24558448|DOI:10.1371/journal.pone.0088910,https://www.ncbi.nlm.nih.gov/pubmed/24558448|https://doi.org/10.1371/journal.pone.0088910,1129,CHRM2,31672617,PMC3928307,24558448,P08172,Muscarinic acetylcholine receptor M2,2166,pilocarpine,https://drugcentral.org/drugcard/2166,114,Muscarinic acetylcholine receptor M2,https://drugcentral.org/target/P08172/view,9606,Homo sapiens (human)
Agonist,,,5910,"Pronin AN, Wang Q, Slepak VZ: Teaching an Old Drug New Tricks: Agonism, Antagonism, and Biased Signaling of Pilocarpine through M3 Muscarinic Acetylcholine Receptor. Mol Pharmacol. 2017 Nov;92(5):601-612. doi: 10.1124/mol.117.109678. Epub 2017 Sep 11.|Panarese V, Moshirfar M: Pilocarpine. .",Pilocarpine,,DrugBank,PMID:28893976|PMID:32310588,https://www.ncbi.nlm.nih.gov/pubmed/28893976|https://www.ncbi.nlm.nih.gov/pubmed/32310588,1129,CHRM2,27717746|900336555,PMC5635516,28893976|32310588,P08172,Muscarinic acetylcholine receptor M2,DB01085,Pilocarpine,https://www.drugbank.ca/drugs/DB01085,BE0000560,Muscarinic acetylcholine receptor M2,https://www.drugbank.ca/bio_entities/BE0000560,9606,Homo sapiens (human)
"Pilocarpine is a cholinergic parasympathomimetic agent. it increase secretion by the exocrine glands, and produces contraction of the iris sphincter muscle and ciliary muscle (when given topically to the eyes) by mainly stimulating muscarinic receptors.",,,5910,"Chen X, Ji ZL, Chen YZ. TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 01;30(1):412–5. PMID: 11752352; PMCID: PMC99057.|Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Pilocarpine,,Toxin and Toxin Target Database (T3DB),PMID:11752352|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/11752352|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1129,CHRM2,5669298|13204825,PMC99057,11752352|9224827,P08172,Muscarinic acetylcholine receptor M2,T3D2979,Pilocarpine,http://www.t3db.ca/toxins/T3D2979,BE0000560,Muscarinic acetylcholine receptor M2,http://www.t3db.ca/biodb/bio_entities/BE0000560,9606,Homo sapiens (human)
Partial agonist,pKi,4.9,5910,"Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.|Richards MH, van Giersbergen PLM. Human muscarinic receptors expressed in A9L and CHO cells: activation by full and partial agonists. British J Pharmacology. 1995 Mar;114(6):1241–9. doi: 10.1111/j.1476-5381.1995.tb13339.x.",Pilocarpine,,IUPHAR/BPS Guide to PHARMACOLOGY,PMID:7620715|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/7620715|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1129,CHRM2,5669298|7007058,PMC1510344,7620715|9224827,P08172,Muscarinic acetylcholine receptor M2,305,pilocarpine,https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=305,14,M2 receptor,https://guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=14,9606,Homo sapiens (human)
,,,5910,"Sykes DA, Dowling MR, Charlton SJ: Exploring the mechanism of agonist efficacy: a relationship between efficacy and agonist dissociation rate at the muscarinic M3 receptor. Mol Pharmacol. 2009 Sep;76(3):543-51. doi: 10.1124/mol.108.054452. Epub 2009 Jun  4.|Figueroa KW, Griffin MT, Ehlert FJ. Selectivity of Agonists for the Active State of M1 to M4 Muscarinic Receptor Subtypes. The Journal of Pharmacology and Experimental Therapeutics. 2009 Jan;328(1):331–42. doi: 10.1124/jpet.108.145219.|Jakubík J, Bacáková L, El-Fakahany EE, Tucek S. Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172–9. doi: 10.1124/mol.52.1.172. PMID: 9224827.",Pilocarpine,,Toxin and Toxin Target Database (T3DB),PMID:19498041|PMID:18824613|PMID:9224827,https://www.ncbi.nlm.nih.gov/pubmed/19498041|https://www.ncbi.nlm.nih.gov/pubmed/18824613|https://www.ncbi.nlm.nih.gov/pubmed/9224827,1131,CHRM3,5151225|5669298|20102743,PMC2644050,19498041|18824613|9224827,P20309,Muscarinic acetylcholine receptor M3,T3D2979,Pilocarpine,http://www.t3db.ca/toxins/T3D2979,BE0000045,Muscarinic acetylcholine receptor M3,http://www.t3db.ca/biodb/bio_entities/BE0000045,9606,Homo sapiens (human)
