action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,refchemids,refsids,srccmpd,srccmpdurl,srctarget,srctargetname,srctargeturl,synonym,taxid,taxname
Agonist,,,60823,"Korhonova M, Doricakova A, Dvorak Z: Optical Isomers of Atorvastatin, Rosuvastatin and Fluvastatin Enantiospecifically Activate Pregnane X Receptor PXR and Induce CYP2A6, CYP2B6 and CYP3A4 in Human Hepatocytes. PLoS One. 2015 Sep 14;10(9):e0137720. doi: 10.1371/journal.pone.0137720. eCollection 2015.|Chauvin B, Drouot S, Barrail-Tran A, Taburet AM. Drug-drug interactions between HMG-CoA reductase inhibitors (statins) and antiviral protease inhibitors. Clin Pharmacokinet. 2013 Oct;52(10):815–31. doi: 10.1007/s40262-013-0075-4. PMID: 23703578.|Hu W, Sorrentino C, Denison MS, Kolaja K, Fielden MR. Induction of cyp1a1 is a nonspecific biomarker of aryl hydrocarbon receptor activation: results of large scale screening of pharmaceuticals and toxicants in vivo and in vitro. Mol Pharmacol. 2007 Jun;71(6):1475–86. doi: 10.1124/mol.106.032748. PMID: 17327465.",Atorvastatin,,DrugBank,PMID:17327465|PMID:23703578|PMID:26366873,https://www.ncbi.nlm.nih.gov/pubmed/17327465|https://www.ncbi.nlm.nih.gov/pubmed/23703578|https://www.ncbi.nlm.nih.gov/pubmed/26366873,196,AHR,5229146|15313114|33709704,PMC4569258,23703578|17327465|26366873,P35869,Aryl hydrocarbon receptor,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003721,Aryl hydrocarbon receptor,https://www.drugbank.ca/bio_entities/BE0003721,Atorvastatin,9606,Homo sapiens (human)
,,,60823,"Chauvin B, Drouot S, Barrail-Tran A, Taburet AM. Drug-drug interactions between HMG-CoA reductase inhibitors (statins) and antiviral protease inhibitors. Clin Pharmacokinet. 2013 Oct;52(10):815–31. doi: 10.1007/s40262-013-0075-4. PMID: 23703578.|Hu W, Sorrentino C, Denison MS, Kolaja K, Fielden MR. Induction of cyp1a1 is a nonspecific biomarker of aryl hydrocarbon receptor activation: results of large scale screening of pharmaceuticals and toxicants in vivo and in vitro. Mol Pharmacol. 2007 Jun;71(6):1475–86. doi: 10.1124/mol.106.032748. PMID: 17327465.",Atorvastatin,,Toxin and Toxin Target Database (T3DB),PMID:17327465|PMID:23703578,https://www.ncbi.nlm.nih.gov/pubmed/17327465|https://www.ncbi.nlm.nih.gov/pubmed/23703578,196,AHR,5229146|15313114,,17327465|23703578,P35869,Aryl hydrocarbon receptor,6384,481107724,T3D4980,http://www.t3db.ca/toxins/T3D4980,BE0003721,Aryl hydrocarbon receptor,http://www.t3db.ca/biodb/bio_entities/BE0003721,Atorvastatin,9606,Homo sapiens (human)
Binder,,,60823,"McIver LA, Siddique MS: Atorvastatin .",Atorvastatin,,DrugBank,PMID:28613530,https://www.ncbi.nlm.nih.gov/pubmed/28613530,213,ALB,900335025,,28613530,P02768,Albumin,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0000530,Albumin,https://www.drugbank.ca/bio_entities/BE0000530,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,"Becker ML, Elens LL, Visser LE, Hofman A, Uitterlinden AG, van Schaik RH, Stricker BH: Genetic variation in the ABCC2 gene is associated with dose decreases or switches to other cholesterol-lowering drugs during simvastatin and atorvastatin therapy. Pharmacogenomics J. 2013 Jun;13(3):251-6. doi: 10.1038/tpj.2011.59. Epub 2011 Dec 20.",Atorvastatin,,DrugBank,PMID:22186618,https://www.ncbi.nlm.nih.gov/pubmed/22186618,1244,ABCC2,20823370,,22186618,Q92887,ATP-binding cassette sub-family C member 2,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0001069,ATP-binding cassette sub-family C member 2,https://www.drugbank.ca/bio_entities/BE0001069,Atorvastatin,9606,Homo sapiens (human)
Substrate,,,60823,,Atorvastatin,,DrugBank,,,1551,CYP3A7,,,,P24462,Cytochrome P450 3A7,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003612,Cytochrome P450 3A7,https://www.drugbank.ca/bio_entities/BE0003612,Atorvastatin,9606,Homo sapiens (human)
Inducer,,,60823,"Zhou SF, Zhou ZW, Yang LP, Cai JP. Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Curr Med Chem. 2009;16(27):3480–675. doi: 10.2174/092986709789057635. PMID: 19515014.|Kobayashi K, Yamanaka Y, Iwazaki N, Nakajo I, Hosokawa M, Negishi M, Chiba K. Identification of HMG-CoA reductase inhibitors as activators for human, mouse and rat constitutive androstane receptor. Drug Metab Dispos. 2005 Jul;33(7):924–9. doi: 10.1124/dmd.104.002741. PMID: 15802384.|Kocarek TA, Dahn MS, Cai H, Strom SC, Mercer-Haines NA. Regulation of CYP2B6 and CYP3A expression by hydroxymethylglutaryl coenzyme A inhibitors in primary cultured human hepatocytes. Drug Metab Dispos. 2002 Dec;30(12):1400–5. doi: 10.1124/dmd.30.12.1400. PMID: 12433810.",Atorvastatin,,DrugBank,PMID:12433810|PMID:15802384|PMID:19515014,https://www.ncbi.nlm.nih.gov/pubmed/12433810|https://www.ncbi.nlm.nih.gov/pubmed/15802384|https://www.ncbi.nlm.nih.gov/pubmed/19515014,1555,CYP2B6,1049177|16654425|24017409,,19515014|12433810|15802384,P20813,Cytochrome P450 2B6,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003549,Cytochrome P450 2B6,https://www.drugbank.ca/bio_entities/BE0003549,Atorvastatin,9606,Homo sapiens (human)
Inhibitor,,,60823,"Cohen LH, van Leeuwen RE, van Thiel GC, van Pelt JF, Yap SH. Equally potent inhibitors of cholesterol synthesis in human hepatocytes have distinguishable effects on different cytochrome P450 enzymes. Biopharm Drug Dispos. 2000 Dec;21(9):353–64. doi: 10.1002/bdd.249. PMID: 11523064.",Atorvastatin,,DrugBank,PMID:11523064,https://www.ncbi.nlm.nih.gov/pubmed/11523064,1557,CYP2C19,912271,,11523064,P33261,Cytochrome P450 2C19,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0003536,Cytochrome P450 2C19,https://www.drugbank.ca/bio_entities/BE0003536,Atorvastatin,9606,Homo sapiens (human)
Substrate|Inhibitor,,,60823,"Backman JT, Filppula AM, Niemi M, Neuvonen PJ. Role of Cytochrome P450 2C8 in Drug Metabolism and Interactions. Pharmacol Rev. 2016 Jan;68(1):168–241. doi: 10.1124/pr.115.011411. PMID: 26721703.|Tornio A, Pasanen MK, Laitila J, Neuvonen PJ, Backman JT. Comparison of 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase inhibitors (statins) as inhibitors of cytochrome P450 2C8. Basic Clin Pharmacol Toxicol. 2005 Aug;97(2):104–8. doi: 10.1111/j.1742-7843.2005.pto_134.x. PMID: 15998357.|Jacobsen W, Kuhn B, Soldner A, Kirchner G, Sewing K, Kollman PA, Benet LZ, Christians U. Lactonization Is the Critical First Step in the Disposition of the 3-Hydroxy-3-Methylglutaryl-Coa Reductase Inhibitor Atorvastatin. Drug Metabolism and Disposition. 2000 Nov;28(11):1369–78. doi: 10.1016/s0090-9556(24)15086-6.",Atorvastatin,,DrugBank,PMID:11038166|PMID:15998357|PMID:26721703,https://www.ncbi.nlm.nih.gov/pubmed/11038166|https://www.ncbi.nlm.nih.gov/pubmed/15998357|https://www.ncbi.nlm.nih.gov/pubmed/26721703,1558,CYP2C8,212854|2347122|6691035,,26721703|11038166|15998357,P10632,Cytochrome P450 2C8,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0002887,Cytochrome P450 2C8,https://www.drugbank.ca/bio_entities/BE0002887,Atorvastatin,9606,Homo sapiens (human)
Inhibitor,,,60823,"Cohen LH, van Leeuwen RE, van Thiel GC, van Pelt JF, Yap SH. Equally potent inhibitors of cholesterol synthesis in human hepatocytes have distinguishable effects on different cytochrome P450 enzymes. Biopharm Drug Dispos. 2000 Dec;21(9):353–64. doi: 10.1002/bdd.249. PMID: 11523064.",Atorvastatin,,DrugBank,PMID:11523064,https://www.ncbi.nlm.nih.gov/pubmed/11523064,1559,CYP2C9,912271,,11523064,P11712,Cytochrome P450 2C9,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0002793,Cytochrome P450 2C9,https://www.drugbank.ca/bio_entities/BE0002793,Atorvastatin,9606,Homo sapiens (human)
Inhibitor,,,60823,"Cohen LH, van Leeuwen RE, van Thiel GC, van Pelt JF, Yap SH. Equally potent inhibitors of cholesterol synthesis in human hepatocytes have distinguishable effects on different cytochrome P450 enzymes. Biopharm Drug Dispos. 2000 Dec;21(9):353–64. doi: 10.1002/bdd.249. PMID: 11523064.",Atorvastatin,,DrugBank,PMID:11523064,https://www.ncbi.nlm.nih.gov/pubmed/11523064,1565,CYP2D6,912271,,11523064,P10635,Cytochrome P450 2D6,6384,481107724,DB01076,https://www.drugbank.ca/drugs/DB01076,BE0002363,Cytochrome P450 2D6,https://www.drugbank.ca/bio_entities/BE0002363,Atorvastatin,9606,Homo sapiens (human)
