action,actname,actvalue,cid,citations,cmpdname,dois,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
,,,700,"Sipes NS, Martin MT, Kothiya P, Reif DM, Judson RS, Richard AM, Houck KA, Dix DJ, Kavlock RJ, Knudsen TB: Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays. Chem Res Toxicol. 2013 Jun 17;26(6):878-95. doi: 10.1021/tx400021f. Epub 2013 May 16.",Ethanolamine,,Toxin and Toxin Target Database (T3DB),PMID:23611293,https://www.ncbi.nlm.nih.gov/pubmed/23611293,196,AHR,5929097,PMC3685188,23611293,P35869,Aryl hydrocarbon receptor,T3D4769,Ethanolamine,http://www.t3db.ca/toxins/T3D4769,BE0003721,Aryl hydrocarbon receptor,http://www.t3db.ca/biodb/bio_entities/BE0003721,9606,Homo sapiens (human)
,,,700,,Ethanolamine,,DrugBank,,,306,ANXA3,,,,P12429,Annexin A3,DB03994,Ethanolamine,https://www.drugbank.ca/drugs/DB03994,BE0003201,Annexin A3,https://www.drugbank.ca/bio_entities/BE0003201,9606,Homo sapiens (human)
,,,700,,Ethanolamine,,Toxin and Toxin Target Database (T3DB),,,306,ANXA3,,,,P12429,Annexin A3,T3D4769,Ethanolamine,http://www.t3db.ca/toxins/T3D4769,BE0003201,Annexin A3,http://www.t3db.ca/biodb/bio_entities/BE0003201,9606,Homo sapiens (human)
[3-deazaadenosine co-treated with ethanolamine] results in decreased secretion of APOB protein alternative form|[clofibric acid co-treated with ethanolamine] results in decreased secretion of APOB protein alternative form|[bezafibrate co-treated with ethanolamine] results in decreased secretion of APOB protein alternative form,,,700,"Tomoko Nishimaki-Mogami, Kazuhiro Suzuki, Atsushi Takahashi. The role of phosphatidylethanolamine methylation in the secretion of very low density lipoproteins by cultured rat hepatocytes: rapid inhibition of phosphatidylethanolamine methylation by bezafibrate increases the density of apolipoprotein B48-containing lipoproteins. Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism. 1996 Nov;1304(1):21–31. doi: 10.1016/s0005-2760(96)00100-2.",Ethanolamine,,Comparative Toxicogenomics Database (CTD),PMID:8944747,https://www.ncbi.nlm.nih.gov/pubmed/8944747,338,APOB,32044825,,8944747,,,D019856,Ethanolamine,https://ctdbase.org/detail.go?type=chem&acc=D019856,338,APOB,https://ctdbase.org/detail.go?type=gene&acc=338,10116,Rattus norvegicus (Norway rat)
[clofibric acid co-treated with ethanolamine] results in decreased secretion of APOE protein|[3-deazaadenosine co-treated with ethanolamine] results in decreased secretion of APOE protein|[bezafibrate co-treated with ethanolamine] results in decreased secretion of APOE protein,,,700,"Tomoko Nishimaki-Mogami, Kazuhiro Suzuki, Atsushi Takahashi. The role of phosphatidylethanolamine methylation in the secretion of very low density lipoproteins by cultured rat hepatocytes: rapid inhibition of phosphatidylethanolamine methylation by bezafibrate increases the density of apolipoprotein B48-containing lipoproteins. Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism. 1996 Nov;1304(1):21–31. doi: 10.1016/s0005-2760(96)00100-2.",Ethanolamine,,Comparative Toxicogenomics Database (CTD),PMID:8944747,https://www.ncbi.nlm.nih.gov/pubmed/8944747,348,APOE,32044825,,8944747,,,D019856,Ethanolamine,https://ctdbase.org/detail.go?type=chem&acc=D019856,348,APOE,https://ctdbase.org/detail.go?type=gene&acc=348,10116,Rattus norvegicus (Norway rat)
Ethanolamine results in increased expression of SARDH mRNA,,,700,"van der Ven LTM, Schoonen WG, Groot RM, den Ouden F, Heusinkveld HJ, Zwart EP, Hodemaekers HM, Rorije E, de Knecht J. The effects of aliphatic alcohols and related acid metabolites in zebrafish embryos - correlations with rat developmental toxicity and with effects in advanced life stages in fish. Toxicol Appl Pharmacol. 2020 Nov 15;407():115249. doi: 10.1016/j.taap.2020.115249. PMID: 32979392.",Ethanolamine,,Comparative Toxicogenomics Database (CTD),PMID:32979392,https://www.ncbi.nlm.nih.gov/pubmed/32979392,1757,SARDH,12914076,,32979392,,,D019856,Ethanolamine,https://ctdbase.org/detail.go?type=chem&acc=D019856,1757,SARDH,https://ctdbase.org/detail.go?type=gene&acc=1757,7955,Danio rerio (zebrafish)
Ethanolamine results in increased activity of EGF protein,,,700,"Katayama M, Shoji M, Satomi S. Differential growth properties of normal and malignant esophageal epithelial cells: a possible cross talk between transforming growth factor-beta1 and epidermal growth factor signaling. Tohoku J Exp Med. 2005 May;206(1):61–71. doi: 10.1620/tjem.206.61. PMID: 15802876.",Ethanolamine,,Comparative Toxicogenomics Database (CTD),PMID:15802876,https://www.ncbi.nlm.nih.gov/pubmed/15802876,1950,EGF,16654895,,15802876,,,D019856,Ethanolamine,https://ctdbase.org/detail.go?type=chem&acc=D019856,1950,EGF,https://ctdbase.org/detail.go?type=gene&acc=1950,9606,Homo sapiens (human)
,,,700,,Ethanolamine,,Drug Gene Interaction database (DGIdb),,,2099,ESR1,,,,,,,MONOETHANOLAMINE,https://www.dgidb.org/drugs/ncit:C61756,,ESR1,https://www.dgidb.org/genes/hgnc:3467,9606,Homo sapiens (human)
Ethanolamine results in increased activity of FGF1 protein,,,700,"Katayama M, Shoji M, Satomi S. Differential growth properties of normal and malignant esophageal epithelial cells: a possible cross talk between transforming growth factor-beta1 and epidermal growth factor signaling. Tohoku J Exp Med. 2005 May;206(1):61–71. doi: 10.1620/tjem.206.61. PMID: 15802876.",Ethanolamine,,Comparative Toxicogenomics Database (CTD),PMID:15802876,https://www.ncbi.nlm.nih.gov/pubmed/15802876,2246,FGF1,16654895,,15802876,,,D019856,Ethanolamine,https://ctdbase.org/detail.go?type=chem&acc=D019856,2246,FGF1,https://ctdbase.org/detail.go?type=gene&acc=2246,9606,Homo sapiens (human)
PNLIPRP2 protein results in increased metabolism of ethanolamine,,,700,"Roussel A, Yang Y, Ferrato F, Verger R, Cambillau C, Lowe M. Structure and Activity of Rat Pancreatic Lipase-related Protein 2. Journal of Biological Chemistry. 1998 Nov;273(48):32121–8. doi: 10.1074/jbc.273.48.32121.",Ethanolamine,,Comparative Toxicogenomics Database (CTD),PMID:9822688,https://www.ncbi.nlm.nih.gov/pubmed/9822688,5408,PNLIPRP2,30039697,,9822688,,,D019856,Ethanolamine,https://ctdbase.org/detail.go?type=chem&acc=D019856,5408,PNLIPRP2,https://ctdbase.org/detail.go?type=gene&acc=5408,10116,Rattus norvegicus (Norway rat)
