action,cid,citations,cmpdname,dsn,evids,evurls,geneid,genename,pclids,pmcids,pmids,protacxn,protname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,taxid,taxname
Ginsenoside rb1 results in increased phosphorylation of AKT1 protein|pertussis toxin inhibits the reaction [ginsenoside rb1 results in increased phosphorylation of AKT1 protein]|2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one inhibits the reaction [ginsenoside rb1 results in increased phosphorylation of AKT1 protein]|fulvestrant inhibits the reaction [ginsenoside rb1 results in increased phosphorylation of AKT1 protein],9898279,"Hwang YP, Jeong HG. Ginsenoside Rb1 protects against 6-hydroxydopamine-induced oxidative stress by increasing heme oxygenase-1 expression through an estrogen receptor-related PI3K/Akt/Nrf2-dependent pathway in human dopaminergic cells. Toxicol Appl Pharmacol. 2010 Jan 01;242(1):18–28. doi: 10.1016/j.taap.2009.09.009. PMID: 19781563.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:19781563,https://www.ncbi.nlm.nih.gov/pubmed/19781563,207,AKT1,28867610,,19781563,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,207,AKT1,https://ctdbase.org/detail.go?type=gene&acc=207,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of ATP6V1A mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,523,ATP6V1A,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,523,ATP6V1A,https://ctdbase.org/detail.go?type=gene&acc=523,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of ATP6V1B2 mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,526,ATP6V1B2,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,526,ATP6V1B2,https://ctdbase.org/detail.go?type=gene&acc=526,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [aluminum chloride results in decreased expression of BMP2 mrna]|ginsenoside rb1 results in increased expression of BMP2 mRNA,9898279,"Zhu Y, Hu C, Zheng P, Miao L, Yan X, Li H, Wang Z, Gao B, Li Y. Ginsenoside Rb1 alleviates aluminum chloride-induced rat osteoblasts dysfunction. Toxicology. 2016 Aug 10;368-369():183–8. doi: 10.1016/j.tox.2016.07.014. PMID: 27470910.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:27470910,https://www.ncbi.nlm.nih.gov/pubmed/27470910,650,BMP2,30374170,,27470910,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,650,BMP2,https://ctdbase.org/detail.go?type=gene&acc=650,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased cleavage of CASP1 protein]|cyclosporine inhibits the reaction [ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in increased cleavage of CASP1 protein]],9898279,"Zhang R, Guan S, Meng Z, Zhang D, Lu J. Ginsenoside Rb1 alleviates 3-MCPD-induced renal cell pyroptosis by activating mitophagy. Food Chem Toxicol. 2024 Apr;186():114522. doi: 10.1016/j.fct.2024.114522. PMID: 38373586.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:38373586,https://www.ncbi.nlm.nih.gov/pubmed/38373586,834,CASP1,36835912,,38373586,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,834,CASP1,https://ctdbase.org/detail.go?type=gene&acc=834,10090,Mus musculus (house mouse)
Ginsenoside rb1 inhibits the reaction [oxidopamine results in increased activity of CASP3 protein],9898279,"Hwang YP, Jeong HG. Ginsenoside Rb1 protects against 6-hydroxydopamine-induced oxidative stress by increasing heme oxygenase-1 expression through an estrogen receptor-related PI3K/Akt/Nrf2-dependent pathway in human dopaminergic cells. Toxicol Appl Pharmacol. 2010 Jan 01;242(1):18–28. doi: 10.1016/j.taap.2009.09.009. PMID: 19781563.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:19781563,https://www.ncbi.nlm.nih.gov/pubmed/19781563,836,CASP3,28867610,,19781563,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,836,CASP3,https://ctdbase.org/detail.go?type=gene&acc=836,9606,Homo sapiens (human)
Ginsenoside rb1 results in increased expression of RUNX2 mrna|ginsenoside rb1 inhibits the reaction [aluminum chloride results in decreased expression of RUNX2 mrna],9898279,"Zhu Y, Hu C, Zheng P, Miao L, Yan X, Li H, Wang Z, Gao B, Li Y. Ginsenoside Rb1 alleviates aluminum chloride-induced rat osteoblasts dysfunction. Toxicology. 2016 Aug 10;368-369():183–8. doi: 10.1016/j.tox.2016.07.014. PMID: 27470910.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:27470910,https://www.ncbi.nlm.nih.gov/pubmed/27470910,860,RUNX2,30374170,,27470910,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,860,RUNX2,https://ctdbase.org/detail.go?type=gene&acc=860,10116,Rattus norvegicus (Norway rat)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of CLCN7 mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,1186,CLCN7,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,1186,CLCN7,https://ctdbase.org/detail.go?type=gene&acc=1186,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of CTSB mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,1508,CTSB,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,1508,CTSB,https://ctdbase.org/detail.go?type=gene&acc=1508,9606,Homo sapiens (human)
Ginsenoside rb1 inhibits the reaction [alpha-chlorohydrin results in decreased expression of CTSD mrna],9898279,"Lu J, Lu J, Bu X, Li Y, Ge G, Guan S. Ginsenoside Rb1 alleviates liver injury induced by 3-chloro-1,2-propanediol by stimulating autophagic flux. Journal of Food Science. 2021 Nov 23;86(12):5503–15. doi: 10.1111/1750-3841.15968.",Ginsenoside Rb1,Comparative Toxicogenomics Database (CTD),PMID:34812491,https://www.ncbi.nlm.nih.gov/pubmed/34812491,1509,CTSD,11567484,,34812491,,,C442759,ginsenoside Rb1,https://ctdbase.org/detail.go?type=chem&acc=C442759,1509,CTSD,https://ctdbase.org/detail.go?type=gene&acc=1509,9606,Homo sapiens (human)
