category,cids,citations,core,dois,ecs,externalid,extid,geneids,name,pathwayid,pclids,pmcids,pmids,protacxns,pwacc,pwtype,source,srcid,taxid,taxname,url
pathway,280|305|668|700|753|892|962|1004|1014|1015|1038|5884|5886|5957|6022|6131|13804|34755|123727|439153|439155|439162|4097574|6857552|7058166|15938971|25113190,,1,,,LEISH_PWY3IU-205,PWY3IU-205,,superpathway of phospholipid biosynthesis,28127,,,,,BioCyc:LEISH_PWY3IU-205,organism_specific,BioCyc,1,347515,Leishmania major strain Friedlin,https://biocyc.org/pathway?orgid=LEISH&id=PWY3IU-205
pathway,280|305|700|753|892|962|1004|1014|1015|1038|5957|6022|6131|13804|34755|123727|439155|439162|4097574|6857552|7058166,"Zhang K, Pompey JM, Hsu FF, Key P, Bandhuvula P, Saba JD, Turk J, Beverley SM. Redirection of sphingolipid metabolism toward de novo synthesis of ethanolamine in Leishmania. EMBO J. 2007 Feb 21;26(4):1094–104. PMID: 17290222; PMCID: PMC1852826.|Zufferey R, Mamoun CB. The initial step of glycerolipid metabolism in <i> Leishmania major</i> promastigotes involves a single glycerol-3-phosphate acyltransferase enzyme important for the synthesis of triacylglycerol but not essential for virulence. Molecular Microbiology. 2005 Mar 15;56(3):800–10. doi: 10.1111/j.1365-2958.2005.04579.x.|Zufferey R, Mamoun CB. Choline transport in Leishmania major promastigotes and its inhibition by choline and phosphocholine analogs. Molecular and Biochemical Parasitology. 2002 Nov;125(1-2):127–34. doi: 10.1016/s0166-6851(02)00220-7.|Wassef MK, Fioretti TB, Dwyer DM. Lipid analyses of isolated surface membranes of Leishmania donovani promastigotes. Lipids. 1985 Feb;20(2):108–15. doi: 10.1007/bf02534216. PMID: 3982233.",1,10.1007/bf02534216|10.1016/s0166-6851(02)00220-7|10.1038/sj.emboj.7601565|10.1111/j.1365-2958.2005.04579.x,,LEISH_PWY3IU-157,PWY3IU-157,,ester phospholipid biosynthesis,28128,308018|3742541|5013914|17779690,PMC1852826,3982233|12467980|15819633|17290222,,BioCyc:LEISH_PWY3IU-157,organism_specific,BioCyc,1,347515,Leishmania major strain Friedlin,https://biocyc.org/pathway?orgid=LEISH&id=PWY3IU-157
Metabolic Process,58|196|248|271|305|457|487|700|703|750|784|936|962|977|1051|1175|1188|5862|5884|5885|5951|6112|6137|6305|10917|14985|27099|27284|27854|32051|33032|34756|65359|91552|107873|124886|158980|439155|439258|444899|445049|445580|446284|448457|493570|5280383|5280427|5280450|5280492|5280493|5280497|5280733|5280778|5280878|5280879|5280883|5280914|5280915|5280934|5280937|5283078|5283137|5460183|6441454|44176380|53356659|54670067|135398638|135398658|135483998,"Lu C, Qiu F, Zhou H, Peng Y, Hao W, Xu J, Yuan J, Wang S, Qiang B, Xu C, Peng X. Identification and characterization of selenoprotein K: an antioxidant in cardiomyocytes. FEBS Lett. 2006 Oct 02;580(22):5189–97. doi: 10.1016/j.febslet.2006.08.065. PMID: 16962588.",1,10.1016/j.febslet.2006.08.065,,WP1311,WP1311,292301|342184,Folic acid network,38618,12615930,,16962588,,WikiPathways:WP1311,organism_specific,WikiPathways,5,10116,Rattus norvegicus (Norway rat),https://classic.wikipathways.org/index.php/Pathway:WP1311
,51|119|239|243|311|338|649|700|724|743|750|787|892|938|970|985|1005|1045|1060|1102|1110|1150|1174|1198|2526|5281|5610|5779|5862|5950|5951|5958|5960|5961|5962|5988|5997|6057|6106|6137|6140|6262|6267|6274|6287|6288|6305|6306|6322|6508|7427|7618|8742|10267|10690|11005|11197|12647|14985|25310|33032|34756|64689|67678|69507|84740|91552|92133|107689|107737|124886|128861|135191|145742|173183|185698|222284|439162|439194|439242|439709|440667|444173|444493|444972|643757|656523|656525|656531|656539|656541|656545|689043|5280343|5280435|5280450|5280459|5280794|5280863|5280934|5281654|5460407|5486199|6325870|9882882|10197243|10991489|11727586|54670067,"Sumner LW, Lei Z, Nikolau BJ, Saito K. Modern plant metabolomics: advanced natural product gene discoveries, improved technologies, and future prospects. Nat Prod Rep. 2015 Feb;32(2):212–29. doi: 10.1039/c4np00072b. PMID: 25342293.",1,10.1039/c4np00072b,,WP3622,WP3622,,AtMetExpress overview,38901,3201991,,25342293,,WikiPathways:WP3622,organism_specific,WikiPathways,5,3702,Arabidopsis thaliana (thale cress),https://classic.wikipathways.org/index.php/Pathway:WP3622
Metabolic Process,305|700|1014|1015|5951|6131|13804|34755|123727|439155|644102|7010590,"Gibellini F, Smith TK. The Kennedy pathway--De novo synthesis of phosphatidylethanolamine and phosphatidylcholine. IUBMB Life. 2010 Jun;62(6):414–28. doi: 10.1002/iub.337. PMID: 20503434.",1,10.1002/iub.337,,WP1771,WP1771,12651|12660|13026|18618|19210|20397|27388|68671|75320|99712|212862|214253|236899|320951,Kennedy pathway,39074,3808045,,20503434,,WikiPathways:WP1771,organism_specific,WikiPathways,5,10090,Mus musculus (house mouse),https://classic.wikipathways.org/index.php/Pathway:WP1771
,105|187|247|305|673|700|724|750|778|1014|1015|1045|1088|1102|1103|1123|5862|5884|5886|5951|6137|6262|7405|9700|13804|23327|34755|65063|65359|68841|80283|107812|123727|123938|124886|387316|439155|439258|1549098|3593277|6409687|7014903|7018721|25203490|46783527|135398556|135398561|135398604|135398650|135398652|135398657|135398658|135398690,"Ducker GS, Rabinowitz JD. One-Carbon Metabolism in Health and Disease. Cell Metabolism. 2017 Jan;25(1):27–42. doi: 10.1016/j.cmet.2016.08.009.",1,10.1016/j.cmet.2016.08.009,,WP2525,WP2525,191|275|570|586|587|635|875|1036|1119|1120|1491|1719|1757|1759|1788|1789|2571|2572|2729|2730|2876|2877|2878|2879|2880|2882|2936|2937|4143|4144|4522|4524|4548|5130|5337|5723|5833|6470|6472|6647|6649|7298|9468|10390|10400|10768|10797|23382|23743|25902|26227|27232|27430|29947|29958|29968|51380|55224|55349|55500|56994|64902|200895|257202|441024|102724560,"Trans-sulfuration, one-carbon metabolism and related pathways",39738,1208154,PMC5353360,27641100,,WikiPathways:WP2525,organism_specific,WikiPathways,5,9606,Homo sapiens (human),https://classic.wikipathways.org/index.php/Pathway:WP2525
,305|668|700|753|784|892|962|1014|1015|4995|5884|5886|5892|5951|5957|6022|6131|6176|6816|13805|34756|123727|439153|439155|439427|444493|449976|5288642|6857386|7048686|9547157|17756737|53481029,"Houtkooper RH, Vaz FM. Cardiolipin, the heart of mitochondrial metabolism. Cellular and Molecular Life Sciences. 2008 Apr 21;65(16):2493–506. doi: 10.1007/s00018-008-8030-5.",1,10.1007/s00018-008-8030-5,1.1.1.101|1.1.1.8|2.1.1.17|2.1.1.71|2.3.1.15|2.3.1.20|2.3.1.22|2.3.1.42|2.3.1.51|2.5.1.26|2.7.1.137|2.7.1.140|2.7.1.151|2.7.1.153|2.7.1.154|2.7.1.30|2.7.1.32|2.7.1.67|2.7.1.68|2.7.1.82|2.7.11.1|2.7.7.14|2.7.7.41|2.7.8.1|2.7.8.11|2.7.8.2|2.7.8.22|2.7.8.29|2.7.8.41|2.7.8.5|3.1.1.3|3.1.1.4|3.1.3.16|3.1.3.27|3.1.3.4|3.1.3.48,WP2533,WP2533,1120|2710|2819|5290|5291|5293|5294|5320|5833|8394|8443|8540|8760|9489|9663|9791|10390|10400|10423|23175|54675|55361|56994|57678|84803|114971|137964|150763|253430|346606|854682|855593,Glycerophospholipid biosynthetic pathway,39740,32209871,PMC11131844,18425414,O00116|O00329|O14735|O15228|O95674|P14555|P17898|P21695|P32189|P40471|P42336|P42338|P48651|P48736|Q14693|Q32NB8|Q53EU6|Q6NUI2|Q86UL3|Q86VF5|Q8NFU5|Q8WUD6|Q8WUK0|Q92539|Q99447|Q99755|Q9BTU6|Q9HCL2|Q9UBM1|Q9UJA2|Q9Y259|Q9Y6K0,WikiPathways:WP2533,organism_specific,WikiPathways,5,9606,Homo sapiens (human),https://classic.wikipathways.org/index.php/Pathway:WP2533
,49|51|58|70|71|86|88|96|98|105|110|111|118|119|128|137|177|187|190|203|204|215|227|239|248|249|278|305|311|321|479|586|597|599|648|649|668|673|681|700|724|743|750|751|753|757|760|763|774|780|782|788|800|802|803|867|868|880|892|910|964|967|970|971|979|997|1005|1014|1015|1018|1021|1032|1045|1059|1060|1066|1088|1100|1102|1103|1110|1112|1118|1123|1135|1150|1167|1174|1175|1176|1179|1188|1194|1195|1826|3614|3845|4971|5202|5699|5753|5754|5756|5757|5779|5780|5789|5816|5819|5839|5862|5870|5879|5880|5881|5920|5950|5951|5957|5958|5960|5961|5962|5988|5994|5997|6013|6029|6030|6031|6047|6057|6083|6106|6128|6131|6132|6133|6137|6140|6166|6175|6176|6238|6262|6267|6274|6287|6288|6305|6306|6322|6613|6675|6912|7027|7339|8629|8955|8988|9305|9700|9750|10133|10140|10214|10238|10267|10690|10712|11222|11811|12473|12594|12599|12647|13711|13730|13805|13945|15993|16950|17473|18068|22253|25701|33032|33037|34756|41635|60961|61503|64689|64959|64968|65063|65070|65091|65110|65359|65533|65553|65554|65728|67678|68152|68841|69507|72423|72424|73323|74688|82400|84571|87642|91451|91486|91493|91552|92133|92136|92746|92753|92832|93072|99478|102030|105021|107689|107722|107737|107812|115116|115254|121396|121893|122357|123727|123743|123874|123912|123938|124886|130805|131204|135191|145729|145742|150855|152304|158980|159296|160499|160556|160603|160617|160666|160913|161166|161500|164628|164838|165388|165390|165435|166760|167685|185698|188966|188984|193305|193321|193475|194080|219833|221493|222656|222786|222865|246873|246983|247020|252379|439155|439162|439168|439174|439184|439190|439191|439194|439198|439207|439213|439217|439227|439230|439233|439255|439260|439269|439273|439278|439280|439281|439286|439316|439357|439373|439391|439400|439402|439418|439423|439432|439434|439452|439573|439577|439614|439709|439744|439764|439853|439905|439954|440014|440018|440033|440046|440101|440114|440162|440272|440273|440282|440304|440574|440623|440624|440667|440677|440695|440707|440775|440776|440851|440854|440863|440864|440873|440996|444485|444493|444679|444791|444972|445127|445675|445713|445995|447145|513472|638072|643757|644066|644109|644110|676414|736172|736715|1549098|2724333|3032849|3036931|3080603|3081383|5280335|5280393|5280398|5280453|5280458|5280499|5280625|5280673|5280793|5280795|5318532|5459811|5459822|5461066|5462266|5462303|5496597|5497143|6325610|6443760|9543026|9543050|9548602|9549326|10062826|10400369|10991489|11953876|11966117|11966171|11966220|12358756|12358757|12444617|13783449|16395893|20849151|21252277|21252287|22833535|22833590|22833609|24771808|24779614|24820757|44263339|44263345|44263347|44263365|44725717|50990081|53356659|53477814|53477844|53477896|53477897|53477898|53477903|53477904|53477905|54670067|54675810|71448903|88558720|92042786|135398559|135398592|135398595|135398597|135398599|135398604|135398619|135398625|135398631|135398633|135398634|135398635|135398638|135398640|135398641|135398652|135402017|135450591|135450599|135483998|135801111|145994596|156907978|156907985,Michal G. On representation of metabolic pathways. Biosystems. 1998 Jun;47(1-2):1–7. doi: 10.1016/s0303-2647(98)00019-7. PMID: 9715748.,1,10.1016/s0303-2647(98)00019-7,,WP3604,WP3604,,Biochemical pathways: part I,39838,25357806,,9715748,,WikiPathways:WP3604,organism_specific,WikiPathways,5,9606,Homo sapiens (human),https://classic.wikipathways.org/index.php/Pathway:WP3604
Metabolic Process,305|700|1014|1015|5951|6131|13804|34755|123727|439155|13891595,"Gibellini F, Smith TK. The Kennedy pathway--De novo synthesis of phosphatidylethanolamine and phosphatidylcholine. IUBMB Life. 2010 Jun;62(6):414–28. doi: 10.1002/iub.337. PMID: 20503434.",1,10.1002/iub.337,,WP3933,WP3933,1119|1120|5130|5833|8879|9468|9791|10390|10400|23761|55224|55500|56994|81490,Kennedy pathway from sphingolipids,39907,3808045,,20503434,,WikiPathways:WP3933,organism_specific,WikiPathways,5,9606,Homo sapiens (human),https://classic.wikipathways.org/index.php/Pathway:WP3933
,247|305|673|700|750|778|1014|1015|1088|1123|5862|5884|5886|5951|6137|7405|13804|23327|34755|65359|80283|107812|123727|123938|124886|387316|439155|439258|1549098|3593277|7014903|7018721|46783527|135398561|135398650|135398657|135398658|135398690,,1,,,WP3940,WP3940,570|586|587|635|1036|1119|1120|1491|1757|1759|1788|2571|2572|2729|2730|2876|2877|2878|2879|2880|2882|2936|2937|4143|4144|4524|4548|5130|5337|5833|6470|6472|6647|6649|7298|9468|10390|10400|10768|23743|27232|29958|51380|55224|55349|55500|56994|64902|200895|257202|102724560,One-carbon metabolism and related pathways,39912,,,,,WikiPathways:WP3940,organism_specific,WikiPathways,5,9606,Homo sapiens (human),https://classic.wikipathways.org/index.php/Pathway:WP3940
Metabolic,187|305|668|700|785|962|1014|1061|4650|5893|6816|15667|439153|439162|445468|446066|446440|452110|460602|644078|3081382|6419701|11583971|22833510|24779556|24779567|49859598|49859692|58177710,,1,,1.1.1.8|1.1.5.3|2.1.1.17|2.1.1.71|2.3.1.-|2.3.1.15|2.3.1.51|2.3.1.6|2.7.1.107|2.7.1.32|2.7.1.82|2.7.1.93|2.7.7.15|2.7.7.41|2.7.8.11|2.7.8.29|2.7.8.41|2.7.8.5|3.1.1.32|3.1.1.4|3.1.1.5|3.1.2.-|3.1.2.22|3.1.3.-|3.1.3.106|3.1.3.16|3.1.3.27|3.1.3.4|3.1.3.48|3.1.3.75|3.1.4.-|3.1.4.4|3.1.4.44|3.6.1.75|4.1.1.65,SMP0000025,SMP0000025,1040|1103|1119|1606|2819|2820|5130|5338|8611|9489|9791|10400|10423|10434|10554|23659|23761|26279|51573|54675|57678|81490|114971|162466|100137049,Phospholipid Biosynthesis,1184547,,,,O14494|O14735|O14939|O75608|P0C869|P21695|P23743|P28329|P35790|P43304|P48651|P49585|Q32NB8|Q8NCC3|Q8TCT1|Q8WUK0|Q92903|Q99943|Q9BVG9|Q9HCL2|Q9NZC3|Q9UBM1|Q9UG56|Q9UJA2|Q9UNK4,PathBank:SMP0000025,organism_specific,PathBank,10,9606,Homo sapiens (human),http://pathbank.org/view/SMP0000025
Metabolic,668|700|1038|5886|5951|6131|6176|6816|439162|439229|644102|5311263|22833512|53481854,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8,SMP0001489,SMP0001489,947321|947496|66671537|66672044|66672494|66673525|67415812|67515820,phospholipid biosynthesis (CL(17:0cycw7c/18:1(9Z)/19:0cycv8c/17:0cycw7c)),1185255,,,,P0A6A8|P0A6S7|P0A7A7|P0ABF8|P0ABG1|P23830|P26647|P75919,PathBank:SMP0001489,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001489
Metabolic,280|668|700|753|962|1038|1061|5886|5951|6131|6176|6816|439162|644102|5283539|5311263|22833512|52925939|52927219|53477937|53478519|53479950|53480424|53481870,,1,,1.1.1.94|2.3.1.15|2.3.1.51|2.3.1.n4|2.7.7.41|2.7.8.-|2.7.8.5|2.7.8.8|3.1.3.27|3.1.3.4|3.6.1.27|3.6.1.75|4.1.1.65,SMP0001041,SMP0001041,947321|947496|66670939|66671283|66671537|66671928|66672044|66672494|66673525|66674897|66674930|67415812|67515820,"phospholipid biosynthesis I (CL(18:2(9Z,12Z)/18:2(9Z,12Z)/18:2(9Z,12Z)/18:2(9Z,12Z)) )",1185344,,,,P0A6A8|P0A6H8|P0A6S7|P0A7A7|P0A8K1|P0A924|P0AA84|P0ABF8|P0ABG1|P18200|P23830|P26647|P75919,PathBank:SMP0001041,organism_specific,PathBank,10,562,Escherichia coli,http://pathbank.org/view/SMP0001041
