cids,citations,dois,expmethod,geneids,lignme,pclids,pdbid,pmcids,pmid,protacxns,resolution,title
271|312|135398675|47936|888|5957,"Mou T, Masada N, Cooper DMF, Sprang SR. Structural Basis for Inhibition of Mammalian Adenylyl Cyclase by Calcium. Biochemistry. 2009 Mar 25;48(15):3387–97. doi: 10.1021/bi802122k.",10.1021/bi802122k,X-RAY DIFFRACTION,403859|281793|81636,FOK|CL|CA|MG|ATP|GSP,25540475,3C16,PMC2680196,19243146,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,2.870000,Complex of GS-Alpha with the Catalytic Domains of Mammalian Adenylyl Cyclase: Complex with Adenosine-5'-Triphosphate and Ca
27854|135398675|47936|888|135509141,"Qi C, Sorrentino S, Medalia O, Korkhov VM. The structure of a membrane adenylyl cyclase bound to an activated stimulatory G protein. Science. 2019 Apr 26;364(6438):389–94. doi: 10.1126/science.aav0778.",10.1126/science.aav0778,ELECTRON MICROSCOPY,281793,FOK|MN|ONM|MG|GSP,13538832,6R4O,,31023924,P04896,4.200000,"Structure of a truncated adenylyl cyclase bound to MANT-GTP, forskolin and an activated stimulatory Galphas protein"
27854|312|135398675|47936|78165|888,"Tesmer JJ, Sunahara RK, Johnson RA, Gosselin G, Gilman AG, Sprang SR. Two-metal-Ion catalysis in adenylyl cyclase. Science. 1999 Jul 30;285(5428):756–60. doi: 10.1126/science.285.5428.756. PMID: 10427002.",10.1126/science.285.5428.756,X-RAY DIFFRACTION,403859|281793|81636,FOK|MN|CL|TAT|MG|GSP|MES,8437252,1CJK,,10427002,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,3.000000,"COMPLEX OF GS-ALPHA WITH THE CATALYTIC DOMAINS OF MAMMALIAN ADENYLYL CYCLASE: COMPLEX WITH ADENOSINE 5'-(ALPHA THIO)-TRIPHOSPHATE (RP), MG, AND MN"
27854|312|135398675|47936|888|135509141,"Mou T, Gille A, Fancy DA, Seifert R, Sprang SR. Structural Basis for the Inhibition of Mammalian Membrane Adenylyl Cyclase by 2 '(3')-O-(N-Methylanthraniloyl)-guanosine 5 '-Triphosphate. Journal of Biological Chemistry. 2005 Feb;280(8):7253–61. doi: 10.1074/jbc.m409076200.",10.1074/jbc.m409076200,X-RAY DIFFRACTION,403859|281793|81636,FOK|MN|ONM|CL|MG|GSP,5076144,1TL7,,15591060,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,2.800000,Complex Of Gs- With The Catalytic Domains Of Mammalian Adenylyl Cyclase: Complex With 2'(3')-O-(N-methylanthraniloyl)-guanosine 5'-triphosphate and Mn
27854|312|135564779|135398675|47936|888,,,X-RAY DIFFRACTION,403859|281793|81636,FOK|MN|CL|MG|GSP|MI3,,3G82,,,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,3.110000,Complex of GS-alpha with the catalytic domains of mammalian adenylyl cyclase: complex with MANT-ITP and Mn
27854|444836|312|135398675|47936|78165|888,"Tesmer JJ, Sunahara RK, Johnson RA, Gosselin G, Gilman AG, Sprang SR. Two-metal-Ion catalysis in adenylyl cyclase. Science. 1999 Jul 30;285(5428):756–60. doi: 10.1126/science.285.5428.756. PMID: 10427002.",10.1126/science.285.5428.756,X-RAY DIFFRACTION,403859|281793|81636,FOK|MN|DAD|CL|MG|GSP|MES,8437252,1CJT,,10427002,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,2.800000,"COMPLEX OF GS-ALPHA WITH THE CATALYTIC DOMAINS OF MAMMALIAN ADENYLYL CYCLASE: COMPLEX WITH BETA-L-2',3'-DIDEOXYATP, MN, AND MG"
312|135398675|47936|888|135509141,"Mou T, Gille A, Fancy DA, Seifert R, Sprang SR. Structural Basis for the Inhibition of Mammalian Membrane Adenylyl Cyclase by 2 '(3')-O-(N-Methylanthraniloyl)-guanosine 5 '-Triphosphate. Journal of Biological Chemistry. 2005 Feb;280(8):7253–61. doi: 10.1074/jbc.m409076200.",10.1074/jbc.m409076200,X-RAY DIFFRACTION,403859|281793|81636,FOK|ONM|CL|MG|GSP,5076144,1U0H,,15591060,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,2.900000,STRUCTURAL BASIS FOR THE INHIBITION OF MAMMALIAN ADENYLYL CYCLASE BY MANT-GTP
444836|312|135398675|47936|78165|888|32051,"Tesmer JJ, Sunahara RK, Johnson RA, Gosselin G, Gilman AG, Sprang SR. Two-metal-Ion catalysis in adenylyl cyclase. Science. 1999 Jul 30;285(5428):756–60. doi: 10.1126/science.285.5428.756. PMID: 10427002.",10.1126/science.285.5428.756,X-RAY DIFFRACTION,403859|281793|81636,FOK|DAD|CL|ZN|MG|GSP|MES,8437252,1CJV,,10427002,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,3.000000,"COMPLEX OF GS-ALPHA WITH THE CATALYTIC DOMAINS OF MAMMALIAN ADENYLYL CYCLASE: COMPLEX WITH BETA-L-2',3'-DIDEOXYATP, MG, AND ZN"
444836|312|135398675|47936|888,"Tesmer JJ, Sunahara RK, Johnson RA, Gosselin G, Gilman AG, Sprang SR. Two-metal-Ion catalysis in adenylyl cyclase. Science. 1999 Jul 30;285(5428):756–60. doi: 10.1126/science.285.5428.756. PMID: 10427002.",10.1126/science.285.5428.756,X-RAY DIFFRACTION,403859|281793|81636,FOK|DAD|CL|MG|GSP,8437252,1CJU,,10427002,P30803|1TL7_A|1CS4_A|P04896|P26769|1CS4_B,2.800000,"COMPLEX OF GS-ALPHA WITH THE CATALYTIC DOMAINS OF MAMMALIAN ADENYLYL CYCLASE: COMPLEX WITH BETA-L-2',3'-DIDEOXYATP AND MG"
47936,"Zhang G, Liu Y, Ruoho AE, Hurley JH. Structure of the adenylyl cyclase catalytic core. Nature. 1997 Mar 20;386(6622):247–53. doi: 10.1038/386247a0. PMID: 9069282.",10.1038/386247a0,X-RAY DIFFRACTION,81636,FOK,12477747,1AB8,,9069282,P26769|1CS4_B,2.200000,RAT TYPE II ADENYLYL CYCLASE C2 DOMAIN/FORSKOLIN COMPLEX
