P32567	Phosphatidic acid phosphohydrolase 1
P32784	Glycerol-3-phosphate O-acyltransferase 1
P33333	1-acyl-sn-glycerol-3-phosphate acyltransferase
P33412	Ethanolamine-phosphate cytidylyltransferase
P36148	Glycerol-3-phosphate O-acyltransferase 2
P36165	Triacylglycerol lipase 4
P40471	NADPH-dependent 1-acyldihydroxyacetone phosphate reductase
P41911	Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial
Q00055	Glycerol-3-phosphate dehydrogenase [NAD(+)] 1
Q03764	Ethanolamine kinase
Q06508	Lysophosphatidic acid:oleoyl-CoA acyltransferase 1
Q08548	Lysophospholipid acyltransferase
Q12043	Triacylglycerol lipase 5
Q12382	CTP-dependent diacylglycerol kinase 1
Q9C0D9	Ethanolaminephosphotransferase 1
