compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
Ginsenoside rb1,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
Ginsenoside rb1,523,ATPase H+ transporting V1 subunit A,ATP6V1A,P38606,P38606
Ginsenoside rb1,526,ATPase H+ transporting V1 subunit B2,ATP6V1B2,P21281,P21281;A0A140VK65
Ginsenoside rb1,650,bone morphogenetic protein 2,BMP2,P12643,P12643;C8C060
Ginsenoside rb1,834,caspase 1,CASP1,P29466,P29466;A8K249;A8K257
Ginsenoside rb1,836,caspase 3,CASP3,P42574,P42574;A8MVM1
Ginsenoside rb1,860,RUNX family transcription factor 2,RUNX2,Q13950,Q13950;A0A0D9SEN7;Q32MY8
Ginsenoside rb1,1186,Cl-/H+ antiporter 7,CLCN7,P51798,P51798
Ginsenoside rb1,1508,cathepsin B,CTSB,P07858,P07858;A0A024R374
Ginsenoside rb1,1509,cathepsin D,CTSD,P07339,P07339;V9HWI3
Ginsenoside rb1,2353,"Fos proto-oncogene, AP-1 transcription factor subunit",FOS,P01100,P01100;Q6FG41
Ginsenoside rb1,3162,heme oxygenase 1,HMOX1,P09601,P09601;Q6FH11
Ginsenoside rb1,3162,heme oxygenase 1,HMOX1,P09601,P09601;Q6FH11
Ginsenoside rb1,3479,insulin like growth factor 1,IGF1,P05019,P05019;Q13429;Q59GC5;Q5U743
Ginsenoside rb1,3553,interleukin 1 beta,IL1B,P01584,P01584
Ginsenoside rb1,3569,interleukin 6,IL6,P05231,P05231;B4DNQ5;B4DVM1;B5MC21;B5MCZ3;Q75MH2
Ginsenoside rb1,3606,interleukin 18,IL18,Q14116,Q14116
Ginsenoside rb1,3684,integrin subunit alpha M,ITGAM,P11215,P11215
Ginsenoside rb1,3689,integrin subunit beta 2,ITGB2,P05107,P05107;A0A494C0X7;B4E0R1
Ginsenoside rb1,3753,potassium voltage-gated channel subfamily E regulatory subunit 1,KCNE1,P15382,P15382;A7LFK2;A7LFK4;C7S316;Q6FHJ6
Ginsenoside rb1,3757,potassium voltage-gated channel subfamily H member 2,KCNH2,Q12809,Q12809;A0A090N7W1;A0A090N7X5;A0A090N8Q0;A0AAQ5BGQ9;Q15BH2
Ginsenoside rb1,3916,lysosomal associated membrane protein 1,LAMP1,P11279,P11279;B3KRY3
Ginsenoside rb1,3939,lactate dehydrogenase A,LDHA,P00338,P00338;V9HWB9
Ginsenoside rb1,4133,microtubule associated protein 2,MAP2,P11137,P11137;A0A024R3Z1;Q6NYC5
Ginsenoside rb1,4772,nuclear factor of activated T cells 1,NFATC1,O95644,O95644;A8K9C6;B4DER8;F5H4S8
Ginsenoside rb1,4780,NFE2 like bZIP transcription factor 2,NFE2L2,Q16236,Q16236;A0A8V8TN14;A0A8V8TPA8
Ginsenoside rb1,4780,NFE2 like bZIP transcription factor 2,NFE2L2,Q16236,Q16236;A0A8V8TN14;A0A8V8TPA8
Ginsenoside rb1,4780,NFE2 like bZIP transcription factor 2,NFE2L2,Q16236,Q16236;A0A8V8TN14;A0A8V8TPA8
Ginsenoside rb1,5025,purinergic receptor P2X 4,P2RX4,Q99571,Q99571
Ginsenoside rb1,5241,progesterone receptor,PGR,P06401,P06401
Ginsenoside rb1,5970,"RELA proto-oncogene, NF-kB subunit",RELA,Q04206,Q04206;A0A087X0W8
Ginsenoside rb1,7040,transforming growth factor beta 1,TGFB1,P01137,P01137;A0A499FJK2
Ginsenoside rb1,7124,tumor necrosis factor,TNF,P01375,P01375;Q5STB3
Ginsenoside rb1,7942,transcription factor EB,TFEB,P19484,P19484;B0QYS6
Ginsenoside rb1,7942,transcription factor EB,TFEB,P19484,P19484;B0QYS6
Ginsenoside rb1,8600,TNF superfamily member 11,TNFSF11,O14788,O14788;Q54A98;Q5T9Y4
Ginsenoside rb1,8878,sequestosome 1,SQSTM1,Q13501,Q13501
Ginsenoside rb1,8878,sequestosome 1,SQSTM1,Q13501,Q13501
Ginsenoside rb1,28234,solute carrier organic anion transporter family member 1B3,SLCO1B3,Q9NPD5,Q9NPD5;B3KP78
Ginsenoside rb1,28234,solute carrier organic anion transporter family member 1B3,SLCO1B3,Q9NPD5,Q9NPD5;B3KP78
Ginsenoside rb1,40336,parkin,PARK,Q7KTX7,Q7KTX7
Ginsenoside rb1,43828,Calcium/calmodulin-dependent protein kinase II,CAMKII,Q00168,Q00168;A4V133;A4V134;D1YSG7;D1YSG8;L0MLP2;L0MLR4;L0MNA2
Ginsenoside rb1,65018,PTEN induced kinase 1,PINK1,Q9BXM7,Q9BXM7
Ginsenoside rb1,79792,gasdermin D,GSDMD,P57764,P57764
Ginsenoside rb1,81631,microtubule associated protein 1 light chain 3 beta,MAP1LC3B,Q9GZQ8,Q9GZQ8;Q658J6
Ginsenoside rb1,114548,NLR family pyrin domain containing 3,NLRP3,Q96P20,Q96P20;A0A7I2PJH0;A0A7I2PMC6;A0A7I2PRX0;A0A7I2R3P8
