uniprot_accession,go_id,aspect,evidence_code
P05177,GO:0004497,molecular_function,IEA
P05177,GO:0004497,molecular_function,IDA
P05177,GO:0004497,molecular_function,IDA
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0004497,molecular_function,TAS
P05177,GO:0005506,molecular_function,IEA
P05177,GO:0005515,molecular_function,IPI
P05177,GO:0005515,molecular_function,IPI
P05177,GO:0008395,molecular_function,IBA
P05177,GO:0008395,molecular_function,IEA
P05177,GO:0009055,molecular_function,TAS
P05177,GO:0016491,molecular_function,IDA
P05177,GO:0016491,molecular_function,IDA
P05177,GO:0016705,molecular_function,IEA
P05177,GO:0016712,molecular_function,IBA
P05177,GO:0016712,molecular_function,IEA
P05177,GO:0016712,molecular_function,IMP
P05177,GO:0019899,molecular_function,IPI
P05177,GO:0019899,molecular_function,IPI
P05177,GO:0020037,molecular_function,IEA
P05177,GO:0020037,molecular_function,IDA
P05177,GO:0032451,molecular_function,IDA
P05177,GO:0034875,molecular_function,IDA
P05177,GO:0101020,molecular_function,IDA
P05177,GO:0101021,molecular_function,IEA
P05177,GO:0101021,molecular_function,IDA
P05177,GO:0101021,molecular_function,IDA
P05177,GO:0106256,molecular_function,IEA
P05177,GO:0006706,biological_process,IBA
P05177,GO:0006706,biological_process,IMP
P05177,GO:0006805,biological_process,IDA
P05177,GO:0006805,biological_process,IDA
P05177,GO:0006805,biological_process,TAS
P05177,GO:0008202,biological_process,IEA
P05177,GO:0008203,biological_process,IEA
P05177,GO:0008210,biological_process,IBA
P05177,GO:0008210,biological_process,IDA
P05177,GO:0008210,biological_process,IDA
P05177,GO:0009403,biological_process,IDA
P05177,GO:0009404,biological_process,IBA
P05177,GO:0009820,biological_process,IDA
P05177,GO:0016098,biological_process,IDA
P05177,GO:0019369,biological_process,IEA
P05177,GO:0019373,biological_process,TAS
P05177,GO:0032259,biological_process,TAS
P05177,GO:0032787,biological_process,IDA
P05177,GO:0034308,biological_process,IEA
P05177,GO:0042178,biological_process,IBA
P05177,GO:0042178,biological_process,IMP
P05177,GO:0042178,biological_process,IDA
P05177,GO:0042445,biological_process,IEA
P05177,GO:0042572,biological_process,IEA
P05177,GO:0042572,biological_process,IDA
P05177,GO:0042759,biological_process,TAS
P05177,GO:0042759,biological_process,TAS
P05177,GO:0046222,biological_process,TAS
P05177,GO:0070989,biological_process,IDA
P05177,GO:0097267,biological_process,TAS
P05177,GO:0120254,biological_process,IEA
P05177,GO:0005739,cellular_component,IBA
P05177,GO:0005789,cellular_component,IEA
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0005789,cellular_component,TAS
P05177,GO:0043231,cellular_component,IDA
P29274,GO:0001609,molecular_function,IBA
P29274,GO:0001609,molecular_function,IEA
P29274,GO:0001609,molecular_function,IDA
P29274,GO:0001609,molecular_function,IDA
P29274,GO:0004930,molecular_function,IEA
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
P29274,GO:0005515,molecular_function,IPI
