uniprot_accession,go_id,aspect,go_name
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0004497,molecular_function,monooxygenase activity
P05177,GO:0005506,molecular_function,iron ion binding
P05177,GO:0005515,molecular_function,protein binding
P05177,GO:0005515,molecular_function,protein binding
P05177,GO:0008395,molecular_function,steroid hydroxylase activity
P05177,GO:0008395,molecular_function,steroid hydroxylase activity
P05177,GO:0009055,molecular_function,electron transfer activity
P05177,GO:0016491,molecular_function,oxidoreductase activity
P05177,GO:0016491,molecular_function,oxidoreductase activity
P05177,GO:0016705,molecular_function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
P05177,GO:0016712,molecular_function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P05177,GO:0016712,molecular_function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P05177,GO:0016712,molecular_function,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"
P05177,GO:0019899,molecular_function,enzyme binding
P05177,GO:0019899,molecular_function,enzyme binding
P05177,GO:0020037,molecular_function,heme binding
P05177,GO:0020037,molecular_function,heme binding
P05177,GO:0032451,molecular_function,demethylase activity
P05177,GO:0034875,molecular_function,caffeine oxidase activity
P05177,GO:0101020,molecular_function,estrogen 16-alpha-hydroxylase activity
P05177,GO:0101021,molecular_function,estrogen 2-hydroxylase activity
P05177,GO:0101021,molecular_function,estrogen 2-hydroxylase activity
P05177,GO:0101021,molecular_function,estrogen 2-hydroxylase activity
P05177,GO:0106256,molecular_function,hydroperoxy icosatetraenoate dehydratase activity
P05177,GO:0006706,biological_process,steroid catabolic process
P05177,GO:0006706,biological_process,steroid catabolic process
P05177,GO:0006805,biological_process,xenobiotic metabolic process
P05177,GO:0006805,biological_process,xenobiotic metabolic process
P05177,GO:0006805,biological_process,xenobiotic metabolic process
P05177,GO:0008202,biological_process,steroid metabolic process
P05177,GO:0008203,biological_process,cholesterol metabolic process
P05177,GO:0008210,biological_process,estrogen metabolic process
P05177,GO:0008210,biological_process,estrogen metabolic process
P05177,GO:0008210,biological_process,estrogen metabolic process
P05177,GO:0009403,biological_process,toxin biosynthetic process
P05177,GO:0009404,biological_process,toxin metabolic process
P05177,GO:0009820,biological_process,alkaloid metabolic process
P05177,GO:0016098,biological_process,monoterpenoid metabolic process
P05177,GO:0019369,biological_process,arachidonate metabolic process
P05177,GO:0019373,biological_process,epoxygenase P450 pathway
P05177,GO:0032259,biological_process,methylation
P05177,GO:0032787,biological_process,monocarboxylic acid metabolic process
P05177,GO:0034308,biological_process,primary alcohol metabolic process
P05177,GO:0042178,biological_process,xenobiotic catabolic process
P05177,GO:0042178,biological_process,xenobiotic catabolic process
P05177,GO:0042178,biological_process,xenobiotic catabolic process
P05177,GO:0042445,biological_process,hormone metabolic process
P05177,GO:0042572,biological_process,retinol metabolic process
P05177,GO:0042572,biological_process,retinol metabolic process
P05177,GO:0042759,biological_process,long-chain fatty acid biosynthetic process
P05177,GO:0042759,biological_process,long-chain fatty acid biosynthetic process
P05177,GO:0046222,biological_process,aflatoxin metabolic process
P05177,GO:0070989,biological_process,oxidative demethylation
P05177,GO:0097267,biological_process,omega-hydroxylase P450 pathway
P05177,GO:0120254,biological_process,olefinic compound metabolic process
P05177,GO:0005739,cellular_component,mitochondrion
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
P05177,GO:0005789,cellular_component,endoplasmic reticulum membrane
