,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
0,bethanechol,13,arylacetamide deacetylase,AADAC,P22760,P22760
1,bethanechol,14,angio associated migratory cell protein,AAMP,Q13685,Q13685;C9JEH3
2,bethanechol,15,aralkylamine N-acetyltransferase,AANAT,Q16613,Q16613;F1T0I5
3,bethanechol,16,alanyl-tRNA synthetase 1,AARS1,P49588,P49588;A0A6Q8PH44
4,bethanechol,17,adeno-associated virus integration site 1,AAVS1,,
5,bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
6,bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
7,bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
8,bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
9,bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
10,bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
11,bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
12,bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
13,bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
14,bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
15,bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
16,bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
17,bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
18,bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
19,bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
20,bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
21,bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
22,bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
23,bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
24,bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
25,bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
26,bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
27,bethanechol,25229,"cholinergic receptor, muscarinic 1",CHRM1,P08482,P08482;A6HZR8
28,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
29,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
30,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
31,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
32,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
33,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
34,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
35,caffeine,10,N-acetyltransferase 2,NAT2,P11245,P11245;A4Z6T7;A9X7Q9
36,caffeine,16,alanyl-tRNA synthetase 1,AARS1,P49588,P49588;A0A6Q8PH44
37,caffeine,16,alanyl-tRNA synthetase 1,AARS1,P49588,P49588;A0A6Q8PH44
38,caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
39,caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
40,caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
41,caffeine,18,4-aminobutyrate aminotransferase,ABAT,P80404,P80404;H3BNQ7;X5D8S1
42,caffeine,19,ATP binding cassette subfamily A member 1,ABCA1,O95477,O95477;B2RUU2;B7XCW9
43,caffeine,19,ATP binding cassette subfamily A member 1,ABCA1,O95477,O95477;B2RUU2;B7XCW9
44,caffeine,20,ATP binding cassette subfamily A member 2,ABCA2,Q9BZC7,Q9BZC7
45,caffeine,20,ATP binding cassette subfamily A member 2,ABCA2,Q9BZC7,Q9BZC7
46,caffeine,21,ATP binding cassette subfamily A member 3,ABCA3,Q99758,Q99758
47,caffeine,23,ATP binding cassette subfamily F member 1,ABCF1,Q8NE71,Q8NE71;A0A1U9X609;Q2L6I2
48,caffeine,23,ATP binding cassette subfamily F member 1,ABCF1,Q8NE71,Q8NE71;A0A1U9X609;Q2L6I2
49,caffeine,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,P00519,P00519;Q59FK4
50,caffeine,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,P00519,P00519;Q59FK4
51,caffeine,27,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2,P42684,P42684
52,caffeine,27,"ABL proto-oncogene 2, non-receptor tyrosine kinase",ABL2,P42684,P42684
53,caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
54,caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
55,caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
56,caffeine,31,acetyl-CoA carboxylase alpha,ACACA,Q13085,Q13085;Q7Z5W8
57,caffeine,32,acetyl-CoA carboxylase beta,ACACB,O00763,O00763
58,caffeine,32,acetyl-CoA carboxylase beta,ACACB,O00763,O00763
59,caffeine,39,acetyl-CoA acetyltransferase 2,ACAT2,Q9BWD1,Q9BWD1
60,caffeine,39,acetyl-CoA acetyltransferase 2,ACAT2,Q9BWD1,Q9BWD1
61,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
62,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
63,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
64,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
65,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
66,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
67,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
68,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
69,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
70,caffeine,43,acetylcholinesterase (Yt blood group),ACHE,P22303,P22303
71,caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
72,caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
73,caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
74,caffeine,47,ATP citrate lyase,ACLY,P53396,P53396
75,caffeine,51,acyl-CoA oxidase 1,ACOX1,Q15067,Q15067
76,caffeine,51,acyl-CoA oxidase 1,ACOX1,Q15067,Q15067
77,caffeine,59,"actin alpha 2, smooth muscle",ACTA2,P62736,P62736;A0AAQ5BGG7;A0AAQ5BGI6;D2JYH4
78,caffeine,59,"actin alpha 2, smooth muscle",ACTA2,P62736,P62736;A0AAQ5BGG7;A0AAQ5BGI6;D2JYH4
79,caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
80,caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
81,caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
82,caffeine,60,actin beta,ACTB,P60709,P60709;Q1KLZ0
83,caffeine,81,actinin alpha 4,ACTN4,O43707,O43707;A0A0S2Z3G9;F5GXS2;H7C144
84,caffeine,81,actinin alpha 4,ACTN4,O43707,O43707;A0A0S2Z3G9;F5GXS2;H7C144
85,caffeine,86,actin like 6A,ACTL6A,O96019,O96019
86,caffeine,86,actin like 6A,ACTL6A,O96019,O96019
87,caffeine,87,actinin alpha 1,ACTN1,P12814,P12814;A0A024R694;A0A7I2V4Y4;A0A804HL31;A0A804HLF4;H9KV75
88,caffeine,87,actinin alpha 1,ACTN1,P12814,P12814;A0A024R694;A0A7I2V4Y4;A0A804HL31;A0A804HLF4;H9KV75
89,caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
90,caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
91,caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
92,caffeine,100,adenosine deaminase,ADA,P00813,P00813;A0A0S2Z381;F5GWI4
93,caffeine,103,adenosine deaminase RNA specific,ADAR,P55265,P55265;A0AAQ5BGH8
94,caffeine,103,adenosine deaminase RNA specific,ADAR,P55265,P55265;A0AAQ5BGH8
95,caffeine,104,adenosine deaminase RNA specific B1,ADARB1,P78563,P78563;A0A994J4V7;A0A994J7T5
96,caffeine,104,adenosine deaminase RNA specific B1,ADARB1,P78563,P78563;A0A994J4V7;A0A994J7T5
97,caffeine,111,adenylate cyclase 5,ADCY5,O95622,O95622;A0A384P5Q5;A0A8V8TP58;B3KWA8;B7Z2C7
98,caffeine,111,adenylate cyclase 5,ADCY5,O95622,O95622;A0A384P5Q5;A0A8V8TP58;B3KWA8;B7Z2C7
99,caffeine,113,adenylate cyclase 7,ADCY7,P51828,P51828;B3KSJ0;F5H4D1;Q86YI0
100,caffeine,113,adenylate cyclase 7,ADCY7,P51828,P51828;B3KSJ0;F5H4D1;Q86YI0
101,caffeine,115,adenylate cyclase 9,ADCY9,O60503,O60503
102,caffeine,115,adenylate cyclase 9,ADCY9,O60503,O60503
103,caffeine,118,adducin 1,ADD1,P35611,P35611;A0A804HL01
104,caffeine,118,adducin 1,ADD1,P35611,P35611;A0A804HL01
105,caffeine,120,adducin 3,ADD3,Q9UEY8,Q9UEY8;Q53FL4;Q59EK1;Q5VU08
106,caffeine,120,adducin 3,ADD3,Q9UEY8,Q9UEY8;Q53FL4;Q59EK1;Q5VU08
107,caffeine,123,perilipin 2,PLIN2,Q99541,Q99541;Q6FHZ7
108,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
109,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
110,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
111,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
112,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
113,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
114,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
115,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
116,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
117,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
118,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
119,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
120,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
121,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
122,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
123,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
124,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
125,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
126,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
127,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
128,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
129,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
130,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
131,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
132,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
133,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
134,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
135,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
136,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
137,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
138,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
139,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
140,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
141,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
142,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
143,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
144,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
145,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
146,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
147,caffeine,134,adenosine A1 receptor,ADORA1,P30542,P30542;B7Z1L9;B7Z379
148,caffeine,135,adenosine A2a receptor,ADORA2A,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4
