uniprot_accession,total_count,n_compounds,compounds,symbol,geneid
P05177,48,2,caffeine;maprotiline,CYP1A2,1544
P29274,42,1,caffeine,ADORA2A,135
P30542,40,1,caffeine,ADORA1,134
Q13315,34,1,caffeine,ATM,472
P42574,31,2,Ginsenoside rb1;caffeine,CASP3,836
P31749,19,2,Ginsenoside rb1;caffeine,AKT1,207
P04637,16,1,caffeine,TP53,7157
P38936,16,1,caffeine,CDKN1A,1026
P16104,14,1,caffeine,H2AX,3014
P09874,14,1,caffeine,PARP1,142
P11229,14,3,bethanechol;maprotiline;pilocarpine,CHRM1,1128
O14757,14,1,caffeine,CHEK1,1111
Q13535,14,1,caffeine,ATR,545
P05019,13,2,Ginsenoside rb1;caffeine,IGF1,3479
P20309,13,4,bethanechol;carbachol;maprotiline;pilocarpine,CHRM3,1131
P29275,12,1,caffeine,ADORA2B,136
P08912,11,3,bethanechol;maprotiline;pilocarpine,CHRM5,1133
P08172,11,3,bethanechol;maprotiline;pilocarpine,CHRM2,1129
P08173,11,3,bethanechol;maprotiline;pilocarpine,CHRM4,1132
P14416,11,2,caffeine;maprotiline,DRD2,1813
P14635,10,1,caffeine,CCNB1,891
P22303,10,1,caffeine,ACHE,43
P06493,10,1,caffeine,CDK1,983
P04035,10,1,caffeine,HMGCR,3156
P08684,9,3,caffeine;maprotiline;pilocarpine,CYP3A4,1576
P04114,9,2,Ethanolamine;caffeine,APOB,338
P0DMS8,9,1,caffeine,ADORA3,140
P55211,8,1,caffeine,CASP9,842
P16220,8,1,caffeine,CREB1,1385
P04040,8,1,caffeine,CAT,847
O96017,8,1,caffeine,CHEK2,11200
P11245,8,1,caffeine,NAT2,10
Q8WTV0,8,1,caffeine,SCARB1,949
Q07812,8,1,caffeine,BAX,581
Q01581,8,1,caffeine,HMGCS1,3157
P10635,7,2,caffeine;maprotiline,CYP2D6,1565
P21817,7,1,caffeine,RYR1,6261
Q13501,7,2,Ginsenoside rb1;caffeine,SQSTM1,8878
P42345,7,1,caffeine,MTOR,2475
P04792,6,1,caffeine,HSPB1,3315
P05231,6,2,Ginsenoside rb1;caffeine,IL6,3569
P25445,6,1,caffeine,FAS,355
Q9NRZ9,6,1,caffeine,HELLS,3070
P24941,6,1,caffeine,CDK2,1017
P49327,6,1,caffeine,FASN,2194
P61978,6,1,caffeine,HNRNPK,3190
P49715,6,1,caffeine,CEBPA,1050
P04150,6,1,caffeine,NR3C1,2908
P08069,6,1,caffeine,IGF1R,3480
P01375,6,2,Ginsenoside rb1;caffeine,TNF,7124
P14136,6,1,caffeine,GFAP,2670
P15559,6,1,caffeine,NQO1,1728
P30307,6,1,caffeine,CDC25C,995
P14060,6,1,caffeine,HSD3B1,3283
P24298,6,1,caffeine,GPT,2875
P23975,6,1,maprotiline,SLC6A2,6530
Q14643,6,1,caffeine,ITPR1,3708
P37268,6,1,caffeine,FDFT1,2222
P11509,6,2,caffeine;pilocarpine,CYP2A6,1548
P09429,6,1,caffeine,HMGB1,3146
P35222,6,1,caffeine,CTNNB1,1499
O95622,5,2,caffeine;forskolin,ADCY5,111
P07858,5,2,Ginsenoside rb1;caffeine,CTSB,1508
P11712,5,1,caffeine,CYP2C9,1559
P01584,5,2,Ginsenoside rb1;caffeine,IL1B,3553
Q14573,5,1,caffeine,ITPR3,3710
P04798,5,1,caffeine,CYP1A1,1543
P16112,4,1,caffeine,ACAN,176
P17676,4,1,caffeine,CEBPB,1051
P18146,4,1,caffeine,EGR1,1958
Q9Y6K1,4,1,caffeine,DNMT3A,1788
P26358,4,1,caffeine,DNMT1,1786
P27708,4,1,caffeine,CAD,790
P17302,4,1,caffeine,GJA1,2697
P17096,4,1,caffeine,HMGA1,3159
P30305,4,1,caffeine,CDC25B,994
P35348,4,1,maprotiline,ADRA1A,148
P10412,4,1,caffeine,H1-4,3008
P34932,4,1,caffeine,HSPA4,3308
P12830,4,1,caffeine,CDH1,999
P31943,4,1,caffeine,HNRNPH1,3187
P02654,4,1,caffeine,APOC1,341
P05362,4,1,caffeine,ICAM1,3383
P04075,4,1,caffeine,ALDOA,226
P06730,4,1,caffeine,EIF4E,1977
P07900,4,1,caffeine,HSP90AA1,3320
P06744,4,1,caffeine,GPI,2821
P06733,4,1,caffeine,ENO1,2023
P07910,4,1,caffeine,HNRNPC,3183
P09651,4,1,caffeine,HNRNPA1,3178
P10145,4,1,caffeine,CXCL8,3576
P0DP23,4,1,caffeine,CALM1,801
Q92887,4,1,caffeine,ABCC2,1244
P08482,4,2,bethanechol;pilocarpine,CHRM1,25229
P40126,4,1,caffeine,DCT,1638
P09525,4,1,caffeine,ANXA4,307
P10275,4,2,caffeine;forskolin,AR,367
P13639,4,1,caffeine,EEF2,1938
P11802,4,1,caffeine,CDK4,1019
P30543,4,1,caffeine,ADORA2A,25369
P31689,4,1,caffeine,DNAJA1,3301
P16949,4,1,caffeine,STMN1,3925
P16401,4,1,caffeine,H1-5,3009
P29692,4,1,caffeine,EEF1D,1936
P00352,4,1,caffeine,ALDH1A1,216
P02647,4,1,caffeine,APOA1,335
P02452,4,1,caffeine,COL1A1,1277
P02768,4,1,caffeine,ALB,213
P02655,4,1,caffeine,APOC2,344
Q16236,4,2,Ginsenoside rb1;caffeine,NFE2L2,4780
P42575,4,1,caffeine,CASP2,835
P04406,4,1,caffeine,GAPDH,2597
P02652,4,1,caffeine,APOA2,336
P52597,4,1,caffeine,HNRNPF,3185
P53396,4,1,caffeine,ACLY,47
P51959,4,1,caffeine,CCNG1,900
P50416,4,1,caffeine,CPT1A,1374
P49840,4,1,caffeine,GSK3A,2931
P49841,4,1,caffeine,GSK3B,2932
P50052,4,1,caffeine,AGTR2,186
P49675,4,1,caffeine,STAR,6770
P48506,4,1,caffeine,GCLC,2729
P00338,4,2,Ginsenoside rb1;caffeine,LDHA,3939
P00813,4,1,caffeine,ADA,100
P80365,4,1,caffeine,HSD11B2,3291
P68104,4,1,caffeine,EEF1A1,1915
P63092,4,2,caffeine;forskolin,GNAS,2778
P55010,4,1,caffeine,EIF5,1983
P60709,4,1,caffeine,ACTB,60
Q07343,4,1,caffeine,PDE4B,5142
Q08334,4,1,caffeine,IL10RB,3588
Q01959,4,2,caffeine;maprotiline,SLC6A3,6531
Q00341,4,1,caffeine,HDLBP,3069
P80404,4,1,caffeine,ABAT,18
O60488,4,1,caffeine,ACSL4,2182
Q13541,4,1,caffeine,EIF4EBP1,1978
Q08462,4,1,forskolin,ADCY2,108
Q13085,4,1,caffeine,ACACA,31
Q12983,4,1,caffeine,BNIP3,664
Q13255,4,1,caffeine,GRM1,2911
Q13231,4,1,caffeine,CHIT1,1118
O43683,4,1,caffeine,BUB1,699
O43852,4,1,caffeine,CALU,813
P23560,4,1,caffeine,BDNF,627
Q9UBC3,4,1,caffeine,DNMT3B,1789
P25099,3,1,caffeine,ADORA1,29290
P48357,3,1,caffeine,LEPR,3953
Q16678,3,1,caffeine,CYP1B1,1545
Q14534,3,1,caffeine,SQLE,6713
Q15413,3,1,caffeine,RYR3,6263
P49588,3,2,bethanechol;caffeine,AARS1,16
O76074,3,1,caffeine,PDE5A,8654
P01137,3,2,Ginsenoside rb1;caffeine,TGFB1,7040
Q06278,3,2,caffeine;maprotiline,AOX1,316
O60503,3,2,caffeine;forskolin,ADCY9,115
