uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways
P05177,48.0,2.0,caffeine;maprotiline,CYP1A2,1544,7.0,PathBank_SMP0000028;Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945;Reactome_R-HSA-211957;Reactome_R-HSA-211981
P29274,42.0,1.0,caffeine,ADORA2A,135,0.0,
P30542,40.0,1.0,caffeine,ADORA1,134,0.0,
Q13315,34.0,1.0,caffeine,ATM,472,0.0,
P42574,31.0,2.0,Ginsenoside rb1;caffeine,CASP3,836,0.0,
P31749,19.0,2.0,Ginsenoside rb1;caffeine,AKT1,207,1.0,Reactome_R-HSA-1430728
P04637,16.0,1.0,caffeine,TP53,7157,1.0,Reactome_R-HSA-1430728
P38936,16.0,1.0,caffeine,CDKN1A,1026,0.0,
P11229,14.0,3.0,bethanechol;maprotiline;pilocarpine,CHRM1,1128,0.0,
O14757,14.0,1.0,caffeine,CHEK1,1111,0.0,
P09874,14.0,1.0,caffeine,PARP1,142,0.0,
P16104,14.0,1.0,caffeine,H2AX,3014,0.0,
Q13535,14.0,1.0,caffeine,ATR,545,0.0,
P20309,13.0,4.0,bethanechol;carbachol;maprotiline;pilocarpine,CHRM3,1131,1.0,Reactome_R-HSA-1430728
P05019,13.0,2.0,Ginsenoside rb1;caffeine,IGF1,3479,0.0,
P29275,12.0,1.0,caffeine,ADORA2B,136,0.0,
P08172,11.0,3.0,bethanechol;maprotiline;pilocarpine,CHRM2,1129,0.0,
P08173,11.0,3.0,bethanechol;maprotiline;pilocarpine,CHRM4,1132,0.0,
P08912,11.0,3.0,bethanechol;maprotiline;pilocarpine,CHRM5,1133,0.0,
P14416,11.0,2.0,caffeine;maprotiline,DRD2,1813,0.0,
P04035,10.0,1.0,caffeine,HMGCR,3156,0.0,
P06493,10.0,1.0,caffeine,CDK1,983,0.0,
P14635,10.0,1.0,caffeine,CCNB1,891,0.0,
P22303,10.0,1.0,caffeine,ACHE,43,1.0,Reactome_R-HSA-1430728
P08684,9.0,3.0,caffeine;maprotiline;pilocarpine,CYP3A4,1576,4.0,PathBank_SMP0000028;Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211945
P04114,9.0,2.0,Ethanolamine;caffeine,APOB,338,1.0,Reactome_R-HSA-1430728
P0DMS8,9.0,1.0,caffeine,ADORA3,140,0.0,
O96017,8.0,1.0,caffeine,CHEK2,11200,0.0,
P04040,8.0,1.0,caffeine,CAT,847,0.0,
P11245,8.0,1.0,caffeine,NAT2,10,3.0,PathBank_SMP0000028;Reactome_R-HSA-1430728;Reactome_R-HSA-211859
P16220,8.0,1.0,caffeine,CREB1,1385,0.0,
P55211,8.0,1.0,caffeine,CASP9,842,0.0,
Q01581,8.0,1.0,caffeine,HMGCS1,3157,1.0,Reactome_R-HSA-1430728
Q07812,8.0,1.0,caffeine,BAX,581,0.0,
Q8WTV0,8.0,1.0,caffeine,SCARB1,949,0.0,
P10635,7.0,2.0,caffeine;maprotiline,CYP2D6,1565,0.0,
