uniprot_accession,protein_name,pathway,compound,cid
O75845,Lathosterol oxidase,PathBank_SMP0000092,Rosuvastatin,446157
O76062,Delta(14)-sterol reductase TM7SF2,PathBank_SMP0000092,Rosuvastatin,446157
O95749,Geranylgeranyl pyrophosphate synthase,PathBank_SMP0000092,Rosuvastatin,446157
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,PathBank_SMP0000092,Rosuvastatin,446157
P14324,Farnesyl pyrophosphate synthase,PathBank_SMP0000092,Rosuvastatin,446157
P35610,Sterol O-acyltransferase 1,PathBank_SMP0000092,Rosuvastatin,446157
P37268,Squalene synthase,PathBank_SMP0000092,Rosuvastatin,446157
P38571,Lysosomal acid lipase/cholesteryl ester hydrolase,PathBank_SMP0000092,Rosuvastatin,446157
P48449,Lanosterol synthase,PathBank_SMP0000092,Rosuvastatin,446157
P53602,Diphosphomevalonate decarboxylase,PathBank_SMP0000092,Rosuvastatin,446157
P56937,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,PathBank_SMP0000092,Rosuvastatin,446157
Q03426,Mevalonate kinase,PathBank_SMP0000092,Rosuvastatin,446157
Q13907,Isopentenyl-diphosphate Delta-isomerase 1,PathBank_SMP0000092,Rosuvastatin,446157
Q14534,Squalene monooxygenase,PathBank_SMP0000092,Rosuvastatin,446157
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",PathBank_SMP0000092,Rosuvastatin,446157
Q15126,Phosphomevalonate kinase,PathBank_SMP0000092,Rosuvastatin,446157
Q15392,Delta(24)-sterol reductase,PathBank_SMP0000092,Rosuvastatin,446157
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",PathBank_SMP0000092,Rosuvastatin,446157
Q15800,Methylsterol monooxygenase 1,PathBank_SMP0000092,Rosuvastatin,446157
Q16850,Lanosterol 14-alpha demethylase,PathBank_SMP0000092,Rosuvastatin,446157
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",PathBank_SMP0000092,Rosuvastatin,446157
