compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
Rosuvastatin,19,ABCA1,ATP binding cassette subfamily A member 1,O95477,O95477;B2RUU2;B7XCW9,446157
Rosuvastatin,213,ALB,albumin,P02768,P02768,446157
Rosuvastatin,639,PRDM1,PR/SET domain 1,O75626,O75626;A0A3B3IU23;B4DW27;Q5T4E8,446157
Rosuvastatin,779,CACNA1S,calcium voltage-gated channel subunit alpha1 S,Q13698,Q13698;B1ALM3,446157
Rosuvastatin,1071,CETP,cholesteryl ester transfer protein,P11597,P11597;A0A0S2Z3F6;A0A0S2Z3I8;B4DMZ5,446157
Rosuvastatin,1244,ABCC2,ATP binding cassette subfamily C member 2,Q92887,Q92887,446157
Rosuvastatin,1401,CRP,C-reactive protein,P02741,P02741;Q5VVP7,446157
Rosuvastatin,1559,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,P11712;S5RV20,446157
Rosuvastatin,1576,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,P08684;Q6GRK0,446157
Rosuvastatin,2328,FMO3,flavin containing dimethylaniline monoxygenase 3,P31513,P31513;A0A024R8Z4;B7Z3M2;B7Z543;Q53FW5,446157
Rosuvastatin,3123,HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",P01911,P01911;A0A224MM52;A2BFX2;D7RIG5;D7RIH8;Q5Y7D1;X5DNQ0,446157
Rosuvastatin,3156,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,P04035,P04035,446157
Rosuvastatin,3171,FOXA3,forkhead box A3,P55318,P55318,446157
Rosuvastatin,3172,HNF4A,hepatocyte nuclear factor 4 alpha,P41235,P41235;B9VVT8;F1D8S2;F1D8T0;F1D8T1,446157
Rosuvastatin,3683,ITGAL,integrin subunit alpha L,P20701,P20701;B2RAL6,446157
Rosuvastatin,3949,LDLR,low density lipoprotein receptor,P01130,P01130;H0YMQ3,446157
Rosuvastatin,4018,LPA,lipoprotein(a),P08519,P08519,446157
Rosuvastatin,4846,NOS3,nitric oxide synthase 3,P29474,P29474;A0S0A6,446157
Rosuvastatin,5147,PDE6D,phosphodiesterase 6D,O43924,O43924;B8ZZK5;Q6IB24,446157
Rosuvastatin,6256,RXRA,retinoid X receptor alpha,P19793,P19793;A0A5F9ZHH6;F1D8Q5;Q6P3U7,446157
Rosuvastatin,6554,SLC10A1,solute carrier family 10 member 1,Q14973,Q14973;B2RA41,446157
Rosuvastatin,6579,SLCO1A2,solute carrier organic anion transporter family member 1A2,P46721,P46721;B4DJE6,446157
Rosuvastatin,6927,HNF1A,HNF1 homeobox A,P20823,P20823;A0A0A0MTK8;E0YMI7;F5H0K0,446157
Rosuvastatin,8647,ABCB11,ATP binding cassette subfamily B member 11,O95342,O95342,446157
Rosuvastatin,9376,SLC22A8,solute carrier family 22 member 8,Q8TCC7,Q8TCC7;B2R807,446157
Rosuvastatin,9429,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),Q9UNQ0,Q9UNQ0,446157
Rosuvastatin,10257,ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),O15439,O15439;A8K2Q2,446157
Rosuvastatin,10599,SLCO1B1,solute carrier organic anion transporter family member 1B1,Q9Y6L6,Q9Y6L6;Q05CV5,446157
Rosuvastatin,11309,SLCO2B1,solute carrier organic anion transporter family member 2B1,O94956,O94956;A0A0A0MTF1,446157
Rosuvastatin,22937,SCAP,SREBF chaperone,Q12770,Q12770;B7Z6H0,446157
Rosuvastatin,23358,USP24,ubiquitin specific peptidase 24,Q9UPU5,Q9UPU5,446157
Rosuvastatin,23657,SLC7A11,solute carrier family 7 member 11,Q9UPY5,Q9UPY5,446157
Rosuvastatin,25675,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,P51639,P51639;A0A8I6A6Z9;A0A8I6AV02;A6I512,446157
Rosuvastatin,28234,SLCO1B3,solute carrier organic anion transporter family member 1B3,Q9NPD5,Q9NPD5;B3KP78,446157
Rosuvastatin,116519,APOA5,apolipoprotein A5,Q6Q788,Q6Q788;A0A0B4RUS7,446157
Rosuvastatin,221458,KIF6,kinesin family member 6,Q6ZMV9,Q6ZMV9;F6VGH2,446157
