compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
atorvastatin,196,AHR,aryl hydrocarbon receptor,P35869,P35869,60823
atorvastatin,213,ALB,albumin,P02768,P02768,60823
atorvastatin,1244,ABCC2,ATP binding cassette subfamily C member 2,Q92887,Q92887,60823
atorvastatin,1551,CYP3A7,cytochrome P450 family 3 subfamily A member 7,P24462,P24462,60823
atorvastatin,1555,CYP2B6,cytochrome P450 family 2 subfamily B member 6,P20813,P20813,60823
atorvastatin,1557,CYP2C19,cytochrome P450 family 2 subfamily C member 19,P33261,P33261,60823
atorvastatin,1558,CYP2C8,cytochrome P450 family 2 subfamily C member 8,P10632,P10632;B7Z1F5,60823
atorvastatin,1559,CYP2C9,cytochrome P450 family 2 subfamily C member 9,P11712,P11712;S5RV20,60823
atorvastatin,1565,CYP2D6,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),P10635,P10635;C1ID52;Q5Y7H2,60823
atorvastatin,1576,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,P08684;Q6GRK0,60823
atorvastatin,1577,CYP3A5,cytochrome P450 family 3 subfamily A member 5,P20815,P20815;B7Z3P6,60823
atorvastatin,1803,DPP4,dipeptidyl peptidase 4,P27487,P27487;A0A7I2V2X8,60823
atorvastatin,3065,HDAC1,histone deacetylase 1,Q13547,Q13547;Q6IT96,60823
atorvastatin,3066,HDAC2,histone deacetylase 2,Q92769,Q92769,60823
atorvastatin,3156,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,P04035,P04035,60823
atorvastatin,4363,ABCC1,ATP binding cassette subfamily C member 1 (ABCC1 blood group),P33527,P33527;A0A7I2V2E0,60823
atorvastatin,5243,ABCB1,ATP binding cassette subfamily B member 1,P08183,P08183;A4D1D2,60823
atorvastatin,6579,SLCO1A2,solute carrier organic anion transporter family member 1A2,P46721,P46721;B4DJE6,60823
atorvastatin,8647,ABCB11,ATP binding cassette subfamily B member 11,O95342,O95342,60823
atorvastatin,9429,ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),Q9UNQ0,Q9UNQ0,60823
atorvastatin,9970,NR1I3,nuclear receptor subfamily 1 group I member 3,Q14994,Q14994;F1DAL4,60823
atorvastatin,10013,HDAC6,histone deacetylase 6,Q9UBN7,Q9UBN7;B4DZH6;Q9BRX7,60823
atorvastatin,10057,ABCC5,ATP binding cassette subfamily C member 5,O15440,O15440,60823
atorvastatin,10257,ABCC4,ATP binding cassette subfamily C member 4 (PEL blood group),O15439,O15439;A8K2Q2,60823
atorvastatin,10599,SLCO1B1,solute carrier organic anion transporter family member 1B1,Q9Y6L6,Q9Y6L6;Q05CV5,60823
atorvastatin,11309,SLCO2B1,solute carrier organic anion transporter family member 2B1,O94956,O94956;A0A0A0MTF1,60823
atorvastatin,25675,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,P51639,P51639;A0A8I6A6Z9;A0A8I6AV02;A6I512,60823
atorvastatin,28234,SLCO1B3,solute carrier organic anion transporter family member 1B3,Q9NPD5,Q9NPD5;B3KP78,60823
atorvastatin,54658,UGT1A1,UDP glucuronosyltransferase family 1 member A1,P22309,P22309;Q5DT03,60823
atorvastatin,54659,UGT1A3,UDP glucuronosyltransferase family 1 member A3,P35503,P35503;Q5DT01,60823
atorvastatin,100144446,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,Q1W675,Q1W675;C7S800,60823
