compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
bethanechol,13,arylacetamide deacetylase,AADAC,P22760,P22760
bethanechol,14,angio associated migratory cell protein,AAMP,Q13685,Q13685;C9JEH3
bethanechol,15,aralkylamine N-acetyltransferase,AANAT,Q16613,Q16613;F1T0I5
bethanechol,16,alanyl-tRNA synthetase 1,AARS1,P49588,P49588;A0A6Q8PH44
bethanechol,17,adeno-associated virus integration site 1,AAVS1,,
bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
bethanechol,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
bethanechol,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
bethanechol,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
bethanechol,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
bethanechol,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
bethanechol,25229,"cholinergic receptor, muscarinic 1",CHRM1,P08482,P08482;A6HZR8
