uniprot_accession,protein_name,pathway,compound,cid
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,Reactome_R-HSA-1430728,caffeine,2519
A0PJW6,Transmembrane protein 223,Reactome_R-HSA-1430728,caffeine,2519
A1L188,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,Reactome_R-HSA-1430728,caffeine,2519
A1L3X0,Very long chain fatty acid elongase 7,Reactome_R-HSA-1430728,caffeine,2519
A2RU49,Hydroxylysine kinase,Reactome_R-HSA-1430728,caffeine,2519
A5D6W6,Fat storage-inducing transmembrane protein 1,Reactome_R-HSA-1430728,caffeine,2519
A5YM72,Carnosine synthase 1,Reactome_R-HSA-1430728,caffeine,2519
A6NDG6,Glycerol-3-phosphate phosphatase,Reactome_R-HSA-1430728,caffeine,2519
A6NFY7,"Succinate dehydrogenase assembly factor 1, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
A6NGU5,Putative glutathione hydrolase 3 proenzyme,Reactome_R-HSA-1430728,caffeine,2519
A6NNW6,Enolase 4,Reactome_R-HSA-1430728,caffeine,2519
A8MUP2,"Citrate synthase-lysine N-methyltransferase CSKMT, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
A8MV81,HIG1 domain family member 1C,Reactome_R-HSA-1430728,caffeine,2519
A8MXV4,Acyl-coenzyme A diphosphatase NUDT19,Reactome_R-HSA-1430728,caffeine,2519
A9YTQ3,Aryl hydrocarbon receptor repressor,Reactome_R-HSA-1430728,caffeine,2519
C9JRZ8,Aldo-keto reductase family 1 member B15,Reactome_R-HSA-1430728,caffeine,2519
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",Reactome_R-HSA-1430728,caffeine,2519
O00142,"Thymidine kinase 2, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O00170,AH receptor-interacting protein,Reactome_R-HSA-1430728,caffeine,2519
O00204-1,SULT2B1-1,Reactome_R-HSA-1430728,caffeine,2519
O00204-2,SULT2B1-2,Reactome_R-HSA-1430728,caffeine,2519
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O00327,Basic helix-loop-helix ARNT-like protein 1,Reactome_R-HSA-1430728,caffeine,2519
O00329,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",Reactome_R-HSA-1430728,caffeine,2519
O00330,"Pyruvate dehydrogenase protein X component, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O00338,Sulfotransferase 1C2,Reactome_R-HSA-1430728,caffeine,2519
O00401,Actin nucleation-promoting factor WASL,Reactome_R-HSA-1430728,caffeine,2519
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,Reactome_R-HSA-1430728,caffeine,2519
O00445,Synaptotagmin-5,Reactome_R-HSA-1430728,caffeine,2519
O00459,Phosphatidylinositol 3-kinase regulatory subunit beta,Reactome_R-HSA-1430728,caffeine,2519
O00462,Beta-mannosidase,Reactome_R-HSA-1430728,caffeine,2519
O00483,Cytochrome c oxidase subunit FA4,Reactome_R-HSA-1430728,caffeine,2519
O00519,Fatty-acid amide hydrolase 1,Reactome_R-HSA-1430728,caffeine,2519
O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,Reactome_R-HSA-1430728,caffeine,2519
O00746,"Nucleoside diphosphate kinase D, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
O00754,Lysosomal alpha-mannosidase,Reactome_R-HSA-1430728,caffeine,2519
O00757,"Fructose-1,6-bisphosphatase isozyme 2",Reactome_R-HSA-1430728,caffeine,2519
O00763,Acetyl-CoA carboxylase 2,Reactome_R-HSA-1430728,caffeine,2519
O00764,Pyridoxal kinase,Reactome_R-HSA-1430728,caffeine,2519
