compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,10,NAT2,N-acetyltransferase 2,P11245,P11245;A4Z6T7;A9X7Q9,2519
caffeine,16,AARS1,alanyl-tRNA synthetase 1,P49588,P49588;A0A6Q8PH44,2519
caffeine,18,ABAT,4-aminobutyrate aminotransferase,P80404,P80404;H3BNQ7;X5D8S1,2519
caffeine,19,ABCA1,ATP binding cassette subfamily A member 1,O95477,O95477;B2RUU2;B7XCW9,2519
caffeine,20,ABCA2,ATP binding cassette subfamily A member 2,Q9BZC7,Q9BZC7,2519
caffeine,21,ABCA3,ATP binding cassette subfamily A member 3,Q99758,Q99758,2519
caffeine,23,ABCF1,ATP binding cassette subfamily F member 1,Q8NE71,Q8NE71;A0A1U9X609;Q2L6I2,2519
caffeine,25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",P00519,P00519;Q59FK4,2519
caffeine,27,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",P42684,P42684,2519
caffeine,31,ACACA,acetyl-CoA carboxylase alpha,Q13085,Q13085;Q7Z5W8,2519
caffeine,32,ACACB,acetyl-CoA carboxylase beta,O00763,O00763,2519
caffeine,39,ACAT2,acetyl-CoA acetyltransferase 2,Q9BWD1,Q9BWD1,2519
caffeine,43,ACHE,acetylcholinesterase (Yt blood group),P22303,P22303,2519
caffeine,47,ACLY,ATP citrate lyase,P53396,P53396,2519
caffeine,51,ACOX1,acyl-CoA oxidase 1,Q15067,Q15067,2519
caffeine,59,ACTA2,"actin alpha 2, smooth muscle",P62736,P62736;A0AAQ5BGG7;A0AAQ5BGI6;D2JYH4,2519
caffeine,60,ACTB,actin beta,P60709,P60709;Q1KLZ0,2519
caffeine,81,ACTN4,actinin alpha 4,O43707,O43707;A0A0S2Z3G9;F5GXS2;H7C144,2519
caffeine,86,ACTL6A,actin like 6A,O96019,O96019,2519
caffeine,87,ACTN1,actinin alpha 1,P12814,P12814;A0A024R694;A0A7I2V4Y4;A0A804HL31;A0A804HLF4;H9KV75,2519
caffeine,100,ADA,adenosine deaminase,P00813,P00813;A0A0S2Z381;F5GWI4,2519
caffeine,103,ADAR,adenosine deaminase RNA specific,P55265,P55265;A0AAQ5BGH8,2519
caffeine,104,ADARB1,adenosine deaminase RNA specific B1,P78563,P78563;A0A994J4V7;A0A994J7T5,2519
caffeine,111,ADCY5,adenylate cyclase 5,O95622,O95622;A0A384P5Q5;A0A8V8TP58;B3KWA8;B7Z2C7,2519
caffeine,113,ADCY7,adenylate cyclase 7,P51828,P51828;B3KSJ0;F5H4D1;Q86YI0,2519
caffeine,115,ADCY9,adenylate cyclase 9,O60503,O60503,2519
caffeine,118,ADD1,adducin 1,P35611,P35611;A0A804HL01,2519
caffeine,120,ADD3,adducin 3,Q9UEY8,Q9UEY8;Q53FL4;Q59EK1;Q5VU08,2519
caffeine,123,PLIN2,perilipin 2,Q99541,Q99541;Q6FHZ7,2519
caffeine,134,ADORA1,adenosine A1 receptor,P30542,P30542;B7Z1L9;B7Z379,2519
caffeine,135,ADORA2A,adenosine A2a receptor,P29274,P29274;A8K1F6;B3KVQ4;X5DNB4,2519
caffeine,136,ADORA2B,adenosine A2b receptor,P29275,P29275,2519
caffeine,140,ADORA3,adenosine A3 receptor,P0DMS8,P0DMS8;A0A0J9YWR0;H6VQ59,2519
caffeine,142,PARP1,poly(ADP-ribose) polymerase 1,P09874,P09874,2519
caffeine,143,PARP4,poly(ADP-ribose) polymerase family member 4,Q9UKK3,Q9UKK3,2519
caffeine,156,GRK2,G protein-coupled receptor kinase 2,P25098,P25098;A0A0S2Z392,2519
caffeine,158,ADSL,adenylosuccinate lyase,P30566,P30566;A0A1B0GTG9;A0A1B0GWJ0;A0A7P0T8E4;A0A7P0Z472;X5D7W4;X5D8S6,2519
caffeine,176,ACAN,aggrecan,P16112,P16112;A0A5K1VW97,2519
caffeine,182,JAG1,jagged canonical Notch ligand 1,P78504,P78504;Q99740,2519
caffeine,183,AGT,angiotensinogen,P01019,P01019;A0A7P0T8D1;B0ZBE2;B2R5S1,2519
caffeine,186,AGTR2,angiotensin II receptor type 2,P50052,P50052,2519
caffeine,191,AHCY,adenosylhomocysteinase,P23526,P23526;A0A384MTQ3,2519
caffeine,207,AKT1,AKT serine/threonine kinase 1,P31749,P31749;B0LPE5;B3KVH4,2519
caffeine,208,AKT2,AKT serine/threonine kinase 2,P31751,P31751;B4DG79,2519
caffeine,213,ALB,albumin,P02768,P02768,2519
caffeine,216,ALDH1A1,aldehyde dehydrogenase 1 family member A1,P00352,P00352;V9HW83,2519
caffeine,223,ALDH9A1,aldehyde dehydrogenase 9 family member A1,P49189,P49189,2519
caffeine,224,ALDH3A2,aldehyde dehydrogenase 3 family member A2,P51648,P51648,2519
caffeine,226,ALDOA,"aldolase, fructose-bisphosphate A",P04075,P04075;V9HWN7,2519
caffeine,230,ALDOC,"aldolase, fructose-bisphosphate C",P09972,P09972;A0A024QZ64,2519
caffeine,249,ALPL,"alkaline phosphatase, biomineralization associated",P05186,P05186,2519
caffeine,267,AMFR,autocrine motility factor receptor,Q9UKV5,Q9UKV5,2519
caffeine,271,AMPD2,adenosine monophosphate deaminase 2,Q01433,Q01433,2519
caffeine,283,ANG,angiogenin,P03950,P03950;W0UV28,2519
caffeine,284,ANGPT1,angiopoietin 1,Q15389,Q15389;B4DTQ9,2519
caffeine,285,ANGPT2,angiopoietin 2,O15123,O15123,2519
