compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
forskolin,107,ADCY1,adenylate cyclase 1,Q08828,Q08828;C9J1J0,47936
forskolin,108,ADCY2,adenylate cyclase 2,Q08462,Q08462;Q71UM8,47936
forskolin,109,ADCY3,adenylate cyclase 3,O60266,O60266;A0A0A0MSC1;B7ZLX9,47936
forskolin,111,ADCY5,adenylate cyclase 5,O95622,O95622;A0A384P5Q5;A0A8V8TP58;B3KWA8;B7Z2C7,47936
forskolin,112,ADCY6,adenylate cyclase 6,O43306,O43306,47936
forskolin,113,ADCY7,adenylate cyclase 7,P51828,P51828;B3KSJ0;F5H4D1;Q86YI0,47936
forskolin,114,ADCY8,adenylate cyclase 8,P40145,P40145;A0A0K0K1K3;Q4F7X0,47936
forskolin,115,ADCY9,adenylate cyclase 9,O60503,O60503,47936
forskolin,190,NR0B1,nuclear receptor subfamily 0 group B member 1,P51843,P51843;F1D8P4,47936
forskolin,196,AHR,aryl hydrocarbon receptor,P35869,P35869,47936
forskolin,367,AR,androgen receptor,P10275,P10275;A0A087WUX9;F1D8N5;G4VV16;Q9NUA2,47936
forskolin,1080,CFTR,CF transmembrane conductance regulator,P13569,P13569,47936
forskolin,1387,CREBBP,CREB binding lysine acetyltransferase,Q92793,Q92793,47936
forskolin,1588,CYP19A1,cytochrome P450 family 19 subfamily A member 1,P11511,P11511;A8K6W3;Q05CU4;Q8IYG4;Q8TCA4,47936
forskolin,2099,ESR1,estrogen receptor 1,P03372,P03372;A0A125SXW3;A8KAF4;G4XH65;H0Y4W6;Q9UBT1,47936
forskolin,2740,GLP1R,glucagon like peptide 1 receptor,P43220,P43220;A0A142FHB8,47936
forskolin,2778,GNAS,GNAS complex locus,P63092,O95467;P63092;P84996;Q5JWF2;A0A0A0MR13;A0A0S2Z3H8;A0A0S2Z3S5;A0A590UJF0;A0A590UJQ9;A0A590UK28;A0A7I2V5R6;B0AZR9;Q14455;Q5FWY2;Q5JWD1;Q5JWE9,47936
forskolin,3172,HNF4A,hepatocyte nuclear factor 4 alpha,P41235,P41235;B9VVT8;F1D8S2;F1D8T0;F1D8T1,47936
forskolin,3778,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,Q12791,Q12791;A0A087WZL8;A0A1W2PNQ3;A0A1W2PNW6;A0A1W2PP94;A0A1W2PPY5;A0A1W2PQ61;A0A1W2PQA0;A0A1W2PQK5;A0A1W2PQU4;A0A1W2PR56;A0A1W2PR62;A0A1W2PRB0;A0A1W2PRN5;A0A1W2PSD3;B7ZMF5;D5MRH1;Q59FH2;Q5SVJ7;Q5SVJ8;Q5SVJ9;S4R453,47936
forskolin,3779,KCNMB1,potassium calcium-activated channel subfamily M regulatory beta subunit 1,Q16558,Q16558,47936
