compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
maprotiline,146,adrenoceptor alpha 1D,ADRA1D,P25100,P25100;B0ZBE0
maprotiline,146,adrenoceptor alpha 1D,ADRA1D,P25100,P25100;B0ZBE0
maprotiline,146,adrenoceptor alpha 1D,ADRA1D,P25100,P25100;B0ZBE0
maprotiline,147,adrenoceptor alpha 1B,ADRA1B,P35368,P35368
maprotiline,147,adrenoceptor alpha 1B,ADRA1B,P35368,P35368
maprotiline,148,adrenoceptor alpha 1A,ADRA1A,P35348,P35348;B0ZBD3
maprotiline,148,adrenoceptor alpha 1A,ADRA1A,P35348,P35348;B0ZBD3
maprotiline,148,adrenoceptor alpha 1A,ADRA1A,P35348,P35348;B0ZBD3
maprotiline,148,adrenoceptor alpha 1A,ADRA1A,P35348,P35348;B0ZBD3
maprotiline,150,adrenoceptor alpha 2A,ADRA2A,P08913,P08913
maprotiline,150,adrenoceptor alpha 2A,ADRA2A,P08913,P08913
maprotiline,150,adrenoceptor alpha 2A,ADRA2A,P08913,P08913
maprotiline,151,adrenoceptor alpha 2B,ADRA2B,P18089,P18089
maprotiline,151,adrenoceptor alpha 2B,ADRA2B,P18089,P18089
maprotiline,151,adrenoceptor alpha 2B,ADRA2B,P18089,P18089
maprotiline,152,adrenoceptor alpha 2C,ADRA2C,P18825,P18825;Q4W594
maprotiline,152,adrenoceptor alpha 2C,ADRA2C,P18825,P18825;Q4W594
maprotiline,152,adrenoceptor alpha 2C,ADRA2C,P18825,P18825;Q4W594
maprotiline,316,aldehyde oxidase 1,AOX1,Q06278,Q06278
maprotiline,774,calcium voltage-gated channel subunit alpha1 B,CACNA1B,Q00975,Q00975
maprotiline,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
maprotiline,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
maprotiline,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
maprotiline,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
maprotiline,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
maprotiline,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
maprotiline,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
maprotiline,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
maprotiline,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
maprotiline,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
maprotiline,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
maprotiline,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
maprotiline,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
maprotiline,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
maprotiline,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
maprotiline,1544,cytochrome P450 family 1 subfamily A member 2,CYP1A2,P05177,P05177
maprotiline,1565,cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene),CYP2D6,P10635,P10635;C1ID52;Q5Y7H2
maprotiline,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
maprotiline,1812,dopamine receptor D1,DRD1,P21728,P21728
maprotiline,1813,dopamine receptor D2,DRD2,P14416,P14416;F8VUV1
maprotiline,1813,dopamine receptor D2,DRD2,P14416,P14416;F8VUV1
maprotiline,1813,dopamine receptor D2,DRD2,P14416,P14416;F8VUV1
maprotiline,1814,dopamine receptor D3,DRD3,P35462,P35462;A1A4V4;A8K8E4;E9PCM4;X5D2G4
maprotiline,1816,dopamine receptor D5,DRD5,P21918,P21918
maprotiline,3269,histamine receptor H1,HRH1,P35367,P35367
maprotiline,3269,histamine receptor H1,HRH1,P35367,P35367
maprotiline,3269,histamine receptor H1,HRH1,P35367,P35367
maprotiline,3274,histamine receptor H2,HRH2,P25021,P25021;A0A1B0GTK7
maprotiline,3356,5-hydroxytryptamine receptor 2A,HTR2A,P28223,P28223;A0A7P0PKG8
maprotiline,3356,5-hydroxytryptamine receptor 2A,HTR2A,P28223,P28223;A0A7P0PKG8
