normalized_target,gene_symbol_mygene,score,notfound
muscarinic acetylcholine receptor m1,,,True
m1 receptor,,,True
muscarinic acetylcholine receptor m2,,,True
m2 receptor,,,True
muscarinic acetylcholine receptor m3,,,True
m3 receptor,,,True
muscarinic acetylcholine receptor m4,,,True
m4 receptor,,,True
m5 receptor,,,True
muscarinic acetylcholine receptor m5,,,True
muscarinic acetylcholine receptor,,,True
muscarinic receptor 2,CHRM2,,False
acetylcholinesterase,ACHE,,False
adenosine receptor a1,ADORA1,,False
a1 receptor,EPHA1,,False
adenosine a1 receptor,ADORA1,,False
adenosine receptor a2a,ADORA2A,,False
a2a receptor,ADORA2A,,False
adenosine a2a receptor,ADORA2A,,False
adenosine receptor a2b,ADORA2B,,False
a2b receptor,ADORA2B,,False
adenosine receptor a3,ADORA3,,False
a3 receptor,ADORA3,,False
serine protein kinase atm,,,True
serine threonine protein kinase atr,,,True
carbonic anhydrase 1,CA1,,False
carbonic anhydrase 2,CA2,,False
chitotriosidase 1,,,True
cytochrome p450 1a1,,,True
cytochrome p450 1a2,,,True
cytochrome p450 1b1,,,True
cytochrome p450 2c8,,,True
cytochrome p450 2c9,,,True
cytochrome p450 2d6,LOC107987479,,False
cytochrome p450 2e1,,,True
cytochrome p450 3a4,,,True
serine threonine protein kinase mtor,,,True
h1 4,,,True
h1 5,,,True
h1 6,,,True
hla a,,,True
inositol 1 4 5 trisphosphate receptor,,,True
inositol 1 4 5 trisphosphate gated calcium channel itpr1,,,True
inositol 1 4 5 trisphosphate gated calcium channel itpr2,,,True
inositol 1 4 5 trisphosphate gated calcium channel itpr3,,,True
potassium voltage gated channel subfamily h member 2,KCNH2,,False
potassium channel subfamily k member 2,KCNK2,,False
glycogen phosphorylase muscle form,,,True
adenosine receptor,ADORA2B,,False
endochitinase b1,,,True
phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit delta isoform,,,True
adenosine a2 receptor,,,True
guanine deaminase,GDA,,False
camp specific 3 5 cyclic phosphodiesterase 4a,,,True
hba a1,,,True
he1 3,,,True
hsp70 3,ST13P3,,False
igfn1 1,,,True
lim2 4,,,True
5 nucleotidase,NT5E,,False
3 5 cyclic amp phosphodiesterase 4b,,,True
cgmp inhibited 3 5 cyclic phosphodiesterase 3a,,,True
dual 3 5 cyclic amp and gmp phosphodiesterase 11a,,,True
