pathway_id,total_count,n_compounds,compounds
1185255,2,1,Ethanolamine
1185350,2,1,Ethanolamine
1185351,2,1,Ethanolamine
1185354,2,1,Ethanolamine
1185355,2,1,Ethanolamine
1185358,2,1,Ethanolamine
1185359,2,1,Ethanolamine
1185362,2,1,Ethanolamine
1185363,2,1,Ethanolamine
1185366,2,1,Ethanolamine
1185367,2,1,Ethanolamine
1185370,2,1,Ethanolamine
1185371,2,1,Ethanolamine
1185374,2,1,Ethanolamine
1185375,2,1,Ethanolamine
1185378,2,1,Ethanolamine
1185379,2,1,Ethanolamine
1185382,2,1,Ethanolamine
1185383,2,1,Ethanolamine
1185386,2,1,Ethanolamine
1185387,2,1,Ethanolamine
1185390,2,1,Ethanolamine
1185391,2,1,Ethanolamine
1185394,2,1,Ethanolamine
1185395,2,1,Ethanolamine
1185398,2,1,Ethanolamine
1185399,2,1,Ethanolamine
1185402,2,1,Ethanolamine
1185403,2,1,Ethanolamine
1185406,2,1,Ethanolamine
1185407,2,1,Ethanolamine
1185410,2,1,Ethanolamine
1185411,2,1,Ethanolamine
1185414,2,1,Ethanolamine
1185415,2,1,Ethanolamine
1185418,2,1,Ethanolamine
1185419,2,1,Ethanolamine
1185422,2,1,Ethanolamine
1185423,2,1,Ethanolamine
1185426,2,1,Ethanolamine
1185427,2,1,Ethanolamine
1185430,2,1,Ethanolamine
1185431,2,1,Ethanolamine
1185434,2,1,Ethanolamine
1185435,2,1,Ethanolamine
1185438,2,1,Ethanolamine
1185439,2,1,Ethanolamine
1185442,2,1,Ethanolamine
1185443,2,1,Ethanolamine
1185446,2,1,Ethanolamine
1185447,2,1,Ethanolamine
1185450,2,1,Ethanolamine
1185451,2,1,Ethanolamine
1185454,2,1,Ethanolamine
1185455,2,1,Ethanolamine
1185458,2,1,Ethanolamine
1185459,2,1,Ethanolamine
1185462,2,1,Ethanolamine
1185463,2,1,Ethanolamine
1185466,2,1,Ethanolamine
1185467,2,1,Ethanolamine
1185470,2,1,Ethanolamine
1185471,2,1,Ethanolamine
1185474,2,1,Ethanolamine
1185475,2,1,Ethanolamine
1185478,2,1,Ethanolamine
1185479,2,1,Ethanolamine
1185482,2,1,Ethanolamine
1185483,2,1,Ethanolamine
1185486,2,1,Ethanolamine
1185487,2,1,Ethanolamine
1185490,2,1,Ethanolamine
1185491,2,1,Ethanolamine
1185494,2,1,Ethanolamine
1185495,2,1,Ethanolamine
1185498,2,1,Ethanolamine
1185499,2,1,Ethanolamine
1185502,2,1,Ethanolamine
1185503,2,1,Ethanolamine
1185506,2,1,Ethanolamine
1185507,2,1,Ethanolamine
1185510,2,1,Ethanolamine
1185511,2,1,Ethanolamine
1185514,2,1,Ethanolamine
1185515,2,1,Ethanolamine
1185518,2,1,Ethanolamine
1185519,2,1,Ethanolamine
1185522,2,1,Ethanolamine
1185523,2,1,Ethanolamine
1185526,2,1,Ethanolamine
1185527,2,1,Ethanolamine
1185530,2,1,Ethanolamine
1185531,2,1,Ethanolamine
1185534,2,1,Ethanolamine
1185535,2,1,Ethanolamine
1185538,2,1,Ethanolamine
1185539,2,1,Ethanolamine
1185542,2,1,Ethanolamine
1185543,2,1,Ethanolamine
1185546,2,1,Ethanolamine
1185547,2,1,Ethanolamine
1185550,2,1,Ethanolamine
1185551,2,1,Ethanolamine
1185554,2,1,Ethanolamine
1185555,2,1,Ethanolamine
1185558,2,1,Ethanolamine
1185559,2,1,Ethanolamine
1185562,2,1,Ethanolamine
1185563,2,1,Ethanolamine
1185566,2,1,Ethanolamine
1185567,2,1,Ethanolamine
1185570,2,1,Ethanolamine
1185571,2,1,Ethanolamine
1185574,2,1,Ethanolamine
1185575,2,1,Ethanolamine
1185578,2,1,Ethanolamine
1185579,2,1,Ethanolamine
1185582,2,1,Ethanolamine
1185583,2,1,Ethanolamine
1185586,2,1,Ethanolamine
1185587,2,1,Ethanolamine
1185590,2,1,Ethanolamine
1185591,2,1,Ethanolamine
1185594,2,1,Ethanolamine
1185595,2,1,Ethanolamine
1185598,2,1,Ethanolamine
1185599,2,1,Ethanolamine
1185602,2,1,Ethanolamine
1185603,2,1,Ethanolamine
1185606,2,1,Ethanolamine
1185607,2,1,Ethanolamine
1185610,2,1,Ethanolamine
1185611,2,1,Ethanolamine
1185614,2,1,Ethanolamine
1185615,2,1,Ethanolamine
1185618,2,1,Ethanolamine
1185619,2,1,Ethanolamine
1185622,2,1,Ethanolamine
1185623,2,1,Ethanolamine
1185626,2,1,Ethanolamine
1185627,2,1,Ethanolamine
1185630,2,1,Ethanolamine
1185631,2,1,Ethanolamine
1185634,2,1,Ethanolamine
1185635,2,1,Ethanolamine
1185638,2,1,Ethanolamine
1185639,2,1,Ethanolamine
1185642,2,1,Ethanolamine
1185643,2,1,Ethanolamine
1185646,2,1,Ethanolamine
1185647,2,1,Ethanolamine
1185650,2,1,Ethanolamine
1185651,2,1,Ethanolamine
1185654,2,1,Ethanolamine
1185655,2,1,Ethanolamine
1185658,2,1,Ethanolamine
1185659,2,1,Ethanolamine
1185662,2,1,Ethanolamine
1185663,2,1,Ethanolamine
1185666,2,1,Ethanolamine
1185667,2,1,Ethanolamine
1185670,2,1,Ethanolamine
1185671,2,1,Ethanolamine
1185674,2,1,Ethanolamine
1185675,2,1,Ethanolamine
1185678,2,1,Ethanolamine
1185679,2,1,Ethanolamine
1185682,2,1,Ethanolamine
1185683,2,1,Ethanolamine
1185686,2,1,Ethanolamine
1185687,2,1,Ethanolamine
1185690,2,1,Ethanolamine
1185691,2,1,Ethanolamine
1185694,2,1,Ethanolamine
1185695,2,1,Ethanolamine
1185698,2,1,Ethanolamine
1185699,2,1,Ethanolamine
1185702,2,1,Ethanolamine
1185703,2,1,Ethanolamine
1185706,2,1,Ethanolamine
1185707,2,1,Ethanolamine
1185710,2,1,Ethanolamine
1185711,2,1,Ethanolamine
1185714,2,1,Ethanolamine
1185715,2,1,Ethanolamine
1185718,2,1,Ethanolamine
1185719,2,1,Ethanolamine
1185722,2,1,Ethanolamine
1185723,2,1,Ethanolamine
1185726,2,1,Ethanolamine
1185727,2,1,Ethanolamine
1185730,2,1,Ethanolamine
1185731,2,1,Ethanolamine
1185734,2,1,Ethanolamine
1185735,2,1,Ethanolamine
1185738,2,1,Ethanolamine
1185739,2,1,Ethanolamine
1185742,2,1,Ethanolamine
1185743,2,1,Ethanolamine
1185746,2,1,Ethanolamine
1185747,2,1,Ethanolamine
1185750,2,1,Ethanolamine
1185751,2,1,Ethanolamine
1185754,2,1,Ethanolamine
1185755,2,1,Ethanolamine
1185758,2,1,Ethanolamine
1185759,2,1,Ethanolamine
1185762,2,1,Ethanolamine
1185763,2,1,Ethanolamine
1185766,2,1,Ethanolamine
1185767,2,1,Ethanolamine
1185770,2,1,Ethanolamine
1185771,2,1,Ethanolamine
1185774,2,1,Ethanolamine
1185775,2,1,Ethanolamine
1185778,2,1,Ethanolamine
1185779,2,1,Ethanolamine
1185782,2,1,Ethanolamine
1185783,2,1,Ethanolamine
1185786,2,1,Ethanolamine
1185787,2,1,Ethanolamine
1185790,2,1,Ethanolamine
1185791,2,1,Ethanolamine
1185794,2,1,Ethanolamine
1185795,2,1,Ethanolamine
1185798,2,1,Ethanolamine
1185799,2,1,Ethanolamine
1185802,2,1,Ethanolamine
1185803,2,1,Ethanolamine
1185806,2,1,Ethanolamine
1185807,2,1,Ethanolamine
1185810,2,1,Ethanolamine
1185811,2,1,Ethanolamine
1185814,2,1,Ethanolamine
1185815,2,1,Ethanolamine
1185818,2,1,Ethanolamine
1185819,2,1,Ethanolamine
1185822,2,1,Ethanolamine
1185823,2,1,Ethanolamine
1185826,2,1,Ethanolamine
1185827,2,1,Ethanolamine
1185830,2,1,Ethanolamine
1185831,2,1,Ethanolamine
1185834,2,1,Ethanolamine
