compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
pilocarpine,1128,CHRM1,cholinergic receptor muscarinic 1,P11229,P11229;Q53XZ3,5910
pilocarpine,1129,CHRM2,cholinergic receptor muscarinic 2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1,5910
pilocarpine,1131,CHRM3,cholinergic receptor muscarinic 3,P20309,P20309,5910
pilocarpine,1132,CHRM4,cholinergic receptor muscarinic 4,P08173,P08173,5910
pilocarpine,1133,CHRM5,cholinergic receptor muscarinic 5,P08912,P08912;Q8IVW0,5910
pilocarpine,1548,CYP2A6,cytochrome P450 family 2 subfamily A member 6,P11509,P11509,5910
pilocarpine,1576,CYP3A4,cytochrome P450 family 3 subfamily A member 4,P08684,P08684;Q6GRK0,5910
pilocarpine,5444,PON1,paraoxonase 1,P27169,P27169,5910
pilocarpine,12669,CHRM1,"cholinergic receptor, muscarinic 1, CNS",P12657,P12657,5910
pilocarpine,24260,CHRM3,"cholinergic receptor, muscarinic 3",P08483,P08483;A6KN24,5910
pilocarpine,25111,CHRM4,"cholinergic receptor, muscarinic 4",P08485,P08485;A6HNE6;G3V894,5910
pilocarpine,25229,CHRM1,"cholinergic receptor, muscarinic 1",P08482,P08482;A6HZR8,5910
pilocarpine,37892,MACHR-A,"muscarinic Acetylcholine Receptor, A-type",P16395,P16395,5910
pilocarpine,53949,CHRM5,"cholinergic receptor, muscarinic 5",P08911,P08911;A6HP54,5910
pilocarpine,81645,CHRM2,"cholinergic receptor, muscarinic 2",P10980,P10980;A6IEP6,5910
