compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
pilocarpine,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
pilocarpine,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
pilocarpine,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
pilocarpine,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
pilocarpine,1128,cholinergic receptor muscarinic 1,CHRM1,P11229,P11229;Q53XZ3
pilocarpine,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
pilocarpine,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
pilocarpine,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
pilocarpine,1129,cholinergic receptor muscarinic 2,CHRM2,P08172,P08172;A4D1Q0;Q6SL56;Q6SL59;Q86SJ1
pilocarpine,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
pilocarpine,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
pilocarpine,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
pilocarpine,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
pilocarpine,1131,cholinergic receptor muscarinic 3,CHRM3,P20309,P20309
pilocarpine,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
pilocarpine,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
pilocarpine,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
pilocarpine,1132,cholinergic receptor muscarinic 4,CHRM4,P08173,P08173
pilocarpine,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
pilocarpine,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
pilocarpine,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
pilocarpine,1133,cholinergic receptor muscarinic 5,CHRM5,P08912,P08912;Q8IVW0
pilocarpine,1548,cytochrome P450 family 2 subfamily A member 6,CYP2A6,P11509,P11509
pilocarpine,1576,cytochrome P450 family 3 subfamily A member 4,CYP3A4,P08684,P08684;Q6GRK0
pilocarpine,5444,paraoxonase 1,PON1,P27169,P27169
pilocarpine,12669,"cholinergic receptor, muscarinic 1, CNS",CHRM1,P12657,P12657
pilocarpine,24260,"cholinergic receptor, muscarinic 3",CHRM3,P08483,P08483;A6KN24
pilocarpine,25111,"cholinergic receptor, muscarinic 4",CHRM4,P08485,P08485;A6HNE6;G3V894
pilocarpine,25229,"cholinergic receptor, muscarinic 1",CHRM1,P08482,P08482;A6HZR8
pilocarpine,25229,"cholinergic receptor, muscarinic 1",CHRM1,P08482,P08482;A6HZR8
pilocarpine,25229,"cholinergic receptor, muscarinic 1",CHRM1,P08482,P08482;A6HZR8
pilocarpine,37892,"muscarinic Acetylcholine Receptor, A-type",MACHR-A,P16395,P16395
pilocarpine,53949,"cholinergic receptor, muscarinic 5",CHRM5,P08911,P08911;A6HP54
pilocarpine,81645,"cholinergic receptor, muscarinic 2",CHRM2,P10980,P10980;A6IEP6
pilocarpine,81645,"cholinergic receptor, muscarinic 2",CHRM2,P10980,P10980;A6IEP6
