uniprot_accession,protein_name,pathway,compound,cid
A4D1D2,"ATP-binding cassette, sub-family B ",PharmGKB_PA145011109,simvastatin,54454
B4DGA9,SLCO2B1,PharmGKB_PA145011109,simvastatin,54454
P08684,Cytochrome P450 3A4,PharmGKB_PA145011109,simvastatin,54454
P10632,Cytochrome P450 2C8,PharmGKB_PA145011109,simvastatin,54454
P11712,Cytochrome P450 2C9,PharmGKB_PA145011109,simvastatin,54454
P16662,UDP-glucuronosyltransferase 2B7,PharmGKB_PA145011109,simvastatin,54454
P20815,Cytochrome P450 3A5,PharmGKB_PA145011109,simvastatin,54454
P22309,UDP-glucuronosyltransferase 1A1,PharmGKB_PA145011109,simvastatin,54454
P33261,Cytochrome P450 2C19,PharmGKB_PA145011109,simvastatin,54454
P35503,UDP-glucuronosyltransferase 1A3,PharmGKB_PA145011109,simvastatin,54454
Q05CV5,Solute carrier organic anion transporter family member ,PharmGKB_PA145011109,simvastatin,54454
Q6NWU0,Cytochrome P450 2D6 ,PharmGKB_PA145011109,simvastatin,54454
Q92887,ATP-binding cassette sub-family C member 2,PharmGKB_PA145011109,simvastatin,54454
Q9NPD5,Solute carrier organic anion transporter family member 1B3,PharmGKB_PA145011109,simvastatin,54454
O75845,Lathosterol oxidase,PathBank_SMP0000082,simvastatin,54454
O76062,Delta(14)-sterol reductase TM7SF2,PathBank_SMP0000082,simvastatin,54454
O95749,Geranylgeranyl pyrophosphate synthase,PathBank_SMP0000082,simvastatin,54454
P04035,3-hydroxy-3-methylglutaryl-coenzyme A reductase,PathBank_SMP0000082,simvastatin,54454
P14324,Farnesyl pyrophosphate synthase,PathBank_SMP0000082,simvastatin,54454
P35610,Sterol O-acyltransferase 1,PathBank_SMP0000082,simvastatin,54454
P37268,Squalene synthase,PathBank_SMP0000082,simvastatin,54454
P38571,Lysosomal acid lipase/cholesteryl ester hydrolase,PathBank_SMP0000082,simvastatin,54454
P48449,Lanosterol synthase,PathBank_SMP0000082,simvastatin,54454
P53602,Diphosphomevalonate decarboxylase,PathBank_SMP0000082,simvastatin,54454
P56937,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,PathBank_SMP0000082,simvastatin,54454
Q03426,Mevalonate kinase,PathBank_SMP0000082,simvastatin,54454
Q13907,Isopentenyl-diphosphate Delta-isomerase 1,PathBank_SMP0000082,simvastatin,54454
Q14534,Squalene monooxygenase,PathBank_SMP0000082,simvastatin,54454
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",PathBank_SMP0000082,simvastatin,54454
Q15126,Phosphomevalonate kinase,PathBank_SMP0000082,simvastatin,54454
Q15392,Delta(24)-sterol reductase,PathBank_SMP0000082,simvastatin,54454
Q15738,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",PathBank_SMP0000082,simvastatin,54454
Q15800,Methylsterol monooxygenase 1,PathBank_SMP0000082,simvastatin,54454
Q16850,Lanosterol 14-alpha demethylase,PathBank_SMP0000082,simvastatin,54454
Q9BWD1,"Acetyl-CoA acetyltransferase, cytosolic",PathBank_SMP0000082,simvastatin,54454
