compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
simvastatin,2,A2M,alpha-2-macroglobulin,P01023,P01023,54454
simvastatin,19,ABCA1,ATP binding cassette subfamily A member 1,O95477,O95477;B2RUU2;B7XCW9,54454
simvastatin,26,AOC1,amine oxidase copper containing 1,P19801,P19801,54454
simvastatin,32,ACACB,acetyl-CoA carboxylase beta,O00763,O00763,54454
simvastatin,59,ACTA2,"actin alpha 2, smooth muscle",P62736,P62736;A0AAQ5BGG7;A0AAQ5BGI6;D2JYH4,54454
simvastatin,60,ACTB,actin beta,P60709,P60709;Q1KLZ0,54454
simvastatin,81,ACTN4,actinin alpha 4,O43707,O43707;A0A0S2Z3G9;F5GXS2;H7C144,54454
simvastatin,136,ADORA2B,adenosine A2b receptor,P29275,P29275,54454
simvastatin,142,PARP1,poly(ADP-ribose) polymerase 1,P09874,P09874,54454
simvastatin,153,ADRB1,adrenoceptor beta 1,P08588,P08588,54454
simvastatin,174,AFP,alpha fetoprotein,P02771,P02771,54454
simvastatin,176,ACAN,aggrecan,P16112,P16112;A0A5K1VW97,54454
simvastatin,177,AGER,advanced glycosylation end-product specific receptor,Q15109,Q15109;A0A1U9X785;B4DNX3;Q101R3,54454
simvastatin,183,AGT,angiotensinogen,P01019,P01019;A0A7P0T8D1;B0ZBE2;B2R5S1,54454
simvastatin,185,AGTR1,angiotensin II receptor type 1,P30556,P30556;A0A0A0MSE3;D3DNG8;Q53YY0;Q6NUP5,54454
simvastatin,190,NR0B1,nuclear receptor subfamily 0 group B member 1,P51843,P51843;F1D8P4,54454
simvastatin,207,AKT1,AKT serine/threonine kinase 1,P31749,P31749;B0LPE5;B3KVH4,54454
simvastatin,218,ALDH3A1,aldehyde dehydrogenase 3 family member A1,P30838,P30838;I3L3I9;Q6PKA6,54454
simvastatin,238,ALK,ALK receptor tyrosine kinase,Q9UM73,Q9UM73;A0A0K2YUJ3;B6D4Y2,54454
simvastatin,241,ALOX5AP,arachidonate 5-lipoxygenase activating protein,P20292,P20292;A0A087WW23,54454
simvastatin,248,ALPI,"alkaline phosphatase, intestinal",P09923,P09923,54454
simvastatin,249,ALPL,"alkaline phosphatase, biomineralization associated",P05186,P05186,54454
simvastatin,284,ANGPT1,angiopoietin 1,Q15389,Q15389;B4DTQ9,54454
simvastatin,285,ANGPT2,angiopoietin 2,O15123,O15123,54454
simvastatin,290,ANPEP,"alanyl aminopeptidase, membrane",P15144,P15144;Q59E93,54454
simvastatin,301,ANXA1,annexin A1,P04083,P04083;Q5TZZ9,54454
simvastatin,306,ANXA3,annexin A3,P12429,P12429,54454
simvastatin,319,APOF,apolipoprotein F,Q13790,Q13790,54454
simvastatin,329,BIRC2,baculoviral IAP repeat containing 2,Q13490,Q13490,54454
simvastatin,330,BIRC3,baculoviral IAP repeat containing 3,Q13489,Q13489,54454
simvastatin,331,XIAP,X-linked inhibitor of apoptosis,P98170,P98170;B2R9R2,54454
simvastatin,332,BIRC5,baculoviral IAP repeat containing 5,O15392,O15392;A0A0B4J1S3;H3BLT4,54454
simvastatin,335,APOA1,apolipoprotein A1,P02647,P02647;A0A024R3E3,54454
simvastatin,336,APOA2,apolipoprotein A2,P02652,P02652,54454
simvastatin,337,APOA4,apolipoprotein A4,P06727,P06727,54454
simvastatin,338,APOB,apolipoprotein B,P04114,P04114;A0AAG2UUW0;Q59HB3;Q7Z7Q0,54454
simvastatin,341,APOC1,apolipoprotein C1,P02654,P02654;K7EPF9,54454
simvastatin,345,APOC3,apolipoprotein C3,P02656,P02656;A3KPE2,54454
simvastatin,348,APOE,apolipoprotein E,P02649,P02649;A0A0S2Z3D5,54454
simvastatin,351,APP,amyloid beta precursor protein,P05067,P05067;A0A0A0MRG2;A0A140VJC8;B4DGD0;B4DJT9;E9PG40,54454
simvastatin,356,FASLG,Fas ligand,P48023,P48023;Q53ZZ1,54454
simvastatin,367,AR,androgen receptor,P10275,P10275;A0A087WUX9;F1D8N5;G4VV16;Q9NUA2,54454
simvastatin,383,ARG1,arginase 1,P05089,P05089;A0A5F9ZH78,54454
simvastatin,387,RHOA,ras homolog family member A,P61586,P61586;A0A024R324;A0A7I2YQV1;B4DKN9;C9JRM1;C9JX21;Q9BVT0,54454
simvastatin,389,RHOC,ras homolog family member C,P08134,P08134;A0A024R0C8,54454
simvastatin,393,ARHGAP4,Rho GTPase activating protein 4,P98171,P98171,54454
simvastatin,445,ASS1,argininosuccinate synthase 1,P00966,P00966;Q5T6L4,54454
simvastatin,467,ATF3,activating transcription factor 3,P18847,P18847,54454
simvastatin,472,ATM,ATM serine/threonine kinase,Q13315,Q13315;A0AAQ5BH18;Q6P7P1,54454
simvastatin,488,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,P16615,P16615;A0A0S2Z3L2,54454
simvastatin,529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,P36543,P36543;Q53Y06,54454
simvastatin,558,AXL,AXL receptor tyrosine kinase,P30530,P30530;M0R0W6,54454
simvastatin,572,BAD,BCL2 associated agonist of cell death,Q92934,Q92934,54454
simvastatin,581,BAX,"BCL2 associated X, apoptosis regulator",Q07812,Q07812;I6LPK7;Q5ZPJ0;Q5ZPJ1,54454
simvastatin,595,CCND1,cyclin D1,P24385,P24385;Q6FI00,54454
simvastatin,596,BCL2,BCL2 apoptosis regulator,P10415,P10415;A0A7I2V3S7,54454
simvastatin,598,BCL2L1,BCL2 like 1,Q07817,Q07817;A0A0S2Z3C5;Q5TE63,54454
simvastatin,627,BDNF,brain derived neurotrophic factor,P23560,P23560;A0A0E3SU01,54454
simvastatin,632,BGLAP,bone gamma-carboxyglutamate protein,P02818,P02818,54454
simvastatin,639,PRDM1,PR/SET domain 1,O75626,O75626;A0A3B3IU23;B4DW27;Q5T4E8,54454
simvastatin,649,BMP1,bone morphogenetic protein 1,P13497,P13497,54454
simvastatin,650,BMP2,bone morphogenetic protein 2,P12643,P12643;C8C060,54454
simvastatin,659,BMPR2,bone morphogenetic protein receptor type 2,Q13873,Q13873,54454
simvastatin,664,BNIP3,BCL2 interacting protein 3,Q12983,Q12983;Q6NVY4,54454
simvastatin,728,C5AR1,complement C5a receptor 1,P21730,P21730,54454
simvastatin,775,CACNA1C,calcium voltage-gated channel subunit alpha1 C,Q13936,Q13936;A0A0A0MR67;A0A0A0MSA1;A0A804HI37;A0A804HIJ8;A0A804HJB6;A0A804HKC4;E9PDI6;F5H522;Q59GU3;Q5V9X9,54454
simvastatin,779,CACNA1S,calcium voltage-gated channel subunit alpha1 S,Q13698,Q13698;B1ALM3,54454
simvastatin,793,CALB1,calbindin 1,P05937,P05937,54454
simvastatin,794,CALB2,calbindin 2,P22676,P22676;A0A140VK08;A6NER6,54454
simvastatin,800,CALD1,caldesmon 1,Q05682,Q05682;A0A140VKA0;E7EX44,54454
simvastatin,810,CALML3,calmodulin like 3,P27482,P27482,54454
simvastatin,823,CAPN1,calpain 1,P07384,P07384;B2RDI5;B4DWH5,54454
simvastatin,829,CAPZA1,capping actin protein of muscle Z-line subunit alpha 1,P52907,P52907,54454
simvastatin,830,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2,P47755,P47755;A4D0V4,54454
simvastatin,834,CASP1,caspase 1,P29466,P29466;A8K249;A8K257,54454
simvastatin,836,CASP3,caspase 3,P42574,P42574;A8MVM1,54454
simvastatin,839,CASP6,caspase 6,P55212,P55212,54454
simvastatin,840,CASP7,caspase 7,P55210,P55210;A0A0A0MRL7;B4DWA2,54454
simvastatin,841,CASP8,caspase 8,Q14790,Q14790;A0A8Q3SID9,54454
simvastatin,842,CASP9,caspase 9,P55211,P55211;F8VVS7,54454
simvastatin,847,CAT,catalase,P04040,P04040;A0A384P5Q0,54454
simvastatin,857,CAV1,caveolin 1,Q03135,Q03135;A9XTE5;Q2TNI1;Q59E85;Q7Z4F3,54454
simvastatin,858,CAV2,caveolin 2,P51636,P51636;Q53X57,54454
simvastatin,860,RUNX2,RUNX family transcription factor 2,Q13950,Q13950;A0A0D9SEN7;Q32MY8,54454
simvastatin,875,CBS,cystathionine beta-synthase,P35520,P35520;B7Z2D6,54454
simvastatin,890,CCNA2,cyclin A2,P20248,P20248,54454
simvastatin,898,CCNE1,cyclin E1,P24864,P24864;A0A0G3DHS8;C9J2U0;V5W5X2,54454
simvastatin,929,CD14,CD14 molecule,P08571,P08571,54454
simvastatin,939,CD27,CD27 molecule,P26842,P26842,54454
simvastatin,941,CD80,CD80 molecule,P33681,P33681;A0N0P2,54454
simvastatin,942,CD86,CD86 molecule,P42081,P42081;A0A0X9R4E0;A8K632,54454
simvastatin,949,SCARB1,scavenger receptor class B member 1,Q8WTV0,Q8WTV0;A0A7P0Z4E3;B3KW46;B7ZKQ9,54454
simvastatin,953,ENTPD1,ectonucleoside triphosphate diphosphohydrolase 1,P49961,P49961,54454
simvastatin,958,CD40,CD40 molecule,P25942,P25942;A0A0S2Z349;A0A0S2Z3C7;A0A8Q3SI60;Q6P2H9,54454
simvastatin,959,CD40LG,CD40 ligand,P29965,P29965,54454
simvastatin,960,CD44,CD44 molecule (IN blood group),P16070,P16070,54454
simvastatin,977,CD151,CD151 molecule (Raph blood group),P48509,P48509;Q6ZNZ0,54454
simvastatin,983,CDK1,cyclin dependent kinase 1,P06493,P06493;B7Z3D6;I6L9I5,54454
simvastatin,990,CDC6,cell division cycle 6,Q99741,Q99741,54454
simvastatin,994,CDC25B,cell division cycle 25B,P30305,P30305;B3KS38;B4DIG0;B4DQZ3;B4DRC3;E1YMX4;G8JLH2,54454
simvastatin,998,CDC42,cell division cycle 42,P60953,P60953,54454
simvastatin,1003,CDH5,cadherin 5,P33151,P33151;Q59EA3,54454
simvastatin,1017,CDK2,cyclin dependent kinase 2,P24941,P24941;B4DDL9;E7ESI2;G3V5T9,54454
simvastatin,1019,CDK4,cyclin dependent kinase 4,P11802,P11802,54454
simvastatin,1020,CDK5,cyclin dependent kinase 5,Q00535,Q00535;A0A090N7W4;A0A0S2Z355,54454
simvastatin,1026,CDKN1A,cyclin dependent kinase inhibitor 1A,P38936,P38936,54454
simvastatin,1027,CDKN1B,cyclin dependent kinase inhibitor 1B,P46527,P46527;Q6I9V6,54454
simvastatin,1028,CDKN1C,cyclin dependent kinase inhibitor 1C,P49918,P49918;A0A2R8YFP9,54454
simvastatin,1029,CDKN2A,cyclin dependent kinase inhibitor 2A,P42771,P42771;Q8N726;K7PML8,54454
simvastatin,1032,CDKN2D,cyclin dependent kinase inhibitor 2D,P55273,P55273,54454
simvastatin,1056,CEL,carboxyl ester lipase,P19835,P19835;B4DSX9;O75612;Q86SR3,54454
simvastatin,1066,CES1,carboxylesterase 1,P23141,P23141,54454
simvastatin,1071,CETP,cholesteryl ester transfer protein,P11597,P11597;A0A0S2Z3F6;A0A0S2Z3I8;B4DMZ5,54454
simvastatin,1080,CFTR,CF transmembrane conductance regulator,P13569,P13569,54454
simvastatin,1103,CHAT,choline O-acetyltransferase,P28329,P28329;Q6LEN5;Q6LEN6,54454
simvastatin,1133,CHRM5,cholinergic receptor muscarinic 5,P08912,P08912;Q8IVW0,54454
simvastatin,1147,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,O15111,O15111,54454
simvastatin,1158,CKM,"creatine kinase, M-type",P06732,P06732;B2R892,54454
