compound,protein,normalized_target,is_gene,gene_symbol_mygene,score,notfound,canonical_target
bethanechol,AADAC,AADAC,True,,,,AADAC
bethanechol,AAMP,AAMP,True,,,,AAMP
bethanechol,AANAT,AANAT,True,,,,AANAT
bethanechol,AARS1,AARS1,True,,,,AARS1
bethanechol,AAVS1,AAVS1,True,,,,AAVS1
bethanechol,CHRM1,CHRM1,True,,,,CHRM1
bethanechol,Muscarinic acetylcholine receptor M1,muscarinic acetylcholine receptor m1,False,,,True,CHRM1
bethanechol,Muscarinic acetylcholine receptor M1,muscarinic acetylcholine receptor m1,False,,,True,CHRM1
bethanechol,CHRM1,CHRM1,True,,,,CHRM1
bethanechol,Muscarinic acetylcholine receptor M1,muscarinic acetylcholine receptor m1,False,,,True,CHRM1
bethanechol,M1 receptor,m1 receptor,False,,,True,CHRM1
bethanechol,Muscarinic acetylcholine receptor M2,muscarinic acetylcholine receptor m2,False,,,True,CHRM2
bethanechol,M2 receptor,m2 receptor,False,,,True,CHRM2
bethanechol,Muscarinic acetylcholine receptor M2,muscarinic acetylcholine receptor m2,False,,,True,CHRM2
bethanechol,Muscarinic acetylcholine receptor M2,muscarinic acetylcholine receptor m2,False,,,True,CHRM2
bethanechol,Muscarinic acetylcholine receptor M3,muscarinic acetylcholine receptor m3,False,,,True,CHRM3
bethanechol,Muscarinic acetylcholine receptor M3,muscarinic acetylcholine receptor m3,False,,,True,CHRM3
bethanechol,M3 receptor,m3 receptor,False,,,True,CHRM3
bethanechol,Muscarinic acetylcholine receptor M3,muscarinic acetylcholine receptor m3,False,,,True,CHRM3
bethanechol,Muscarinic acetylcholine receptor M4,muscarinic acetylcholine receptor m4,False,,,True,CHRM4
bethanechol,M4 receptor,m4 receptor,False,,,True,CHRM4
bethanechol,Muscarinic acetylcholine receptor M4,muscarinic acetylcholine receptor m4,False,,,True,CHRM4
bethanechol,Muscarinic acetylcholine receptor M4,muscarinic acetylcholine receptor m4,False,,,True,CHRM4
bethanechol,M5 receptor,m5 receptor,False,,,True,CHRM5
bethanechol,Muscarinic acetylcholine receptor M5,muscarinic acetylcholine receptor m5,False,,,True,CHRM5
bethanechol,CHRM5,CHRM5,True,,,,CHRM5
bethanechol,Muscarinic acetylcholine receptor M5 (CHRM5),muscarinic acetylcholine receptor m5,False,,,True,CHRM5
bethanechol,M1 receptor,m1 receptor,False,,,True,CHRM1
bethanechol,Muscarinic acetylcholine receptor,muscarinic acetylcholine receptor,False,,,True,muscarinic acetylcholine receptor
bethanechol,Muscarinic receptor 2,muscarinic receptor 2,False,CHRM2,,False,CHRM2
caffeine,NAT2,NAT2,True,,,,NAT2
caffeine,NAT2,NAT2,True,,,,NAT2
caffeine,NAT2,NAT2,True,,,,NAT2
caffeine,NAT2,NAT2,True,,,,NAT2
caffeine,AARS1,AARS1,True,,,,AARS1
caffeine,ABAT,ABAT,True,,,,ABAT
caffeine,ABAT,ABAT,True,,,,ABAT
caffeine,ABCA1,ABCA1,True,,,,ABCA1
caffeine,ABCA2,ABCA2,True,,,,ABCA2
caffeine,ABCA3,ABCA3,True,,,,ABCA3
caffeine,ABCF1,ABCF1,True,,,,ABCF1
caffeine,ABL1,ABL1,True,,,,ABL1
caffeine,ABL2,ABL2,True,,,,ABL2
caffeine,ACACA,ACACA,True,,,,ACACA
caffeine,ACACA,ACACA,True,,,,ACACA
caffeine,ACACB,ACACB,True,,,,ACACB
caffeine,ACAT2,ACAT2,True,,,,ACAT2
caffeine,ACHE,ACHE,True,,,,ACHE
caffeine,ACHE,ACHE,True,,,,ACHE
caffeine,ACHE,ACHE,True,,,,ACHE
caffeine,Acetylcholinesterase,acetylcholinesterase,False,ACHE,,False,ACHE
caffeine,ACHE,ACHE,True,,,,ACHE
caffeine,ACLY,ACLY,True,,,,ACLY
caffeine,ACLY,ACLY,True,,,,ACLY
caffeine,ACOX1,ACOX1,True,,,,ACOX1
caffeine,ACTA2,ACTA2,True,,,,ACTA2
caffeine,ACTB,ACTB,True,,,,ACTB
caffeine,ACTB,ACTB,True,,,,ACTB
caffeine,ACTN4,ACTN4,True,,,,ACTN4
caffeine,ACTL6A,ACTL6A,True,,,,ACTL6A
caffeine,ACTN1,ACTN1,True,,,,ACTN1
caffeine,ADA,ADA,True,,,,ADA
caffeine,ADA,ADA,True,,,,ADA
caffeine,ADAR,ADAR,True,,,,ADAR
caffeine,ADARB1,ADARB1,True,,,,ADARB1
caffeine,ADCY5,ADCY5,True,,,,ADCY5
caffeine,ADCY7,ADCY7,True,,,,ADCY7
caffeine,ADCY9,ADCY9,True,,,,ADCY9
caffeine,ADD1,ADD1,True,,,,ADD1
caffeine,ADD3,ADD3,True,,,,ADD3
caffeine,PLIN2,PLIN2,True,,,,PLIN2
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,Adenosine receptor A1,adenosine receptor a1,False,ADORA1,,False,ADORA1
caffeine,A1 receptor,a1 receptor,False,EPHA1,,False,EPHA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,Adenosine receptor A1,adenosine receptor a1,False,ADORA1,,False,ADORA1
caffeine,Adenosine receptor A1,adenosine receptor a1,False,ADORA1,,False,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,Adenosine A1 receptor (ADORA1),adenosine a1 receptor,False,ADORA1,,False,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA1,ADORA1,True,,,,ADORA1
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False,ADORA2A,,False,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False,ADORA2A,,False,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,A2A receptor,a2a receptor,False,ADORA2A,,False,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False,ADORA2A,,False,ADORA2A
caffeine,Adenosine A2a receptor (ADORA2A),adenosine a2a receptor,False,ADORA2A,,False,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2A,ADORA2A,True,,,,ADORA2A
caffeine,ADORA2B,ADORA2B,True,,,,ADORA2B
caffeine,ADORA2B,ADORA2B,True,,,,ADORA2B
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False,ADORA2B,,False,ADORA2B
caffeine,A2B receptor,a2b receptor,False,ADORA2B,,False,ADORA2B
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False,ADORA2B,,False,ADORA2B
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False,ADORA2B,,False,ADORA2B
caffeine,ADORA2B,ADORA2B,True,,,,ADORA2B
caffeine,Adenosine receptor A3,adenosine receptor a3,False,ADORA3,,False,ADORA3
caffeine,Adenosine receptor A3,adenosine receptor a3,False,ADORA3,,False,ADORA3
caffeine,A3 receptor,a3 receptor,False,ADORA3,,False,ADORA3
caffeine,Adenosine receptor A3,adenosine receptor a3,False,ADORA3,,False,ADORA3
caffeine,ADORA3,ADORA3,True,,,,ADORA3
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP1,PARP1,True,,,,PARP1
caffeine,PARP4,PARP4,True,,,,PARP4
caffeine,GRK2,GRK2,True,,,,GRK2
caffeine,ADSL,ADSL,True,,,,ADSL
caffeine,ACAN,ACAN,True,,,,ACAN
caffeine,ACAN,ACAN,True,,,,ACAN
caffeine,JAG1,JAG1,True,,,,JAG1
caffeine,AGT,AGT,True,,,,AGT
caffeine,AGTR2,AGTR2,True,,,,AGTR2
caffeine,AGTR2,AGTR2,True,,,,AGTR2
caffeine,AHCY,AHCY,True,,,,AHCY
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT1,AKT1,True,,,,AKT1
caffeine,AKT2,AKT2,True,,,,AKT2
caffeine,ALB,ALB,True,,,,ALB
caffeine,ALB,ALB,True,,,,ALB
caffeine,ALDH1A1,ALDH1A1,True,,,,ALDH1A1
caffeine,ALDH1A1,ALDH1A1,True,,,,ALDH1A1
caffeine,ALDH9A1,ALDH9A1,True,,,,ALDH9A1
caffeine,ALDH3A2,ALDH3A2,True,,,,ALDH3A2
caffeine,ALDOA,ALDOA,True,,,,ALDOA
caffeine,ALDOA,ALDOA,True,,,,ALDOA
caffeine,ALDOC,ALDOC,True,,,,ALDOC
caffeine,ALPL,ALPL,True,,,,ALPL
caffeine,AMFR,AMFR,True,,,,AMFR
caffeine,AMPD2,AMPD2,True,,,,AMPD2
caffeine,ANG,ANG,True,,,,ANG
caffeine,ANGPT1,ANGPT1,True,,,,ANGPT1
caffeine,ANGPT2,ANGPT2,True,,,,ANGPT2
caffeine,ANK2,ANK2,True,,,,ANK2
caffeine,ANXA2,ANXA2,True,,,,ANXA2
caffeine,ANXA4,ANXA4,True,,,,ANXA4
caffeine,ANXA4,ANXA4,True,,,,ANXA4
caffeine,ANXA11,ANXA11,True,,,,ANXA11
caffeine,AOX1,AOX1,True,,,,AOX1
caffeine,APC,APC,True,,,,APC
caffeine,APEH,APEH,True,,,,APEH
caffeine,APEX1,APEX1,True,,,,APEX1
caffeine,BIRC2,BIRC2,True,,,,BIRC2
caffeine,APLP2,APLP2,True,,,,APLP2
caffeine,APOA1,APOA1,True,,,,APOA1
caffeine,APOA1,APOA1,True,,,,APOA1
caffeine,APOA2,APOA2,True,,,,APOA2
caffeine,APOA2,APOA2,True,,,,APOA2
caffeine,APOB,APOB,True,,,,APOB
caffeine,APOB,APOB,True,,,,APOB
caffeine,APOB,APOB,True,,,,APOB
caffeine,APOB,APOB,True,,,,APOB
caffeine,APOC1,APOC1,True,,,,APOC1
caffeine,APOC1,APOC1,True,,,,APOC1
caffeine,APOC2,APOC2,True,,,,APOC2
caffeine,APOC2,APOC2,True,,,,APOC2
caffeine,APOC3,APOC3,True,,,,APOC3
caffeine,APOE,APOE,True,,,,APOE
caffeine,FAS,FAS,True,,,,FAS
caffeine,FAS,FAS,True,,,,FAS
caffeine,FAS,FAS,True,,,,FAS
caffeine,SHROOM2,SHROOM2,True,,,,SHROOM2
caffeine,AR,AR,True,,,,AR
caffeine,ARAF,ARAF,True,,,,ARAF
caffeine,ARCN1,ARCN1,True,,,,ARCN1
caffeine,ARF1,ARF1,True,,,,ARF1
caffeine,ARL4D,ARL4D,True,,,,ARL4D
caffeine,ARHGAP1,ARHGAP1,True,,,,ARHGAP1
caffeine,ARHGAP5,ARHGAP5,True,,,,ARHGAP5
caffeine,ARHGDIA,ARHGDIA,True,,,,ARHGDIA
caffeine,ARRB1,ARRB1,True,,,,ARRB1
caffeine,ARRB2,ARRB2,True,,,,ARRB2
caffeine,ARVCF,ARVCF,True,,,,ARVCF
caffeine,ASGR2,ASGR2,True,,,,ASGR2
caffeine,ASNS,ASNS,True,,,,ASNS
caffeine,ZFHX3,ZFHX3,True,,,,ZFHX3
caffeine,ATIC,ATIC,True,,,,ATIC
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,ATM,ATM,True,,,,ATM
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False,,,True,serine protein kinase atm
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False,,,True,serine protein kinase atm
caffeine,RERE,RERE,True,,,,RERE
caffeine,ATP1A1,ATP1A1,True,,,,ATP1A1
caffeine,ATP1A3,ATP1A3,True,,,,ATP1A3
caffeine,ATP1B3,ATP1B3,True,,,,ATP1B3
caffeine,ATP2A2,ATP2A2,True,,,,ATP2A2
caffeine,ATP2B1,ATP2B1,True,,,,ATP2B1
caffeine,ATP6V1B2,ATP6V1B2,True,,,,ATP6V1B2
caffeine,ATP6V0C,ATP6V0C,True,,,,ATP6V0C
caffeine,ATR,ATR,True,,,,ATR
caffeine,ATR,ATR,True,,,,ATR
caffeine,ATR,ATR,True,,,,ATR
caffeine,ATR,ATR,True,,,,ATR
caffeine,ATR,ATR,True,,,,ATR
caffeine,ATR,ATR,True,,,,ATR
caffeine,Serine/threonine-protein kinase ATR,serine threonine protein kinase atr,False,,,True,serine threonine protein kinase atr
caffeine,ATRX,ATRX,True,,,,ATRX
caffeine,AUP1,AUP1,True,,,,AUP1
caffeine,AVPR1A,AVPR1A,True,,,,AVPR1A
caffeine,BACH1,BACH1,True,,,,BACH1
caffeine,BARD1,BARD1,True,,,,BARD1
caffeine,BAX,BAX,True,,,,BAX
caffeine,BAX,BAX,True,,,,BAX
caffeine,BAX,BAX,True,,,,BAX
caffeine,BAX,BAX,True,,,,BAX
caffeine,CCND1,CCND1,True,,,,CCND1
caffeine,BCL2,BCL2,True,,,,BCL2
caffeine,BCL2L1,BCL2L1,True,,,,BCL2L1
caffeine,BCL3,BCL3,True,,,,BCL3
caffeine,BCL6,BCL6,True,,,,BCL6
caffeine,BCL9,BCL9,True,,,,BCL9
caffeine,BCR,BCR,True,,,,BCR
caffeine,BDNF,BDNF,True,,,,BDNF
caffeine,BDNF,BDNF,True,,,,BDNF
caffeine,BGLAP,BGLAP,True,,,,BGLAP
caffeine,CEACAM1,CEACAM1,True,,,,CEACAM1
caffeine,BHMT,BHMT,True,,,,BHMT
caffeine,BID,BID,True,,,,BID
caffeine,BLM,BLM,True,,,,BLM
caffeine,BMPR1A,BMPR1A,True,,,,BMPR1A
caffeine,POLR3D,POLR3D,True,,,,POLR3D
caffeine,BNIP2,BNIP2,True,,,,BNIP2
caffeine,BNIP3,BNIP3,True,,,,BNIP3
caffeine,BNIP3,BNIP3,True,,,,BNIP3
caffeine,BNIP3L,BNIP3L,True,,,,BNIP3L
caffeine,DST,DST,True,,,,DST
caffeine,BRCA1,BRCA1,True,,,,BRCA1
caffeine,BRAF,BRAF,True,,,,BRAF
caffeine,BRCA2,BRCA2,True,,,,BRCA2
caffeine,ZFP36L1,ZFP36L1,True,,,,ZFP36L1
caffeine,ZFP36L2,ZFP36L2,True,,,,ZFP36L2
caffeine,BSG,BSG,True,,,,BSG
caffeine,BTF3,BTF3,True,,,,BTF3
caffeine,BUB1,BUB1,True,,,,BUB1
caffeine,BUB1,BUB1,True,,,,BUB1
caffeine,BUB1B,BUB1B,True,,,,BUB1B
caffeine,C1QBP,C1QBP,True,,,,C1QBP
caffeine,C1R,C1R,True,,,,C1R
caffeine,C1S,C1S,True,,,,C1S
caffeine,MYRF,MYRF,True,,,,MYRF
caffeine,DAGLA,DAGLA,True,,,,DAGLA
caffeine,PTTG1IP,PTTG1IP,True,,,,PTTG1IP
caffeine,CFAP410,CFAP410,True,,,,CFAP410
caffeine,Carbonic anhydrase 1,carbonic anhydrase 1,False,CA1,,False,CA1
caffeine,Carbonic anhydrase 2,carbonic anhydrase 2,False,CA2,,False,CA2
caffeine,CACNA1S,CACNA1S,True,,,,CACNA1S
caffeine,DDR1,DDR1,True,,,,DDR1
caffeine,CAD,CAD,True,,,,CAD
caffeine,CAD,CAD,True,,,,CAD
caffeine,CALM1,CALM1,True,,,,CALM1
caffeine,CALM1,CALM1,True,,,,CALM1
caffeine,CALR,CALR,True,,,,CALR
caffeine,CALU,CALU,True,,,,CALU
caffeine,CALU,CALU,True,,,,CALU
caffeine,CAMK2B,CAMK2B,True,,,,CAMK2B
caffeine,CAMK2D,CAMK2D,True,,,,CAMK2D
caffeine,CAMK2G,CAMK2G,True,,,,CAMK2G
caffeine,CANX,CANX,True,,,,CANX
caffeine,CAPN1,CAPN1,True,,,,CAPN1
caffeine,CAPN2,CAPN2,True,,,,CAPN2
caffeine,CAST,CAST,True,,,,CAST
caffeine,CARS1,CARS1,True,,,,CARS1
caffeine,CASP2,CASP2,True,,,,CASP2
caffeine,CASP2,CASP2,True,,,,CASP2
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
caffeine,CASP3,CASP3,True,,,,CASP3
