compound,protein,normalized_target,is_gene
bethanechol,AADAC,AADAC,True
bethanechol,AAMP,AAMP,True
bethanechol,AANAT,AANAT,True
bethanechol,AARS1,AARS1,True
bethanechol,AAVS1,AAVS1,True
bethanechol,CHRM1,CHRM1,True
bethanechol,Muscarinic acetylcholine receptor M1,muscarinic acetylcholine receptor m1,False
bethanechol,Muscarinic acetylcholine receptor M1,muscarinic acetylcholine receptor m1,False
bethanechol,CHRM1,CHRM1,True
bethanechol,Muscarinic acetylcholine receptor M1,muscarinic acetylcholine receptor m1,False
bethanechol,M1 receptor,m1 receptor,False
bethanechol,Muscarinic acetylcholine receptor M2,muscarinic acetylcholine receptor m2,False
bethanechol,M2 receptor,m2 receptor,False
bethanechol,Muscarinic acetylcholine receptor M2,muscarinic acetylcholine receptor m2,False
bethanechol,Muscarinic acetylcholine receptor M2,muscarinic acetylcholine receptor m2,False
bethanechol,Muscarinic acetylcholine receptor M3,muscarinic acetylcholine receptor m3,False
bethanechol,Muscarinic acetylcholine receptor M3,muscarinic acetylcholine receptor m3,False
bethanechol,M3 receptor,m3 receptor,False
bethanechol,Muscarinic acetylcholine receptor M3,muscarinic acetylcholine receptor m3,False
bethanechol,Muscarinic acetylcholine receptor M4,muscarinic acetylcholine receptor m4,False
bethanechol,M4 receptor,m4 receptor,False
bethanechol,Muscarinic acetylcholine receptor M4,muscarinic acetylcholine receptor m4,False
bethanechol,Muscarinic acetylcholine receptor M4,muscarinic acetylcholine receptor m4,False
bethanechol,M5 receptor,m5 receptor,False
bethanechol,Muscarinic acetylcholine receptor M5,muscarinic acetylcholine receptor m5,False
bethanechol,CHRM5,CHRM5,True
bethanechol,Muscarinic acetylcholine receptor M5 (CHRM5),muscarinic acetylcholine receptor m5,False
bethanechol,M1 receptor,m1 receptor,False
bethanechol,Muscarinic acetylcholine receptor,muscarinic acetylcholine receptor,False
bethanechol,Muscarinic receptor 2,muscarinic receptor 2,False
caffeine,NAT2,NAT2,True
caffeine,NAT2,NAT2,True
caffeine,NAT2,NAT2,True
caffeine,NAT2,NAT2,True
caffeine,AARS1,AARS1,True
caffeine,ABAT,ABAT,True
caffeine,ABAT,ABAT,True
caffeine,ABCA1,ABCA1,True
caffeine,ABCA2,ABCA2,True
caffeine,ABCA3,ABCA3,True
caffeine,ABCF1,ABCF1,True
caffeine,ABL1,ABL1,True
caffeine,ABL2,ABL2,True
caffeine,ACACA,ACACA,True
caffeine,ACACA,ACACA,True
caffeine,ACACB,ACACB,True
caffeine,ACAT2,ACAT2,True
caffeine,ACHE,ACHE,True
caffeine,ACHE,ACHE,True
caffeine,ACHE,ACHE,True
caffeine,Acetylcholinesterase,acetylcholinesterase,False
caffeine,ACHE,ACHE,True
caffeine,ACLY,ACLY,True
caffeine,ACLY,ACLY,True
caffeine,ACOX1,ACOX1,True
caffeine,ACTA2,ACTA2,True
caffeine,ACTB,ACTB,True
caffeine,ACTB,ACTB,True
caffeine,ACTN4,ACTN4,True
caffeine,ACTL6A,ACTL6A,True
caffeine,ACTN1,ACTN1,True
caffeine,ADA,ADA,True
caffeine,ADA,ADA,True
caffeine,ADAR,ADAR,True
caffeine,ADARB1,ADARB1,True
caffeine,ADCY5,ADCY5,True
caffeine,ADCY7,ADCY7,True
caffeine,ADCY9,ADCY9,True
caffeine,ADD1,ADD1,True
caffeine,ADD3,ADD3,True
caffeine,PLIN2,PLIN2,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,A1 receptor,a1 receptor,False
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,Adenosine receptor A1,adenosine receptor a1,False
caffeine,ADORA1,ADORA1,True
caffeine,Adenosine A1 receptor (ADORA1),adenosine a1 receptor,False
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA1,ADORA1,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False
caffeine,ADORA2A,ADORA2A,True
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False
caffeine,ADORA2A,ADORA2A,True
caffeine,A2A receptor,a2a receptor,False
caffeine,ADORA2A,ADORA2A,True
caffeine,Adenosine receptor A2a,adenosine receptor a2a,False
caffeine,Adenosine A2a receptor (ADORA2A),adenosine a2a receptor,False
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2A,ADORA2A,True
caffeine,ADORA2B,ADORA2B,True
caffeine,ADORA2B,ADORA2B,True
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False
caffeine,A2B receptor,a2b receptor,False
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False
caffeine,Adenosine receptor A2b,adenosine receptor a2b,False
caffeine,ADORA2B,ADORA2B,True
caffeine,Adenosine receptor A3,adenosine receptor a3,False
caffeine,Adenosine receptor A3,adenosine receptor a3,False
caffeine,A3 receptor,a3 receptor,False
caffeine,Adenosine receptor A3,adenosine receptor a3,False
caffeine,ADORA3,ADORA3,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP1,PARP1,True
caffeine,PARP4,PARP4,True
caffeine,GRK2,GRK2,True
caffeine,ADSL,ADSL,True
caffeine,ACAN,ACAN,True
caffeine,ACAN,ACAN,True
caffeine,JAG1,JAG1,True
caffeine,AGT,AGT,True
caffeine,AGTR2,AGTR2,True
caffeine,AGTR2,AGTR2,True
caffeine,AHCY,AHCY,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT1,AKT1,True
caffeine,AKT2,AKT2,True
caffeine,ALB,ALB,True
caffeine,ALB,ALB,True
caffeine,ALDH1A1,ALDH1A1,True
caffeine,ALDH1A1,ALDH1A1,True
caffeine,ALDH9A1,ALDH9A1,True
caffeine,ALDH3A2,ALDH3A2,True
caffeine,ALDOA,ALDOA,True
caffeine,ALDOA,ALDOA,True
caffeine,ALDOC,ALDOC,True
caffeine,ALPL,ALPL,True
caffeine,AMFR,AMFR,True
caffeine,AMPD2,AMPD2,True
caffeine,ANG,ANG,True
caffeine,ANGPT1,ANGPT1,True
caffeine,ANGPT2,ANGPT2,True
caffeine,ANK2,ANK2,True
caffeine,ANXA2,ANXA2,True
caffeine,ANXA4,ANXA4,True
caffeine,ANXA4,ANXA4,True
caffeine,ANXA11,ANXA11,True
caffeine,AOX1,AOX1,True
caffeine,APC,APC,True
caffeine,APEH,APEH,True
caffeine,APEX1,APEX1,True
caffeine,BIRC2,BIRC2,True
caffeine,APLP2,APLP2,True
caffeine,APOA1,APOA1,True
caffeine,APOA1,APOA1,True
caffeine,APOA2,APOA2,True
caffeine,APOA2,APOA2,True
caffeine,APOB,APOB,True
caffeine,APOB,APOB,True
caffeine,APOB,APOB,True
caffeine,APOB,APOB,True
caffeine,APOC1,APOC1,True
caffeine,APOC1,APOC1,True
caffeine,APOC2,APOC2,True
caffeine,APOC2,APOC2,True
caffeine,APOC3,APOC3,True
caffeine,APOE,APOE,True
caffeine,FAS,FAS,True
caffeine,FAS,FAS,True
caffeine,FAS,FAS,True
caffeine,SHROOM2,SHROOM2,True
caffeine,AR,AR,True
caffeine,ARAF,ARAF,True
caffeine,ARCN1,ARCN1,True
caffeine,ARF1,ARF1,True
caffeine,ARL4D,ARL4D,True
caffeine,ARHGAP1,ARHGAP1,True
caffeine,ARHGAP5,ARHGAP5,True
caffeine,ARHGDIA,ARHGDIA,True
caffeine,ARRB1,ARRB1,True
caffeine,ARRB2,ARRB2,True
caffeine,ARVCF,ARVCF,True
caffeine,ASGR2,ASGR2,True
caffeine,ASNS,ASNS,True
caffeine,ZFHX3,ZFHX3,True
caffeine,ATIC,ATIC,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,ATM,ATM,True
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False
caffeine,Serine-protein kinase ATM,serine protein kinase atm,False
caffeine,RERE,RERE,True
caffeine,ATP1A1,ATP1A1,True
caffeine,ATP1A3,ATP1A3,True
caffeine,ATP1B3,ATP1B3,True
caffeine,ATP2A2,ATP2A2,True
caffeine,ATP2B1,ATP2B1,True
caffeine,ATP6V1B2,ATP6V1B2,True
caffeine,ATP6V0C,ATP6V0C,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,ATR,ATR,True
caffeine,Serine/threonine-protein kinase ATR,serine threonine protein kinase atr,False
caffeine,ATRX,ATRX,True
caffeine,AUP1,AUP1,True
caffeine,AVPR1A,AVPR1A,True
caffeine,BACH1,BACH1,True
caffeine,BARD1,BARD1,True
caffeine,BAX,BAX,True
caffeine,BAX,BAX,True
caffeine,BAX,BAX,True
caffeine,BAX,BAX,True
caffeine,CCND1,CCND1,True
caffeine,BCL2,BCL2,True
caffeine,BCL2L1,BCL2L1,True
