canonical_target,total_count,n_compounds,compounds
CYP1A2,41,1,caffeine
ADORA2A,36,1,caffeine
ADORA1,34,1,caffeine
CASP3,23,2,Ginsenoside rb1;caffeine
ATM,22,1,caffeine
ADORA2B,19,1,caffeine
CHRM1,18,3,bethanechol;maprotiline;pilocarpine
CNP,17,1,caffeine
PARP1,16,1,caffeine
CHRM3,13,4,bethanechol;carbachol;maprotiline;pilocarpine
CHRM2,13,3,bethanechol;maprotiline;pilocarpine
TP53,13,1,caffeine
AKT1,12,2,Ginsenoside rb1;caffeine
IGF1,12,2,Ginsenoside rb1;caffeine
CDKN1A,12,1,caffeine
CHRM4,11,3,bethanechol;maprotiline;pilocarpine
CHRM5,11,3,bethanechol;maprotiline;pilocarpine
ADORA3,11,1,caffeine
CHEK1,10,1,caffeine
RYR1,10,1,caffeine
SCARB1,10,1,caffeine
ATR,9,1,caffeine
H2AX,9,1,caffeine
IL6,8,2,Ginsenoside rb1;caffeine
CCNB1,8,1,caffeine
DRD2,8,1,caffeine
HMGCR,8,1,caffeine
APOB,7,2,Ethanolamine;caffeine
SQSTM1,7,2,Ginsenoside rb1;caffeine
ACHE,7,1,caffeine
CDK1,7,1,caffeine
HMGCS1,7,1,caffeine
NAT2,7,1,caffeine
muscarinic acetylcholine receptor,6,2,bethanechol;pilocarpine
BAX,6,1,caffeine
CASP9,6,1,caffeine
CAT,6,1,caffeine
CREB1,6,1,caffeine
CYP3A4,6,1,caffeine
FASN,6,1,caffeine
HMGB1,6,1,caffeine
HSD3B1,6,1,caffeine
HSPB1,6,1,caffeine
LEP,6,1,caffeine
LOC101060524,6,1,maprotiline
MTOR,6,1,caffeine
NQO1,6,1,caffeine
NR3C1,6,1,caffeine
inositol 1 4 5 trisphosphate receptor,6,1,caffeine
LDHA,5,2,Ginsenoside rb1;caffeine
MAPK1,5,2,caffeine;forskolin
CDC25C,5,1,caffeine
CYP2A6,5,1,caffeine
EPHA1,5,1,caffeine
FAS,5,1,caffeine
FDFT1,5,1,caffeine
GFAP,5,1,caffeine
HELLS,5,1,caffeine
HNRNPK,5,1,caffeine
IGF1R,5,1,caffeine
cytochrome p450 3a4,4,3,caffeine;maprotiline;pilocarpine
AR,4,2,caffeine;forskolin
CTSB,4,2,Ginsenoside rb1;caffeine
IL1B,4,2,Ginsenoside rb1;caffeine
MAPK3,4,2,caffeine;forskolin
NFE2L2,4,2,Ginsenoside rb1;caffeine
ANXA4,4,1,caffeine
APOC2,4,1,caffeine
BNIP3,4,1,caffeine
CALU,4,1,caffeine
CASP2,4,1,caffeine
CDK2,4,1,caffeine
CDK4,4,1,caffeine
CEBPA,4,1,caffeine
CEBPB,4,1,caffeine
CHEK2,4,1,caffeine
CTNNB1,4,1,caffeine
CXCL8,4,1,caffeine
CYP2C9,4,1,caffeine
CYP2D6,4,1,caffeine
DCT,4,1,caffeine
DNAJA1,4,1,caffeine
DNMT1,4,1,caffeine
DNMT3A,4,1,caffeine
DNMT3B,4,1,caffeine
GAPDH,4,1,caffeine
GCLC,4,1,caffeine
GJA1,4,1,caffeine
GPI,4,1,caffeine
GPT,4,1,caffeine
HMGA1,4,1,caffeine
HNRNPA1,4,1,caffeine
HNRNPF,4,1,caffeine
HSD11B2,4,1,caffeine
ILF3,4,1,caffeine
INSR,4,1,caffeine
ITPR1,4,1,caffeine
JUN,4,1,caffeine
KRT18,4,1,caffeine
LDLR,4,1,caffeine
LEPR,4,1,caffeine
LMNB1,4,1,caffeine
LPL,4,1,caffeine
PRKDC,4,1,caffeine
REN,4,1,caffeine
RYR2,4,1,caffeine
SIRT1,4,1,caffeine
STAR,4,1,caffeine
STMN1,4,1,caffeine
adenylate cyclase type 2,4,1,forskolin
alpha 1a adrenergic receptor,4,1,maprotiline
chitotriosidase 1,4,1,caffeine
glycogen phosphorylase muscle form,4,1,caffeine
serine protein kinase atm,4,1,caffeine
sodium dependent noradrenaline transporter,4,1,maprotiline
FOS,3,2,Ginsenoside rb1;caffeine
HDAC7,3,2,caffeine;forskolin
ITGAM,3,2,Ginsenoside rb1;caffeine
KCNH2,3,2,Ginsenoside rb1;caffeine
LOC107987479,3,2,caffeine;maprotiline
MAP1LC3B,3,2,Ginsenoside rb1;caffeine
PPARG,3,2,caffeine;forskolin
RELA,3,2,Ginsenoside rb1;caffeine
RUNX2,3,2,Ginsenoside rb1;caffeine
TNF,3,2,Ginsenoside rb1;caffeine
cytochrome p450 1a2,3,2,caffeine;maprotiline
ABAT,3,1,caffeine
ACACA,3,1,caffeine
ACAN,3,1,caffeine
ACLY,3,1,caffeine
ALDOA,3,1,caffeine
APOA1,3,1,caffeine
APOA2,3,1,caffeine
CAD,3,1,caffeine
CALM1,3,1,caffeine
CCNG1,3,1,caffeine
COL1A1,3,1,caffeine
CPT1A,3,1,caffeine
CYP1A1,3,1,caffeine
EEF1A1,3,1,caffeine
EEF1D,3,1,caffeine
EEF2,3,1,caffeine
EGR1,3,1,caffeine
EIF4E,3,1,caffeine
EIF4EBP1,3,1,caffeine
EIF5,3,1,caffeine
ENO1,3,1,caffeine
GRM1,3,1,caffeine
GSK3A,3,1,caffeine
GSK3B,3,1,caffeine
HDLBP,3,1,caffeine
HNRNPC,3,1,caffeine
HNRNPH1,3,1,caffeine
HRH1,3,1,maprotiline
HSP90AA1,3,1,caffeine
HSPA4,3,1,caffeine
HTR2A,3,1,maprotiline
HTR2C,3,1,maprotiline
ICAM1,3,1,caffeine
IL10RB,3,1,caffeine
MKI67,3,1,caffeine
NT5E,3,1,caffeine
PAK1,3,1,caffeine
PAK2,3,1,caffeine
PTGS2,3,1,caffeine
RB1,3,1,caffeine
SFPQ,3,1,caffeine
SOX9,3,1,caffeine
SQLE,3,1,caffeine
TRP53,3,1,caffeine
adenylate cyclase type 5,3,1,forskolin
alpha 1 adrenergic receptor,3,1,maprotiline
alpha 2 adrenergic receptor,3,1,maprotiline
h1 4,3,1,caffeine
phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit delta isoform,3,1,caffeine
AARS1,2,2,bethanechol;caffeine
AHR,2,2,Ethanolamine;forskolin
AOX1,2,2,caffeine;maprotiline
APOE,2,2,Ethanolamine;caffeine
ATP6V1B2,2,2,Ginsenoside rb1;caffeine
CTSD,2,2,Ginsenoside rb1;caffeine
ESR1,2,2,Ethanolamine;forskolin
MAPK15,2,2,caffeine;forskolin
MAPK7,2,2,caffeine;forskolin
PGR,2,2,Ginsenoside rb1;caffeine
TGFB1,2,2,Ginsenoside rb1;caffeine
amine oxidase flavin containing b,2,2,caffeine;maprotiline
3 5 cyclic amp phosphodiesterase 4b,2,1,caffeine
3 5 cyclic amp phosphodiesterase 4d,2,1,caffeine
ABCA3,2,1,caffeine
ABCC2,2,1,caffeine
ABLIM1,2,1,caffeine
ACE,2,1,caffeine
ACSL3,2,1,caffeine
ACSL4,2,1,caffeine
ACTA2,2,1,caffeine
ACTB,2,1,caffeine
ACTL6A,2,1,caffeine
ACTN4,2,1,caffeine
ADA,2,1,caffeine
ADCY5,2,1,caffeine
ADD3,2,1,caffeine
AGTR2,2,1,caffeine
AHCY,2,1,caffeine
ALB,2,1,caffeine
ALDH1A1,2,1,caffeine
AMPD2,2,1,caffeine
ANGPT1,2,1,caffeine
ANXA3,2,1,Ethanolamine
AP2M1,2,1,caffeine
APC,2,1,caffeine
APLP2,2,1,caffeine
APOC1,2,1,caffeine
ARAF,2,1,caffeine
ARF1,2,1,caffeine
ARID3A,2,1,caffeine
ARL4D,2,1,caffeine
ARRB2,2,1,caffeine
ARVCF,2,1,caffeine
ASGR2,2,1,caffeine
ATP1A1,2,1,caffeine
ATP2A2,2,1,caffeine
ATP6V0C,2,1,caffeine
ATRX,2,1,caffeine
AVPR1A,2,1,caffeine
BARD1,2,1,caffeine
BCL2L1,2,1,caffeine
BCL6,2,1,caffeine
BCR,2,1,caffeine
BDNF,2,1,caffeine
BHMT,2,1,caffeine
BIRC2,2,1,caffeine
BMPR1A,2,1,caffeine
BRAF,2,1,caffeine
BTF3,2,1,caffeine
BUB1,2,1,caffeine
BUB1B,2,1,caffeine
C1R,2,1,caffeine
C1S,2,1,caffeine
C2CD5,2,1,caffeine
CA1,2,1,caffeine
CA2,2,1,caffeine
CACNA1S,2,1,caffeine
CAMK2B,2,1,caffeine
CANX,2,1,caffeine
CAPN1,2,1,caffeine
CAPRIN1,2,1,caffeine
CARS1,2,1,caffeine
CASP8,2,1,caffeine
CAV1,2,1,caffeine
CAV3,2,1,caffeine
CBS,2,1,caffeine
CCND1,2,1,caffeine
CCNF,2,1,caffeine
CD36,2,1,caffeine
CD9,2,1,caffeine
CDC20,2,1,caffeine
CDC25B,2,1,caffeine
CDC27,2,1,caffeine
CDH1,2,1,caffeine
CDH11,2,1,caffeine
CDH5,2,1,caffeine
CDK7,2,1,caffeine
CEACAM1,2,1,caffeine
CENPC,2,1,caffeine
CENPE,2,1,caffeine
CFL2,2,1,caffeine
CHD2,2,1,caffeine
CHD3,2,1,caffeine
CKB,2,1,caffeine
CLDN3,2,1,caffeine
CLIC1,2,1,caffeine
CLK2,2,1,caffeine
CLK3,2,1,caffeine
CLNS1A,2,1,caffeine
CLTC,2,1,caffeine
CNN3,2,1,caffeine
COCH,2,1,caffeine
COMT,2,1,caffeine
COPA,2,1,caffeine
CORT,2,1,caffeine
CPD,2,1,caffeine
CREBBP,2,1,caffeine
CRIP2,2,1,caffeine
CRTC2,2,1,caffeine
CRYBA4,2,1,caffeine
CRYBB1,2,1,caffeine
CSNK1E,2,1,caffeine
CSNK1G3,2,1,caffeine
CST3,2,1,caffeine
CSTF1,2,1,caffeine
CTNNA2,2,1,caffeine
CTSL,2,1,caffeine
CTTN,2,1,caffeine
CXADR,2,1,caffeine
CYBA,2,1,caffeine
CYC1,2,1,caffeine
CYP11A1,2,1,caffeine
CYP11B1,2,1,caffeine
CYP17A1,2,1,caffeine
CYP1B1,2,1,caffeine
CYP21A2,2,1,caffeine
CYP2C19,2,1,caffeine
CYP2E1,2,1,caffeine
CYP4B1,2,1,caffeine
DAB2,2,1,caffeine
DAD1,2,1,caffeine
DAGLA,2,1,caffeine
DAPK3,2,1,caffeine
DAXX,2,1,caffeine
DBN1,2,1,caffeine
DCAF11,2,1,caffeine
DCK,2,1,caffeine
DDR1,2,1,caffeine
DDX10,2,1,caffeine
DDX39A,2,1,caffeine
DDX3X,2,1,caffeine
DDX5,2,1,caffeine
DFFA,2,1,caffeine
DGKQ,2,1,caffeine
DHCR24,2,1,caffeine
DHCR7,2,1,caffeine
DHODH,2,1,caffeine
DHX8,2,1,caffeine
DIAPH1,2,1,caffeine
DKC1,2,1,caffeine
DLG1,2,1,caffeine
DLX2,2,1,caffeine
DMD,2,1,caffeine
DMTN,2,1,caffeine
DMWD,2,1,caffeine
DMXL1,2,1,caffeine
DNM2,2,1,caffeine
DOCK1,2,1,caffeine
DOK1,2,1,caffeine
DPP4,2,1,caffeine
DPYSL2,2,1,caffeine
DR1,2,1,caffeine
DSC2,2,1,caffeine
DSP,2,1,caffeine
DST,2,1,caffeine
DTNA,2,1,caffeine
DUSP8,2,1,caffeine
DVL2,2,1,caffeine
DYNC1H1,2,1,caffeine
DYRK1A,2,1,caffeine
E2F4,2,1,caffeine
ECT2,2,1,caffeine
EEF1B2,2,1,caffeine
EFNA1,2,1,caffeine
EHHADH,2,1,caffeine
EIF4B,2,1,caffeine
ELAVL1,2,1,caffeine
ELF2,2,1,caffeine
ENO2,2,1,caffeine
EPB41L1,2,1,caffeine
EPHB4,2,1,caffeine
EPPK1,2,1,caffeine
EPS15,2,1,caffeine
EPS8,2,1,caffeine
ERBB2,2,1,caffeine
ERCC5,2,1,caffeine
ERF,2,1,caffeine
ESYT2,2,1,caffeine
