O14494	Phospholipid phosphatase 1
O14735	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
O14939	Phospholipase D2
O75608	Acyl-protein thioesterase 1
P0C869	Cytosolic phospholipase A2 beta
P21695	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
P23743	Diacylglycerol kinase alpha
P28329	Choline O-acetyltransferase
P35790	Choline kinase alpha
P43304	Glycerol-3-phosphate dehydrogenase, mitochondrial
P48651	Phosphatidylserine synthase 1
P49585	Choline-phosphate cytidylyltransferase A
Q32NB8	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial
Q8NCC3	Lysosomal phospholipase A and acyltransferase
Q8TCT1	Phosphoethanolamine/phosphocholine phosphatase
Q8WUK0	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
Q92903	Phosphatidate cytidylyltransferase 1
Q99943	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha
Q9BVG9	Phosphatidylserine synthase 2
Q9HCL2	Glycerol-3-phosphate acyltransferase 1, mitochondrial
Q9NZC3	Glycerophosphodiester phosphodiesterase 1
Q9UBM1	Phosphatidylethanolamine N-methyltransferase
Q9UG56	Phosphatidylserine decarboxylase proenzyme, mitochondrial
Q9UJA2	Cardiolipin synthase (CMP-forming)
Q9UNK4	Group IID secretory phospholipase A2
