cids,citations,dois,expmethod,geneids,glytoucan,lignme,pclids,pdbid,pmcids,pmid,protacxns,resolution,title
271|700|1117,"Perron B, Lewit-Bentley A, Geny B, Russo-Marie F. Can Enzymatic Activity, or Otherwise, Be Inferred from Structural Studies of Annexin III? Journal of Biological Chemistry. 1997 Apr;272(17):11321–6. doi: 10.1074/jbc.272.17.11321.",10.1074/jbc.272.17.11321,X-RAY DIFFRACTION,306,,ETA|CA|SO4,6349049,1AII,,9111038,P12429,1.950000,ANNEXIN III
5288845|700|312|5288834,"Privé GG, Anderson DH, Wesson L, Cascio D, Eisenberg D. Packed protein bilayers in the 0.90 A resolution structure of a designed alpha helical bundle. Protein Sci. 1999 Jul;8(7):1400–9. PMID: 10422828; PMCID: PMC2144382.",10.1110/ps.8.7.1400,X-RAY DIFFRACTION,,,ETA|CL|MPD|MRD,8433118,1BYZ,PMC2144382,10422828,,0.900000,"DESIGNED PEPTIDE ALPHA-1, P1 FORM"
700|168092|1117,"Vandeputte-Rutten L, Bos MP, Tommassen J, Gros P. Crystal Structure of Neisserial Surface Protein A (NspA), a Conserved Outer Membrane Protein with Vaccine Potential. Journal of Biological Chemistry. 2003 Jul;278(27):24825–30. doi: 10.1074/jbc.m302803200.",10.1074/jbc.m302803200,X-RAY DIFFRACTION,,,ETA|CXE|SO4,267038,1P4T,,12716881,,2.550000,Crystal structure of Neisserial surface protein A (NspA)
271|312|700|53389258|185698,"Thépaut M, Guzzi C, Sutkeviciute I, Sattin S, Ribeiro-Viana R, Varga N, Chabrol E, Rojo J, Bernardi A, Angulo J, Nieto PM, Fieschi F. Structure of a glycomimetic ligand in the carbohydrate recognition domain of C-type lectin DC-SIGN. Structural requirements for selectivity and ligand design. J Am Chem Soc. 2013 Feb 20;135(7):2518–29. doi: 10.1021/ja3053305. PMID: 23360500.",10.1021/ja3053305,X-RAY DIFFRACTION,30835,G61491DK,MAN|CL|CA|07B|ETA,21513374,2XR5,,23360500,Q9NNX6,1.420000,Crystal structure of the complex of the carbohydrate recognition domain of human DC-SIGN with pseudo dimannoside mimic.
923|700|753,"Shibata N, Tamagaki H, Hieda N, Akita K, Komori H, Shomura Y, Terawaki S, Mori K, Yasuoka N, Higuchi Y, Toraya T. Crystal Structures of Ethanolamine Ammonia-lyase Complexed with Coenzyme B12 Analogs and Substrates. Journal of Biological Chemistry. 2010 Aug;285(34):26484–93. doi: 10.1074/jbc.m110.125112.",10.1074/jbc.m110.125112,X-RAY DIFFRACTION,75172555|75204289|946924|946925,,ETA|GOL|B12|NA,15358507,3ABO,PMC2924083,20519496,P0AEJ7|P0AEJ6|P19636,2.100000,Crystal structure of ethanolamine ammonia-lyase from Escherichia coli complexed with CN-Cbl and ethanolamine
1117|700|753,"Shibata N, Tamagaki H, Hieda N, Akita K, Komori H, Shomura Y, Terawaki S, Mori K, Yasuoka N, Higuchi Y, Toraya T. Crystal Structures of Ethanolamine Ammonia-lyase Complexed with Coenzyme B12 Analogs and Substrates. Journal of Biological Chemistry. 2010 Aug;285(34):26484–93. doi: 10.1074/jbc.m110.125112.",10.1074/jbc.m110.125112,X-RAY DIFFRACTION,75172555|75204289|946924|946925,,ETA|COY|GOL|SO4,15358507,3ABS,PMC2924083,20519496,P0AEJ7|P0AEJ6|P19636,2.250000,Crystal structure of ethanolamine ammonia-lyase from Escherichia coli complexed with adeninylpentylcobalamin and ethanolamine
700|5288834,"Patterson WR, Anderson DH, DeGrado WF, Cascio D, Eisenberg D. Centrosymmetric bilayers in the 0.75 A resolution structure of a designed alpha-helical peptide, D,L-Alpha-1. Protein Sci. 1999 Jul;8(7):1410–22. PMID: 10422829; PMCID: PMC2144380.",10.1110/ps.8.7.1410,X-RAY DIFFRACTION,,,ETA|MPD,8433119,3AL1,PMC2144380,10422829,,0.750000,"DESIGNED PEPTIDE ALPHA-1, RACEMIC P1BAR FORM"
923|700,"Thompson MC, Cascio D, Leibly DJ, Yeates TO. An allosteric model for control of pore opening by substrate binding in the <scp>E</scp><scp>ut</scp><scp>L</scp> microcompartment shell protein. Protein Science. 2015 Mar 31;24(6):956–75. doi: 10.1002/pro.2672.",10.1002/pro.2672,X-RAY DIFFRACTION,93002775,,ETA|NA,22867216,4TME,PMC4456109,25752492,Q8XLZ0,1.700000,Crystal Structure of EutL from Clostridium Perfringens bound to ethanolamine
700|312,"Vetting MW, Al-Obaidi N, Zhao S, San Francisco B, Kim J, Wichelecki DJ, Bouvier JT, Solbiati JO, Vu H, Zhang X, Rodionov DA, Love JD, Hillerich BS, Seidel RD, Quinn RJ, Osterman AL, Cronan JE, Jacobson MP, Gerlt JA, Almo SC. Experimental strategies for functional annotation and metabolism discovery: targeted screening of solute binding proteins and unbiased panning of metabolomes. Biochemistry. 2015 Jan 27;54(3):909–31. PMID: 25540822; PMCID: PMC4310620.",10.1021/bi501388y,X-RAY DIFFRACTION,,,ETA|CL,489055,4UAB,PMC4310620,25540822,,1.400000,"Crystal structure of a TRAP periplasmic solute binding protein from Chromohalobacter salexigens DSM 3043 (Csal_0678), Target EFI-501078, with bound ethanolamine"
32051|700,"Stanley M, Virdee S. Genetically Directed Production of Recombinant, Isosteric and Nonhydrolysable Ubiquitin Conjugates. Chembiochem. 2016 Aug 03;17(15):1472–80. PMID: 27197715; PMCID: PMC5094518.",10.1002/cbic.201600138,X-RAY DIFFRACTION,7314,,ETA|ZN,23049326,5KHY,PMC5094518,27197715,P63048|P0CG47|P62987,3.501000,Crystal structure of oxime-linked K6 diubiquitin
